Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Jay Murphy for Illinois District 51 Representative,Jay Murphy,≤100,2
MECO,These ads ran without a disclaimer,≤100,1
Homebuyer Edu - by Kyle Bergquist & PRMI Seattle,Kyle Bergquist and PRMI Seattle,≤100,2
Veganizing,These ads ran without a disclaimer,≤100,1
Smithfield Foods,These ads ran without a disclaimer,≤100,1
Texas Disposal Systems,Texas Disposal Systems,≤100,1
NeighborWorks Northeastern Pennsylvania,NeighborWorks Northeastern Pennsylvania,≤100,1
OneAmerica,OneAmerica,≤100,1
9Round Goose Creek,These ads ran without a disclaimer,≤100,1
James For OKC,James For OKC 2019,≤100,3
Save Dinosaur Ridge,These ads ran without a disclaimer,≤100,1
Fulton County Democrats - Illinois,Fulton County Illinois Democratic Party,≤100,1
Friends for State Rep. Mike Sparks,Citizens to Elect Mike Sparks,≤100,1
Michael Negron,Friends of Michael Negron,≤100,3
American Friends Service Committee,The American Friends Service Committee (AFSC),≤100,4
Vote Sarah Kovoor Family Court Judge,Committee to Elect Sarah Kovoor for Judge,≤100,1
Plan Medico Florida Central,These ads ran without a disclaimer,≤100,1
The GOD'S CHILD Project,God's Child Project,≤100,2
Airplantman,These ads ran without a disclaimer,≤100,1
Tony for Denver,Tony for Denver,≤100,1
LGBT Life Center,LGBT Life Center,≤100,3
The American Vision,The American Vision,≤100,1
CHOICE Humanitarian,These ads ran without a disclaimer,≤100,1
Howard Slugh,Howard Slugh,≤100,3
VPIRG,Vermont Public Interest Research Group,≤100,1
The Left Hook - Politics with a Punch,The Left Hook - Politics with a Punch,≤100,2
RGI Data Assets,These ads ran without a disclaimer,≤100,1
"Matt Baker, Round Rock City Council Place 3",the Matt Baker Campaign,≤100,1
Blather,Blather,≤100,1
Pina Prinzivalli for State Representative,The Prinzivalli Committee,≤100,1
Republican Party of Texas,Republican Party of Texas and not authorized by any candidate or candidates committee.,≤100,2
"CAICalif - CAI-CLAC, California Legislative Action Committee",Community Associations Institute,≤100,2
Dear Donald,Michael VIncitorio,≤100,1
C4CW - Citizens for Clean Water,Citizens for Clean Water,≤100,1
Xcel Energy Wisconsin,These ads ran without a disclaimer,≤100,1
Peace Gospel,Peace Gospel,≤100,4
Tony McCombie,McCombie for Illinois,≤100,1
Change With Choun,Chanda Choun,≤100,2
Alpine Agency,Alpine Agency of the Midlands,≤100,1
Oregon Food Bank,Oregon Food Bank,≤100,4
2121 Midlane,These ads ran without a disclaimer,≤100,1
Goodwill Dallas,Goodwill Industries of Dallas,≤100,2
Citizens Against The Alliance for Economic Development of Oklahoma City,These ads ran without a disclaimer,≤100,1
El Resaltador de la Realidad,El Resaltador de la Realidad,≤100,1
No Labels Ohio,No Labels Ohio,≤100,1
"City of Glendale, Arizona - Government",These ads ran without a disclaimer,≤100,2
SchermCo,These ads ran without a disclaimer,≤100,5
Friday's Rescue Foundation,Friday's Rescue Foundation,≤100,3
Kontent Films,Kontent Films,≤100,1
Idaho,These ads ran without a disclaimer,≤100,1
Let's Talk About It Radio Talk Show,"Let's Talk Nation, LLC.",≤100,4
"Joey Matthews, Farm Bureau Insurance - South Carolina",These ads ran without a disclaimer,≤100,1
Hunger Solutions,Hunger Solutions Minnesota,≤100,1
Real California Trees Clothing,Real California Trees Clothing®,≤100,1
Unum,These ads ran without a disclaimer,≤100,2
Soma Massage Therapy,Amber Briggle,≤100,2
Greater Bluffton Republican Club,Greater Bluffton Republican Club,≤100,2
Delegate Eric Nelson,Elect Eric Nelson,≤100,1
America's Future Foundation,America's Future Foundation,≤100,8
The Plastic Shark,The Plastic Shark,≤100,3
Kate Larose for State Rep,Larose for Vermont,≤100,1
United for LIFE of Northern California,United For Life of Morthern California,≤100,1
Kombucha Town,These ads ran without a disclaimer,≤100,1
The White House Historical Association,These ads ran without a disclaimer,≤100,2
Seattle Arts & Lectures,Seattle Arts & Lectures,≤100,3
Mike Kaczmarek for Wright County Sheriff,Kaczmarek for Sheriff Committee,≤100,2
The Patriotic Post,PatrioticPost,≤100,1
Javesca Feeds,Javesca Feeds,≤100,2
Nashville Tea Party,Nashville Tea Party,≤100,3
Springfield Republican Committee,Springfield Republican Committee,≤100,1
Clila- Coalición De Líderes Latinos,CLILA-Coalicion de Lideres Latinos- Latino Leaders Coalition,≤100,4
Michigan Progressive,Michigan Progressive,≤100,1
Oklahoma Turnpike Authority,Oklahoma Turnpike Authority,≤100,1
John Raymond for State Representative District #90,Friends of John Raymond,≤100,3
Wisconsin Election Integrity,Wisconsin Election Integrity,≤100,1
"Kevin Wolff, Bexar County Commissioner Pct 3","Kevin Wolff, Bexar County Commissioner Pct 3",≤100,1
The "Morine Corps" MCX Store,These ads ran without a disclaimer,≤100,1
Rail Customer Coalition,Rail Customer Coalition,≤100,6
"Hanging H Companies, LLC.",These ads ran without a disclaimer,≤100,1
Baby Blimp Balloon,These ads ran without a disclaimer,≤100,2
Make.america.tees,MakeAmericaTees,≤100,1
Farm Animal Rights Movement (FARM),Farm Animal Rights Movement,≤100,1
The Black Women's PAC,The Black Women's PAC,≤100,1
Bigger Pie Forum,Bigger Pie Forum,≤100,3
Armin Mizani for Keller,Armin Mizani,≤100,3
Sargent Shriver Peace Institute,Sargent Shriver Peace Institute,≤100,2
Commissioner Frank Williams,the Frank Williams Committee,≤100,1
Powur Rangers Internacional,These ads ran without a disclaimer,≤100,1
Rising Hearts,These ads ran without a disclaimer,≤100,1
Humanists of Minnesota,Humanists of Minnesota,≤100,1
Stanford Center for Ocean Solutions,These ads ran without a disclaimer,≤100,1
Assemblymember Adrin Nazarian,Nazarian for Assembly 2018 ID #1392480,≤100,1
Have You Heard the Good News,James H. Warden Jr,≤100,1
Active Heroes,Active Heroes,≤100,2
FundKite,FundKite,≤100,1
Regen Network,Regen Network,≤100,1
Documented Investigations,Documented,≤100,1
W.K. Kellogg Foundation,W.K. Kellogg Foundation,≤100,2
Ortiz Pharmacy Inc.,These ads ran without a disclaimer,≤100,2
Eileen Bedell for Virginia,Bedell for Virginia,≤100,1
Angie Yellin Medeiros 4 BH,Angie for Mayor; Yellin & Medeiros for Council,≤100,1
How to Hire or Fire Your Financial Advisor,These ads ran without a disclaimer,≤100,1
Interns for America PAC,Interns for America PAC and not authorized by any candidate or candidate’s committee.,≤100,1
Houston GLBT Political Caucus,"The HGLBTPC Pac, Parker Sheffy - Treasurer",≤100,2
Long Island Wins,The New York Immigration Coalition,≤100,4
Rea-Reaa Unity,Racine Educators United,≤100,1
Military Times,Sightline Media Group,≤100,1
Southwest Florida Water Management District,Southwest Florida Water Management District,≤100,4
B Corporation,B Lab,≤100,3
Thefakejarvis,thefakejarvis,≤100,1
United Way of Asheville and Buncombe County,United Way of Asheville and Buncombe County,≤100,1
Andrew Forrester for Mayor,Forrester for Madison,≤100,1
The Bad Seed,Adam Kidron,≤100,2
The People of Reason and Progress,"the People of Reason and Progress, a 501(c)(4) nonprofit organization.",≤100,2
Cranbury Democratic Organization,Cranbury Democratic Organization,≤100,1
Lucas County Young Democrats,Lucas County Young Democrats,≤100,1
Sandusky County Progressives,David Johnson,≤100,1
"Thomas Jefferson Unitarian Church/Louisville, KY",Thomas Jefferson Unitarian Church,≤100,3
Jennipha,Jennipha-Lauren Nielsen,≤100,1
JP Services Insurance Florida,These ads ran without a disclaimer,≤100,1
(Official) South Carolina Libertarian Party,Matthew Hicks,≤100,3
Terra Genesis International,Terra Genesis International,≤100,3
awake.net,Awake Media,≤100,2
David Carlucci,David Carlucci for New York,≤100,2
Farberware Cookware,These ads ran without a disclaimer,≤100,1
The City Congregation for Humanistic Judaism,The City Congregation for Humanistic Judaism,≤100,1
Euler Hermes North America,These ads ran without a disclaimer,≤100,1
Lens,The Lens,≤100,2
Page County Indivisible,Page County Indivisible,≤100,1
Innovation Ohio,Innovation Ohio,≤100,3
Higher Paying Driver Jobs,These ads ran without a disclaimer,≤100,1
John Aguilera for Indiana,Aguilera for Indiana,≤100,1
"Johnathan S. Perkins, Esq.",Johnathan S. Perkins,≤100,3
MDWCOMM,"MDW Communications LLC for promotional purposes only. No promotion is done on behalf of any campaign, political committee, or organization.",≤100,1
Berkeley Heights Republicans,Berkeley Heights Republicans,≤100,2
G Orthodontics,These ads ran without a disclaimer,≤100,1
SAGE,These ads ran without a disclaimer,≤100,1
The Shark Tank,"Shark Tank Media, LLC",≤100,2
Coalition of Homeless Services Providers,The Coalition of Homeless Services Providers,≤100,1
Montana Eyes,These ads ran without a disclaimer,≤100,1
Swing Left Knoxville,Charles & Wendy Chandler,≤100,3
Fairview Park Hospital,These ads ran without a disclaimer,≤100,1
Sheriff Mark Howie,The Committee To Retain Sheriff Howie,≤100,2
"Georgetown Institute for Women, Peace and Security","The Georgetown Institute for Women, Peace and Security",≤100,1
NORML of Catawba Valley,NORML of the Catawba Valley,≤100,1
Citizen Action of New York,Citizen Action of New York,≤100,2
Seen It On IG,These ads ran without a disclaimer,≤100,4
Scott Conger,Scott Conger for Mayor,≤100,4
Let Them Live,Nathan Berning,≤100,4
Heritage Africa Safaris,These ads ran without a disclaimer,≤100,2
Align Health & Wellness,These ads ran without a disclaimer,≤100,1
Save The Great South Bay,"Save The Great South Bay, Inc.",≤100,2
DrTung's,These ads ran without a disclaimer,≤100,1
Boyd For Mayor,Boyd Corbin for Mayor of Wilton Manors,≤100,4
Bianca Rosen,Bianca Alexandra,≤100,1
Guzman Energy,Guzman Energy,≤100,1
Progressive Citizen X/The Matt McNeil Show,Matt McNeil/Progressive Citizen X,≤100,1
Montana Yemen Task Force,Montana Yemen Task Force,≤100,1
Carlee White Gonzales for Hammond City Council Member District 2,the Carlee White Gonzales Campaign Fund,≤100,2
Between Friends Outreach Inc,"Between Friends Outreach, Inc",≤100,2
Investigate 538,Kevin Drummond,≤100,3
Certasun,Certasun,≤100,1
"Jeff Bell, Silicon Valley Realtor",California Association of REALTORS,≤100,2
Anabaptist Mennonite Biblical Seminary,Anabaptist Mennonite Biblical Seminary,≤100,1
Jaggon 2018,Jaggon for the People dereck Blythe treasurer,≤100,1
Empower Missouri,Empower Missouri,≤100,1
"Bob Pacheco, Councilman of Walnut City Council",Bob Pacheco for Walnut City Council 2018 #1409950,≤100,1
Live In Las Vegas,Ruth Ahlbrand,≤100,1
Joey Chester for House District 63,"Chester for Montana, (R), 2124 Jacobs Street, Bozeman, MT 59718, Gordon Calhoun Treasurer.",≤100,1
Bill Smith Pittsford Town Supervisor,Smith for Pittsford,≤100,1
Lifestyle Daily,These ads ran without a disclaimer,≤100,4
SicKophant Songs,"SicKophant Songs (a ragtag gaggle of Colorado Creatives with a passion for social justice, music, and HUMOR)",≤100,1
Harvard Public Health Voices in Leadership,Voices in Leadership,≤100,1
Jan Jones,Jan Jones,≤100,1
Briana Jessup,These ads ran without a disclaimer,≤100,1
Capitol Hill Underground,Capitol Hill Underground,≤100,5
Women To Women Nevada,Pepe Paz,≤100,1
Young Federalists,Young Federalists,≤100,2
Jordan Smith for Lake Mary City Commission Seat #1,"Jordan Smith, Non-Partisan, Lake Mary City Commission Seat #1",≤100,3
Legal Newsline,The Record,≤100,2
Mayor Jim Fiorentini,Citizens for Fiorentini,≤100,7
Charlotte-Mecklenburg Storm Water Services,These ads ran without a disclaimer,≤100,2
Terraza 7,Freddy Castiblanco,≤100,2
The Harvard Crimson,The Harvard Crimson,≤100,1
Saint Police Systems,Saint Police Systems,≤100,1
The Progressive Investor,The Progressive Investor,≤100,2
Butterfly Effect Center,These ads ran without a disclaimer,≤100,1
Valley Dog Rescue Network,Nancy Mooney,≤100,1
SeaLegs Property Group,These ads ran without a disclaimer,≤100,1
Pennsylvania Advocacy and Resources for Autism and Intellectual Disability,Pennsylvania Advocacy and Resources for Autism and Intellectual Disability,≤100,3
Suzy Tubbs Payson Town Council,Tubbs For Council,≤100,2
Roy Zimmerman,Roy Zimmerman,≤100,2
Right to Life of Kern County,Right to Life of Kern County,≤100,2
Metro Weekly,Metro Weekly,≤100,2
PROmotion Marketing LLC,These ads ran without a disclaimer,≤100,1
League of Women Voters Dakota County,League of Women Voters Dakota County,≤100,1
YourForest Podcast,These ads ran without a disclaimer,≤100,1
Federal Practice Group-Immigration,The Federal Practice Group,≤100,2
ADA Site Compliance,These ads ran without a disclaimer,≤100,4
ZenDen Outdoor,These ads ran without a disclaimer,≤100,1
Women's March on Washington - Pittsburgh,Tracy Baton and authorized by the Women's March on Washington - Pittsburgh,≤100,2
Erika Yalowitz for Fairfax Board of Supervisors 2019,Friends of Erika Yalowitz,≤100,4
The Homeless Charity and Village,The Homeless Charity 501(c)(3),≤100,2
Encircle: LGBT+ Family & Youth Resource Center,These ads ran without a disclaimer,≤100,1
The King's Necktie,The King's Necktie,≤100,2
Swaggr,These ads ran without a disclaimer,≤100,2
Hague Quality Water of Chicagoland,These ads ran without a disclaimer,≤100,1
The Logical Liberal,The Logical Liberal,≤100,2
Y.Z,These ads ran without a disclaimer,≤100,1
Catholic Conference of Kentucky,Catholic Conference of Kentucky,≤100,1
US Pharmacy,These ads ran without a disclaimer,≤100,1
Harrison County Republican Party,the Harrison County Republican Party,≤100,2
The Freshwater Trust,The Freshwater Trust,≤100,1
What Nunn Sense,James Jeffrey Nunn,≤100,6
Concord Township Council Member Joshua Twersky,Joshua Twersky,≤100,2
Brewers Association,the Brewers Association,≤100,1
Jornum Munroj,jornumunroj,≤100,1
Brew Ha Ha Craft Beer Festivals,These ads ran without a disclaimer,≤100,1
Ecuatorianos con Lasso Usa-Canada.,Vicente Carpio Moure,≤100,1
ServedFresh.Collection,These ads ran without a disclaimer,≤100,1
Be Prepared     Not Scared,Be Prepared Not Scared Iowa,≤100,4
League of Women Voters of Pennsylvania,League of Women Voters of Pennsylvania,≤100,1
Political Institute for Women,Political Institute for Women,≤100,1
Guys With Ties Philanthropy,These ads ran without a disclaimer,≤100,1
Tina Davis-Hersey,Committee to Elect Tina,≤100,1
Spokane Talks,Spokane Talks Media,≤100,4
Community Thrift Store,These ads ran without a disclaimer,≤100,1
Hooks4Hope,"Hooks4Hope, LLC",≤100,1
Asia Pacific Missions,These ads ran without a disclaimer,≤100,1
Sangamon County Clerk Don Gray,Friends of Don Gray,≤100,1
Full Disclosure with Ben Nakhaima,Full Disclosure with Ben Nakhaima,≤100,1
Nissi Worldwide,Nissi Worldwide,≤100,3
Conservative Christians of Tennessee,Conservative Christians of Tennessee,≤100,1
Adam J Garcia State Farm Insurance Agent,These ads ran without a disclaimer,≤100,1
Roots Ethiopia,These ads ran without a disclaimer,≤100,1
National Youth Rights Association,the National Youth Rights Association,≤100,2
Centro De Asesoramiento De Seguros De Salud,These ads ran without a disclaimer,≤100,1
Area 5 Democrats,Area 5 Democratic Club,≤100,1
Your Fanny,These ads ran without a disclaimer,≤100,2
Beyond Toxics,Beyond Toxics,≤100,2
Rebel Rampage,Rebel Rampage,≤100,2
OnePurpose School,These ads ran without a disclaimer,≤100,2
Bartell Community Theatre,Madison Theatre Guild,≤100,1
Phasion Print,Motuss Media,≤100,3
Ryan Ray for Texas House District 96,The Ryan Ray Campaign,≤100,1
Illinois Lawsuit Abuse Watch,Illinois Lawsuit Abuse Watch,≤100,6
Margaret Ross for SD District 27 Representative,Prairie rose committee,≤100,1
"Calvary Lutheran Church Mount Airy, MD",Calvary Lutheran Church,≤100,1
Disability Rights Ohio,Disability Rights Ohio,≤100,2
Joel K. Logue,Joel Logue,≤100,2
Tacoma Arts,Tacoma Office of Arts & Cultural Vitality,≤100,1
Fair Districts PA - Philadelphia,Fair Districts PA,≤100,2
Medicare Made Simple,Virginia Phillips,≤100,3
Dixon For Mayor 2019 - North Charleston,Dixon For Mayor 2019,≤100,2
No Libs Allowed.,nolibsallowed,≤100,2
Peckham Architecture,Peckham Architecture,≤100,2
Deplorable K.A.G Nation,These ads ran without a disclaimer,≤100,3
RNPA,These ads ran without a disclaimer,≤100,1
Erick Erickson,Erick Erickson,≤100,1
Alderman George A. Cardenas,Friends of George Cardenas Political Committee,≤100,2
CultureMap,Sponsor,≤100,1
Umadaop Lucas County,UMADAOP Lucas County,≤100,1
Houston Young Republicans,Houston Young Republicans,≤100,2
Hidden Tips,These ads ran without a disclaimer,≤100,3
Blue State,T Parks Inc - CEO Ted Parks - Chicago - Blue State News,≤100,1
Stand for Children - Tennessee,"Stand for Children, Inc.",≤100,1
TalkRadio WPHT,These ads ran without a disclaimer,≤100,1
Washington Wild,Washington Wild,≤100,3
Clearing out the Clutter,Clearing out the Clutter.  The views expressed are those of the author only.,≤100,13
Citizens for Good Government,Citizens for Good Government,≤100,1
Fearless and Regretless,Fearless and Regretless,≤100,2
Narratively,Narratively,≤100,1
Capt Hiram's River Challenge Triathlon,These ads ran without a disclaimer,≤100,1
TransOhio,"This message was not authorized by any particular candidate, candidate’s committee, or political party.",≤100,1
Pazazz - Service that Uplifts - Ideas that Inspire,These ads ran without a disclaimer,≤100,1
Labor Guild,The Labor Guild,≤100,6
Sea Turtle Shoppe,These ads ran without a disclaimer,≤100,5
San Francisco Firefighters Local 798,These ads ran without a disclaimer,≤100,2
Acme Bail Bonds,Acme Bail Bonds,≤100,3
The Arc of Larimer County,The Arc of Larimer County,≤100,1
Define American,Define American,≤100,1
Epic Vizion,EpicVizion LLC,≤100,3
Dallas County Young Democrats,Dallas County Young Democrats. Not authorized by any candidate or candidate's  committee.,≤100,3
Principally Uncertain,Principlly Uncertain | Independent research and analysis to edify and entertain!,≤100,1
Senator Ling Ling Chang,Senator Ling Ling Chang,≤100,1
Invest in a Healthier Future,the Invest in a Healthier Future Coalition.,≤100,2
City of East Moline,City of East Moline,≤100,3
Mesquite City Councilwoman Annie Black,Friends to Elect Annie Black,≤100,2
Rep. Joanna McClinton,State Representative Joanna McClinton,≤100,2
Partners in Healthcare,Partners in HealthCare of Virginia,≤100,1
United Way of Williamson County,These ads ran without a disclaimer,≤100,1
The Moxie-Brodie Law,The Moxie-Brodie Law,≤100,2
Councilman Rick Miller,Rick Miller,≤100,2
Corky Smith for Lowndes County,Corky Smith,≤100,1
Darius Brown for State Senate,Darius Brown For State Senate,≤100,3
peacebuttons,PEACEbuttons,≤100,9
Veterans of Foreign Wars VFW,These ads ran without a disclaimer,≤100,4
College Republicans at UCI,Kimo Gandall,≤100,2
Conservation Voters of South Carolina,Conservation Voters of South Carolina,≤100,1
MOCA Jacksonville,These ads ran without a disclaimer,≤100,1
Minnesota Citizens for Clean Elections,Minnesota Citizens for Clean Elections,≤100,1
Green Party of Pennsylvania,Green Party of Pennsylvania,≤100,1
Columbia Crossing,These ads ran without a disclaimer,≤100,1
Wayback Burgers,These ads ran without a disclaimer,≤100,1
The Claw,The Claw,≤100,4
DC Statesman,DC Statesman,≤100,9
Georgia Farm Bureau,Georgia Farm Bureau,≤100,3
Norridge News,Riccardo Mora,≤100,1
"Washington Electric Cooperative, Inc. - Ohio","Washington Electric Cooperative, Inc.",≤100,1
Judge Leo Smith's Buckles,Leo Smith,≤100,2
Jeremy Eltz for Hamilton County Council,Jeremy Eltz for Hamilton County Council,≤100,1
PIVOT - The Progressive Vietnamese American Organization,PIVOT - The Progressive Vietnamese American Organization,≤100,1
Wake Up World & Smell the Coffee,Wake Up World & Smell The Coffee,≤100,1
NewsGuild-CWA,The NewsGuild-CWA,≤100,1
IProtest,Cleverson Lopes,≤100,2
Gateway Foundation Alcohol & Drug Treatment,Gateway Foundation,≤100,1
Left of Center,"Left of Center PAC, not authorized by any candidate or candidate's committee.",≤100,2
Stop Crystal Spring,These ads ran without a disclaimer,≤100,1
Roger Williams,THE ROGER WILLIAMS FOR U.S. CONGRESS COMMITTEE.,≤100,1
Cavethoughts,"Thoughts here are simply my opinions on the things I see, do with it what you will.",≤100,1
Christian Family Care Agency,These ads ran without a disclaimer,≤100,3
John Flynn for State Representative,Flynn 2018,≤100,6
Zoo,ZooQuizzes,≤100,3
Gwartney Institute,These ads ran without a disclaimer,≤100,1
Bossier Webster Parish District Attorney,Schuyler Marvin for DA,≤100,1
Huntington National Bank,These ads ran without a disclaimer,≤100,1
Independent Petroleum Association of NM,These ads ran without a disclaimer,≤100,1
She the People,She the People USA,≤100,1
Live Green Real Estate Inc,Live Green Real Estate,≤100,1
WCCO Radio,WCCO Radio News,≤100,2
Catholic Extension,Catholic Extension,≤100,3
Ourbiglake,Our Big Lake,≤100,1
Ware Disposal,Ware Disposal,≤100,3
Seaside City Councilmember-elect Jon Wizard,Jon Wizard for City Council 2018,≤100,2
Women's March LA Foundation,Women's March LA,≤100,3
Josh Revak for House,"Josh Revak for House, 4072 Olympic Terrace Circle, Anchorage, Alaska 99507",≤100,1
Northwest Environmental Advocates,"Northwest Environmental Advocates a non-profit (501(c3)) based in Portland, OR and is wholely responsible for the content.  You can contact us at 503-295-0490 or email to info@advocates-nwea.org.",≤100,2
Donna Beaulieu - Attorney at Law,Donna Beaulieu - Attorney at Law,≤100,2
Alba Botanica,These ads ran without a disclaimer,≤100,2
Robert Smullen for Assembly,Smullen for Assembly,≤100,2
LangleyAmusings,Sharon Emerson,≤100,1
Watts for Congress,Watts for Congress,≤100,1
Atascadero Democratic Club,the Atascadero Democratic Club,≤100,2
Warsaw community,warsaw community a grass roots citizen movement page,≤100,3
elitefeats,elitefeats an event marketing and timing company,≤100,1
Local Nation Podcast,Local Nation Podcast,≤100,1
Kyle Allen,Kyle Allen,≤100,1
We can do better - HQ Landfill Truth,We Can Do Better,≤100,1
Kansas for Beto,Kansas for Beto,≤100,3
"Association of California Cities, Orange County",Association of California Cities-Orange County,≤100,3
Justice Can't Wait Campaign,A.Phillip Randolph Institute,≤100,1
UCSF,"University of California, San Francisco",≤100,2
Dane Dillion for Randolph County Sheriff,Dane Dillion.,≤100,3
"Corbin Van Arsdale, Mayor of Cedar Park, Texas",Corbin Van Arsdale Campaign,≤100,1
imge,IMGE,≤100,5
Metro Puerto Rico,Metro Puerto Rico,≤100,1
New River Workers Power,New River Workers Power,≤100,1
Prolifeinsfla,These ads ran without a disclaimer,≤100,1
Greenville County Republican Party,Greenville County Republican Party,≤100,2
Martha McSally,McSally for Senate,≤100,2
Dave Walcher,David Walcher,≤100,2
Fuerza Estadista,These ads ran without a disclaimer,≤100,1
Combined Federal Campaign of the National Capital Area-CFCNCA,the Combined Federal Campaign of the National Capital Area,≤100,4
Dauphin County Democratic Committee,Dauphin County Democratic Committee,≤100,1
Amber D Pedersen for MI House of Representatives District 57,CTE Amber D Pedersen MSCFA 518818,≤100,1
The Hanger Project,The Hanger Project,≤100,5
Higher Education Consortium for Urban Affairs (HECUA),These ads ran without a disclaimer,≤100,1
Companion Funeral & Cremation Service,Companion Funeral & Cremation Service,≤100,1
Stand Up Live Huntsville,Stand Up Live: Huntsville,≤100,1
She Has Hope,She Has Hope,≤100,4
Green Lents,Green Lents,≤100,1
Alums for Campus Fairness,Alums for Campus Fairness,≤100,1
Love Lakeland,Love Lakeland,≤100,2
Pillars Fund,Pillars Fund,≤100,1
Michael Echols,Michael Echols,≤100,1
Lubbock Lights,"Lubbock Lights, LLC",≤100,1
Senator Juan Chuy Hinojosa,Senator Hinojosa Campaign.,≤100,1
Answer Indiana,Answer Indiana (Act Now to Stop War and End Racism),≤100,2
RiverReader,"RiverReader News Company, Inc. Copyright 2018, All Rights Reserved",≤100,1
Model D,Model D,≤100,2
Sterling Cotillions,These ads ran without a disclaimer,≤100,1
"The Awad Law Firm, P.C.","The Awad Law Firm, P.C.",≤100,1
Overt Shirts,Overt Shirts,≤100,2
Michelle Morgan for County Commissioner,Committee to elect Michelle Morgan,≤100,1
Raydient Communities,Raydient Communities,≤100,1
Delegate Elizabeth Guzman,and Authorized by Elizabeth Guzman for Delegate,≤100,1
Bob Bank For 45th Ward Alderman,"Bob Bank for Alderman 45th Ward,  A copy of our report filed with the IL State Board of Elections is (or will be) available on the Board's official website or for purchase from the State Board of Elections, Springfield, IL.",≤100,3
Lumity,Lumity,≤100,1
"Ross Engineering, Inc.",These ads ran without a disclaimer,≤100,1
Expanse,"Expanse apparel, no political affiliation",≤100,1
DermaBella Medical Spa,These ads ran without a disclaimer,≤100,1
Vance D. Wyatt - Lake County Board Member District 14,Vance Wyatt Election Campaign,≤100,4
CFOG2 - Citizens for Orderly Growth,CFOG - Citizens for Orderly Growth,≤100,1
Fox Stark,These ads ran without a disclaimer,≤100,1
Shield Republic,These ads ran without a disclaimer,≤100,1
Diaspora X Puerto Rico,"Diaspora For Puerto Rico, Inc.",≤100,3
Jake Chapman,Chapman for Senate,≤100,1
SEIU 721,SEIU Local 721,≤100,13
Athens Parents for Equitable Education,Athens Parents for Equitable Education,≤100,1
Golden Brunch Restaurant,Golden Brunch,≤100,1
Vince Juaristi,Vince Juaristi,≤100,3
"CMG Music Recording in Hollywood, CA",These ads ran without a disclaimer,≤100,1
Snohomish County Human Rights Commission,"Innovation Services PO Box 1944, Lynnwood WA 98046",≤100,1
Bier Station,"Bier Station, LLC",≤100,1
Cobb County Coalition,Cobb County Coalition,≤100,3
Matthew Smith For Davison School Board 2018,the Committee to elect Matthew Smith,≤100,2
Politicallyincorrecthumor.com,Joe Messerli,≤100,14
Royceann for Supervisor,Royceann for Supervisor,≤100,1
City of Greenwood - Mayor Mark W. Myers,City of Greenwood,≤100,1
Digna Cabral for City of Doral Council Seat 4,"Digna Cabral, for Doral Council, Seat 4",≤100,2
I Believe In Heroes,Hero Support HQ,≤100,2
Hidden Treasures Thrift Store,These ads ran without a disclaimer,≤100,1
Brian Godlewski - Tinley Park,Brian Godlewski,≤100,1
National Hurricane Survival Initiative,National Hurricane Survival Initiative,≤100,1
Loyalty is Forever,These ads ran without a disclaimer,≤100,1
Hebrew News,Hebrew News,≤100,3
"The Perry Group, Real Estate",These ads ran without a disclaimer,≤100,1
Salutem: Health & Tax Advisors,Salutem Health Advisors,≤100,5
"Tiffanie Fisher, Councilwoman - Hoboken 2nd Ward","Tiffanie Fisher, Councilwoman - Hoboken 2nd Ward",≤100,1
Citizens Climate Lobby Scott County MN,Citizens' Climate Lobby of Scott Co.,≤100,1
SpaceKnow,These ads ran without a disclaimer,≤100,1
LL Studio 2069 LLC,LL Studio 2069 LLC,≤100,1
Merle Hay Fitness - Personal Training,"Merle Hay Fitness, Inc.",≤100,1
Netroots Nation,"Netroots Nation, a 501(c)4 organization.",≤100,1
Save Cheyenne,"Save Cheyenne, a non-profit corporation for public lands.",≤100,4
NJ Business & Industry Association (NJBIA),the New Jersey Business & Industry Association,≤100,1
"Law Offices of Lucas P. Frei, PLLC",The Law Offices of Lucas P. Frei,≤100,1
Dorchester County Libertarian Party,Dorchester County Libertarian Party,≤100,2
Solar United Neighbors of Ohio,Solar United Neighbors,≤100,1
Chris Baecker,Chris Baecker,≤100,2
Rockin' Donald,Eagle Eye Sullivan,≤100,2
Words & Numbers,Words & Numbers,≤100,1
The Tikvah Fund,The Tikvah Fund,≤100,1
Bayou Blue Democrats,Bayou Blue Democrats PAC,≤100,1
HOPE Ministries,These ads ran without a disclaimer,≤100,1
Smokin' Oak Wood-Fired Pizza,These ads ran without a disclaimer,≤100,1
U.S. Grains Council,U.S. Grains Council,≤100,2
Republic Services,These ads ran without a disclaimer,≤100,1
"Center for Western Civilization, Thought & Policy","Center for Western Civilization, Thought & Policy at the University of Colorado Boulder",≤100,1
Libertarian Party of Washington County Arkansas,Washington County Libertarian Party,≤100,1
Arcane Treasures Antique Store WWII Items And Other Oddities,Arcane Treasures,≤100,1
Coach David Burkette Senate District 26,the campaign to re-elect Senator David Burkette,≤100,2
Rabble Mill,These ads ran without a disclaimer,≤100,1
Holmdel Republican Party,Holmdel Republican Party,≤100,1
Gayraffe,Gayraffe,≤100,2
Wisconsin Institute for Law & Liberty,Wisconsin Institute for Law & Liberty,≤100,1
Catch A Lift Fund,These ads ran without a disclaimer,≤100,1
