Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Go Vote Maine,"Rebuild Maine. PO Box 3, Auburn, Maine. NOT PAID OR AUTHORIZED BY ANY CANDIDATE",489,1
LeeJoe Lay regular guy.,elect LeeJoe,488,2
Trent Ashcraft for Metro Council,Campaign Fund of Derek T Ashcraft,488,7
Infusionsoft,These ads ran without a disclaimer,488,1
Pina Prinzivalli for State Representative,The Prinzivalli Committee,488,18
Sarah Davis for State Representative 134,the Sarah Davis Campaign,488,13
Elect Judge John Sanders,the Committee to Elect Judge John Sanders,488,3
Americans for Prosperity - North Dakota,Americans for Prosperity,488,1
NJ 11th For Change,NJ 11th for Change,487,7
Jonathan Parker,Jonathan Parker For State Representative,487,2
Republican Assembly Campaign Committee - RACC,New York Republican Assembly Campaign Committee,487,5
Chuck Ellinger - Council At-Large,Chuck Ellinger II,487,5
Virginia Hospital & Healthcare Association,Virginia Hospital & Healthcare Association,487,5
John Idleburg for Lake County Sheriff,Friends of John Idleburg,487,7
Paul Caccaviello,Committee to Elect Caccaviello District Attorney,487,13
KY Chamber Advocacy Committee,Kentucky Chamber Advocacy Committee,487,2
Tonya Pfaff for Indiana,Elect Tonya Pfaff,486,5
Jason Galisatus for Redwood City Council,Jason Galisatus for Redwood City Council 2018 FPPC ID#1408859,486,8
Ana-Maria Ramos for TX HD102,the Ana-Maria Ramos Campaign,486,5
AAFAF,AAFAF Puerto Rico,486,6
OYO Sports,These ads ran without a disclaimer,486,1
Russell Brunson,These ads ran without a disclaimer,485,2
Zahra Karinshak,"Friends of Zahra S. Karinshak, Inc.",485,53
Wayne Liebnitzky for Congress,Wayne Liebnitzky for Congress,485,8
Veteran Outfit,These ads ran without a disclaimer,485,9
Jim DeMay for District Court Judge,Citizens to Elect Jim DeMay Judge,485,3
Labor for Liuba,Liuba for Congress,485,3
The Center for Community Change,Center for Community Change,485,7
Chris Paddie For Texas,Texans for Chris Paddie,485,5
The Nature Conservancy in Florida,The Nature Conservancy in Florida,485,5
Kimberly Overman for County Commission District 7 - 2018,Kimberly Overman for County Commission District 7,485,5
Cody Smith,"Missourians for Cody Smith, Kevin Hardy Treasurer",484,2
Randy Bridges for Kentucky State Rep. District 3,Randy Bridges for State Representative,484,5
Mark Brnovich for Attorney General,Mark for AZ,484,1
Mark Batinick for State Representative,Friends of Mark Batinick,484,4
6th Congressional District Republican Party of Minnesota,CD6 Republicans,484,3
Julia Brownley for Congress,Julia Brownley for Congress,484,14
Art Sherwood for NC Senate District 46,North Carolina Democratic Party,483,3
Rex Renk for Clerk of the Supreme Court,"Rex for Montana. John W. Edwards, Treasurer. P.O. Box 718, Helena, MT 59624",483,34
Progress Tallahassee,"Progress Tallahassee, P.O Box 11012, Tallahassee, Florida 32302.",483,3
All About Arizona News,All About Arizona News,483,1
Caldwell County Democratic Party,Caldwell County Democratic Party,483,6
Re-Elect Brett Lindstrom,Friends of Lindstrom Committee 14911 Lake Street Omaha NE 68116,483,6
Dr Sharma Henderson For Carson,Dr. Sharma Henderson for City Council 2018  ID#1409154,483,5
ACLU of Connecticut,ACLU of Connecticut,482,5
Wendy Ullman for the 143rd,Friends of Wendy Ullman,482,4
Becky Hergatt for Richland County Commissioner,"Hergatt for Commissioner 2018, Neil Hergatt Treasurer",482,4
Cathy Breen for State Senate,"and authorized by Cathy Breen for State Senate, Hon. John Brautigam, Treasurer, 15 Falmouth Ridges Dr., Falmouth, ME 04105",482,5
Jessica Stalder for Laramie City Council Ward 1,Jessica Stalder,482,18
Clarion Project,Clarion Project,482,9
Chris Chung for Mayor,"Chris Chung for Mayor, 316B East Ruby Ave, Palisades Park, NJ 07650",482,4
No on Measure G,No a la Medida G: Detén el Cierre de Gas y Petróleo,482,3
Brian M. Middleton for District Attorney,Texas Justice & Public Safety PAC,481,2
AARP Nueva Jersey,AARP New Jersey,481,4
Tim Walczak for Simsbury,"Tim Walczak for Simsbury. Sean p. Askham, Treasurer. Approved by Tim Walczak.",481,2
League of Women Voters of Wisconsin,League of Women Voters of Wisconsin,481,8
Idaho Immunization Program,These ads ran without a disclaimer,481,4
Jorge Elorza 2018,Friends of Jorge Elorza,480,6
Charles Triplett for MO House,"Triplett for MO House, Mark Eggers, Treasurer",480,23
Chris Turner,the Chris Turner Campaign,479,2
Christian Andrews,Andrews for Iowa House,479,3
Paleo Life,Paleo Life LLC,479,2
No on 110 Yes on 109,No on 110 Yes on 109 issue committee,479,4
Allan Domb,Domb for Council,479,2
Monique Diaz for 150th District Court Judge,"Monique Diaz for Judge, Dr. John D. Edwards, Treasurer",478,12
ACLJ,American Center for Law and Justice,478,1
Protect Missouri Workers,Protect Missouri Workers PAC,478,2
Gale Mastrofrancesco for State Representative,"Gale Mastrofrancesco for State Rep, Barbara Roberts, Treasurer. Approved by Gale Mastrofrancesco.",478,3
Cubbler for Congress,Cubbler for Congress,477,5
Dr. John Bizon for Michigan Senate,"the Committee to Elect Dr. John Bizon, 114 Castle Ridge Dr., Battle Creek, MI 49015",477,2
Karín Sandiford for GA House District 46,"Committee to Elect Karin Sandiford, LLC",477,7
Cox & Germanio for Dennis Township Committee,Cox and Germanio for DT Committee.,477,3
Vote David Green CPA for Treasurer,"Friends of David Green CPA, PO Box 4002, Spokane WA 99220. (D)",477,3
Safe Streets Arvada,Safe Streets Arvada,477,2
Rise Up Arizona Women,"THE FUTURE WE WANT, WITH MAJOR FUNDING BY CITIZENS FOR ACCOUNTABLE GOVERNMENT. NOT AUTHORIZED BY ANY CANDIDATE.",477,6
Texas Citizens Coalition,Texas Citizens Coalition,477,15
Molder for Mayor,Molder for Mayor,477,6
Laura Fortman for State Senate,Vote Laura Fortman for State Senate,477,3
Our Health California,Our Health California,477,26
Surviving Retirement,LeadJig,477,18
Greg Coulson,Coulson for Kentucky,476,7
"Our Voice, Our Vote Arizona",Our Voice Our Vote Arizona,476,7
Edgar Montes for Rialto School Board 2018,Montes for Rialto School Board - 2018 FPPC# 1410879,476,8
Our American Century,Our American Century,476,1
Dana Schallheim for Anne Arundel County Board of Education - District 5,"This message is paid for and authorized by Friends of Dana Schallheim / Kelly Cornacchia, Treasurer",476,20
Empower Texans,Empower Texans,476,19
Stop Mathis,Enough is Enough California PAC,476,4
Brendan Kelly for Congress,Brendan Kelly for Southern Illinois and DCCC,476,1
Jim Skelton for County Commission,"Jim Skelton for County Commission, Dion Avello Treasurer",476,4
Lawyers' Committee for Civil Rights Under Law,Lawyers' Committee for Civil Rights Under Law,475,22
Chip Evans for Washoe County Assessor,Friends of Chip Evans,475,10
Roxanna Moritz - Scott County Commissioner of Elections,Roxanna Moritz - Scott County Commissioner of Elections,475,2
Georgia Right to Life,Georgia Right to Life,475,18
Friends of Christine Napierski,Friends of Christine Napierski,475,7
Jay Hoffman,The Committee to Elect Jay C. Hoffman,475,3
Jan Gardner for County Executive 2018,Jan Gardner for Frederick County,474,6
Ned Burns for Bellevue Mayor,Idaho REALTORS® PAC,474,4
Brick Watch,Brick Citizens for Transparent Government,474,2
District Attorney Tim Cruz,by the Committee to Elect District Attorney Tim Cruz,474,3
Vote Charles Johnson for Indiana Senate 45,Friends of Charles Johnson,474,4
Dana Maxfield for Vermont State Senate,Dana Maxfield for Vermont State Senate,474,10
Brett Hightower for Warren County Sheriff,Brett Hightower,474,6
Kathy Kennedy For The 119th,"Kennedy 2018, Andrew Fowler Treasurer. Approved by Kathy Kennedy",474,5
Max For Probate,Committee Max for Probate,474,5
Senator Jack Johnson,Jack Johnson for State Senate,474,1
Partners for College Affordability and Public Trust,Partners for College Affordability and Public Trust,473,2
Upstate Jobs Party,Upstate Jobs Committee,473,3
Martin County School District,Martin County School District,473,26
John Wheeler for State Representative,"Wheeler for State Representative. Tom Walker, Treasurer.",473,1
Food for the Hungry,Food for the Hungry,473,8
Representative Rebecca Dow,Committee to Elect Rebecca Dow,473,8
Henry Yanez,"Henry Yanez for State Senate, P.O. Box 7213, Sterling Heights, MI 48311",472,1
Lou D'Amaro For State Senate,D'Amaro 4 NY,472,2
George Bell for Judge,Committee To Elect George Bell For Judge,472,1
United States Holocaust Memorial Museum,the United States Holocaust Memorial Museum,472,25
Commissioner Neil Kerch,Neil C. Kerch,472,5
Stan Booker for Mayor,Authorized and paid for by Stan Booker for Mayor 2018.,471,8
Colton Black For La Plata County Treasurer,Colton Black for La Plata County Treasurer,471,7
Onondaga County Health Department,Onondaga Health Department,471,2
Our Revolution MN,Our Revolution MN,471,10
Pat Banks for State Representative,Pat Banks for State Representative Campaign,471,22
Rick Walker,Rick Walker,471,3
AARP MN,AARP Minnesota,470,4
Ryan McAdams For Congress,Ryan McAdams For Congress,470,9
Dal Bunn for Supervisor,Dal Bunn for District 2 Supervisor,470,9
Jessica Ancona for El Monte City Council,Ancona for City Council 2018 - FPPC 1409231,470,5
Vital 2 Vote,Russell Vitt,470,5
Wendy Sue for Wisconsin,Wendy Sue for Wisconsin,470,24
Liberal Progressive Democrats,Tiffany Willis,470,24
Vote Anahi Rodriguez For LB School Board District 1,Anahi Rodriguez,470,3
For Kids & Country,For Kids & Country,469,5
Jason Charbonnet,Jason Charbonnet Campaign,469,2
Delegate Rodney Pyles,Pyles For The House Committee,469,4
Alex Bergstein for CT State Senate,Alexandra Bergstein Committee,469,2
Hana Ali,"Hana Ali for State Representative, Sean Roach Treasurer.",469,3
Gallatin County Democrats,"Gallatin County Democrats, Treasurer Hanah McCarthy, PO Box 344, Bozeman, MT 59771",469,2
Texas Central,"Texas Central Partners, LLC",469,53
Rockingham County Democrats,"the Rockingham County Democratic Committee, Exeter, NH, Mark Vallone, Treasurer",468,21
Narragansett Democratic Town Committee,Narragansett Democratic Town Committee,468,16
Al Muratsuchi for Assembly,Muratsuchi for Assembly 2018.,468,12
Elect David Jones for Marshall County Superintendent 2018,David Jones for Superintendent PO Box 51 Arab AL 35016,468,10
Kent for Iowa House,Iowa Democratic Party. Authorized by Kent Balduchi.,468,1
Gene W. James for San Clemente City Council,Gene W James for San Clemente City Council,468,7
Tewksbury Republican Town Committee,Tewksbury Republican Town Committee,467,8
Campbell County Judge Executive Steve Pendery,Citizens for Pendery,467,9
Leslie Cohen for NC20,North Carolina Democratic Party,467,2
Ryan Fattman,the Massachusetts Republican Party,467,1
Silicon Valley Rising,Silicon Valley Rising,467,12
Clark Mitchell for State Representative,Committee to Elect Clark Mitchell,467,5
Democratic Party of New Mexico,The Democratic Party of New Mexico. Not Authorized By Any Candidate or Candidate's Committee,466,11
Travis Hartwig for Wisconsin State Treasurer,Hartwig for Wisconsin,466,7
Michael Bassett for Ottawa County Commissioner,Bassett for Commissioner,466,6
Mike Henderson,Henderson For Missouri,466,6
Bryan Osorio for City Council,OSORIO FOR DELANO CITY COUNCIL 2018--FPPC ID: 1408732,466,5
Democrats of Jefferson County WV,Jefferson County Democratic Party,466,18
Gregg Goslin,Goslin Campaign Comm,466,1
Melissa Cordeiro for Town Clerk,Friends of Melissa Cordeiro,466,2
Kara For Carbon,Friends of Kara for Carbon,466,5
Heather Macre 4 CAWCD,The Committee To Elect Heather Macre. Authorized By The Committee To Elect Heather Macre.,466,3
Greater Wisconsin Committee,the Greater Wisconsin Committee.,465,9
Cristina Garcia,CRISTINA GARCIA FOR ASSEMBLY 2018  FPPC ID 1393064,465,5
Center for Western Priorities,Center for Western Priorities,465,4
Ploughshares Fund,Ploughshares Fund,465,11
Do Better D86,District 86 Vote No on Tax Increase to Do Better,465,6
John Kiehne for State Senate,Kiehne for Missouri- Jeff Hackney Treasurer,465,5
Tim Quinn,Committee to Elect Tim Quinn,465,3
Jarviz Project,These ads ran without a disclaimer,465,1
Ann Fields for Iowa House,Iowa Democratic Party. Authorized by Ann Fields.,465,3
Kevin Hall Page,Kevin Hall for Pike County Judge Executive,465,10
Friends of Roger Goodman,Friends of Roger Goodman | 218 Main St PMB 763 Kirkland 98033,464,2
POET,POET LLC.,464,11
Dan Fister for KY State Representative,Daniel Fister,464,9
AFP Minnesota,Americans for Prosperity,464,1
Paula Sutton for Maine State Representative,Committee to Elect Paula Sutton,464,10
Judy Griffin for State Assembly,Friends of Judy Griffin,464,2
Approved By Citizens,San Antonio First,464,2
"Madeleine Leveille for State Rep for Clinton, Killingworth and Westbrook","Friends of Madeleine. Owen Charles, Treasurer. Approved by Madeleine Leveille",464,6
"Mark Bordeau, Broome County Legislature",Friends of Mark Bordeau,463,9
Saving The West,Commonwise,463,24
Calvert County Democratic Party,"By Authority of Beth Swoap, Treasurer",463,16
Stop the Dump,Stop the Dump,463,5
Matt Cartwright for U.S. Congress,Cartwright for Congress.,463,7
CheapCaribbean.com,CheapCaribbean,463,2
Free Don Siegelman,Sharron Williams,463,7
Heady For Senate,Heady Coleman for State Senate 2018,463,11
Freedom Action Network of South Carolina,Freedom Action Network of South Carolina,463,9
Broder for District Attorney,Candidate,463,33
PAUL YANG for Ramsey County Judge,"Citizens To Elect Paul Yang, 452 Lafond Ave, St. Paul, MN, 55103",463,4
Chip Monaco,Committee to Elect Chip Monaco for Orange City Council 2018 ID#1399807,462,15
Brent Yonts for 15th District State Representative,Brent Yonts Campaign,462,10
Field of Vision,Field of Vision,462,4
East Wake Republicans,East Wake Republican Club,462,7
Kevin James Brown,Kevin James Brown for Idaho,462,1
Daniel Nguyen for Lake Oswego City Council,Friends of Daniel Nguyen Committee for City Council,462,7
Karl Williams for Judge,Karl Williams for Judge,462,4
Saturn for Utility Commissioner,"Friends of Saturn, Box 1052, Olympia, WA 98507",462,6
Hilda Garza DeShazo,Hilda Garza Deshazo Campaign,462,4
Eaton County Republican Party,"Eaton County Republican Party with regulated funds. Not authorized by any candidate or candidate committee. Eaton County Republican Party. P.O. Box 80112, Lansing, MI 48908",461,23
Carol Crews for Prosecutor,Carol Crews for Prosecutor,461,3
Linda L. Gaustad for Judge,"Political Advertisement Paid For And Approved By Linda L. Gaustad For Circuit Judge, Circuit 7, Group 15. Nonpartisan.",461,6
CFT - California Federation of Teachers,California Federation of Teachers,461,8
Elect Judge Helen Petry Stowe,Helen Petry Stowe for Judge in compliance with the voluntary limits of the Judicial Campaign Fairness Act,461,3
"Representative Daneya Esgar, HD 46",Committee to Elect Daneya Esgar,461,5
San Diegans Against Crime,San Diegans Against Crime Sponsored by the San Diego County Deputy District Attorney’s Association. Committee major funding by: Jennifer A. Moores California Correctional Peace Officers Association PAC. This advertisement was not authorized by a candidate or committee controlled by a candidate.,460,2
January Contreras,January Contreras for Attorney General. Authorized by January Contreras.,460,1
Shem Hanks For Idaho,Shem Hanks For Idaho,460,16
Rock Island County Democrats,the Rock Island County Democratic Central Committee and not authorized by any candidate or candidate's committee.,460,6
Heather Carter,VOTE HEATHER CARTER SENATE,460,8
Linda Dixon Bullock for District Court,Committee to Elect Linda Dixon Bullock,460,6
Ross Township Republican Committee,Ross Township Republican Committee,459,2
Voters Decide,Voters Decide,459,160
Sheri Donahue for Kentucky State Senate,Sheri Donahue for Kentucky State Senate,459,5
The Board of Elections in the City of New York,Board of Elections in the City of New York,459,5
Deanne Mazzochi for Illinois,Citizens for Mazzochi.,459,3
Republicans for Beto O'Rourke,Republicans for O'Rourke,459,26
San Joaquin County Democratic Party,San Joaquin County Democratic Central Committee,459,6
Laura Sturgeon,Friends of Laura Sturgeon,459,8
Corean Todd for Peralta,Corean Todd for Peralta 2018 | FPPC # 1409195,458,11
David Arconti for State Representative,"Arconti 2018, Frank R. Salvatore Jr., Treasurer. Approved by David Arconti",458,5
Doug Skaff Jr.,Doug Skaff for WV,458,13
Ohio Gun Owners,Ohio Gun Owners,458,7
Charles Jennings for Delta College Trustee,Charles Jennings for Area 4 Delta College Trustee 2018,458,17
Frank Farry for State Representative,the Friends of Frank Farry,458,1
Kesha Rogers,Kesha Rogers 2018,458,7
Multiply Your Vote,Local Majority,458,12
Benno4Congress,Benno for Congress,458,54
Mac Thornberry for Congress,Mac Thornberry for Congress,458,4
Bill Quirk For Assembly,Bill Quirk for Assembly 2018. FPPC# 1392630.,457,5
Neighbors for Sauke,Neighbors for Sauke,457,2
Alaskans Together For Equality,Alaskans Together For Equality,457,6
NUNYO & COMPANY,Nunyo Demasio,457,2
Molly for State's Attorney,Molly for State's Attorney,457,5
Rebecca Schiff,Committee To Elect Rebecca Shiff,457,35
DeAnda for Mayor,DeAnda for Mayor 2018,457,4
Greater Wisconsin Committee,"Greater Wisconsin Political Fund. Not authorized by and candidate, candidate’s agent or committee.",456,3
Michelle Cook For State Rep.,"Cook 2018, Glenn McLeod Treasurer",456,15
Delegate Shawn Fluharty,Fluharty for House,456,2
Concerned Veterans for America Foundation,Concerned Veterans for America Foundation,456,33
The Committee to Keep Judge Rob Johnson,"The Committee to Keep Judge Rob Johnson, Clem Walters Treasurer",456,1
No on 104,Defend Oregon,455,4
David Lawson,"Lawson2018, Marie Dupree, Treasurer. Approved by David Lawson",455,2
Mark Fox for Metro Council,Mark Fox for Metro Council,455,7
Melanie Stansbury for NM,"Melanie for NM, Donna Lockner, Treasurer.",455,1
Alex Hansen for Livingston County Commissioner,Committee to Elect Alex Hansen,455,3
Wendy Boszak for NV SD14,Friends of Wendy Boszak,455,9
"Kayla Kessinger, House of Delegates",Elect Kayla Kessinger,454,2
Eddie Corrigan,Citizens for Corrigan,454,5
Angelika Schroeder for State Board,The Committee to Re-elect Angelika Schroeder for State Board of Education,454,4
Judge Bill Graves,Re-Elect Judge Graves 2018,454,5
Coalition for a Safe Secure America- Montana,Coalition for a Safe Secure America,453,12
Zima Creason,Zima Creason for SJUSD Board Member 2018 - ID #1399876,453,4
Kay Murano,"Friends of Kay Murano, P.O. Box 10507, Spokane, WA 99209",453,12
Poonam Gill for State Rep,GILL FOR INDIANA,453,5
I am LDS,Deseret News,453,3
Kelly Hake for District Judge,Kelly Hake for District Judge Committee 2018,453,9
Christopher Rosario for State Representative,Rosario 2018. Erin McDonough Treasurer. Approved by Christopher Rosario.,452,3
Donovan Rodriques for Englewood Board of Education,Donovan Rodriques for Board of Education,452,10
SunPower by Stellar Solar,SunPower by Stellar Solar,452,3
David Cook - Arizona State Representative,Cook 4 State House,452,7
Representative Jason Fischer,"and approved political advertisement by Jason Fischer, Republican for State Representative, District 16",452,1
Jobs for Abilene,supporters of DCOA.,452,2
"Randy Christmann, ND Public Service Commissioner","Christmann for PSC, Renae Doan, Treasurer",452,1
Republican Party of Gilbert,Arizona LD12 Republican Committee,452,7
March for Life,March For Life,452,2
Mercedes Monitor,Mercedes Monitor,452,5
Elect Shad Higgins Sheriff Buncombe County 2018,the Committee to Elect Shad Higgins for Sheriff Buncombe County 2018,452,14
Judge Celeste Wilson,"the committee to elect Celeste Wilson for Judge. Jill Guy, Treasurer. Candidate Approved.",452,3
Vote Gloria Johnson,"Friends of Gloria Johnson, Lisa Sorensen, Treasurer",452,4
Dr Paul Santoro for Cumberland Fire Board,Paul Santoro,451,4
State Representative Greg Stokes,"New Friends PAC, Greg MacKinnon, Treasurer. Approved by Greg Stokes.​",451,3
Mike Mullen,Committee to Elect Mike Mullen,451,16
Christian Coalition of Florida/CCA,the Christian Coalition of Florida/CCA,451,4
Bob Menendez for NJ,Menendez for Senate,451,14
Doug Zenner Nez Perce County Commissioner,"Doug Zenner for County Commissioner, Corinne Zenner Treasurer",450,10
Friends of Judge Peter A. Lynch,The Committee to Elect Judge Peter A. Lynch NYS Supreme Court Justice,450,4
Christine Fisher,the Committee to Elect Christine Fisher,450,23
Michele Knoll,One Vote at a Time and Knoll 4 PA 44,450,3
Free Speech Film Festival (tm),Free Speech Film Festival,450,3
Isaac Hayes III,Isaac Hayes III,450,2
GWC Law,GWC Law Firm,450,1
John Szoka - NC House,John Szoka for NC House,450,1
Sean Carrigan for Congress,Sean Carrigan for Congress,450,2
Elect Rich Cramsey,Citizens for Cramsey,450,54
Doug Collins,Doug Collins for Congress,449,2
Keep Recorder McClain,Citizens for Brandon McClain,449,7
Allan Adams For District Attorney,The Committee to Elect Allan Adams,449,4
Elect Clint Taylor for Sheriff Committee,Elect Clint Taylor for Sheriff Committee.,448,13
Stephen Green for Judge,Stephen R Green for Circuit Judge,448,4
E Jay Marcum For Wayne County Commission,the candidate,448,7
Antonio Martinez For City Council,San Diego County Democratic Party,448,2
Sara For State House,Sara Rasmussen for House,448,4
Jim Root for Sheriff,Root for Sheriff,448,9
Councilman Ben Molina,Ben Molina For District 2,447,4
"Ashley Gilhousen, Clay County School Board","Ashley Gilhousen for Clay County School Board, District 5",447,7
Sunset Solar,Sunset Solar,447,9
LiveWell Colorado,LiveWell Colorado,447,24
Marc Parker for Circuit Judge,Friends for Marc Parker,447,3
Melissa Gravitt for Judge,"the Committee to Elect Melissa Gravitt for Circuit Court Judge, Tenth Circuit, Group 10",447,5
Deb Rowley for State Rep - Narragansett / SK,Friends of Deb Rowley,447,4
Kelly Scott Unger for District 87,Kelly For District 87,447,15
Dawn E Wojcik for State School Board,Friends of Dawn E. Wojcik,447,4
Friends for Karen 38,Friends for Karen 38,447,9
Winnebago County State's Attorney Joe Bruscato,Friends of Joe Bruscato,447,4
MI Time to Care,"MI Time to Care, PO Box 1502, Royal Oak, MI 48068",446,4
Marty Qually for Adams County,Friends of Marty Qually,446,14
"Friends of Buckingham County, Virginia",Friends of Buckingham County,446,6
Don't Trump Austin,"No on Prop J PAC - Nicole Joslin & Matthew Borah, John-Michael Cortez, David Sullivan, Dick Kallerman, and Angela De Hoyos Hart",446,3
Rutgers University—Camden,Rutgers University—Camden,446,2
Don Allan for Delaware,Allan for Delaware,446,10
Perry for Kansas,Perry for Kansas,446,4
Formica for Senate 2018,"Formica for Senate, Devon Sullivan, Treasury. Approved by Paul Formica",446,10
Ceraso for Claremont City Council,Ceraso for Claremont City Council,446,7
Marion County Republican Executive Committee,Marion Country Republican Executive Committee,446,5
Nelson Araujo,Committee to Elect Nelson Araujo,445,3
Haulmark for Kansas,"Haulmark for Kansas - Kaitlin Neiger, Campaign Treasurer",445,7
Lisa Beck for Indiana State Representative - District 19,Citizens to Elect Lisa Beck,445,4
Central Valley Progressive PAC,The Central Valley Progressive PAC,445,4
Delegate Glen Glass,"Friends of Glen Glass, Andrew Stubbs, Treasurer",444,19
Hugh McKenney for State Rep,"the Committee to Elect McKenney for CT 37th District, Janet Griggs, Treasurer",444,8
Extreme Pohutsky,Livonia Concerned Citizens,444,2
"Mike Halleck, Columbiana County Commissioner","Mike Halleck, Columbiana Commissioner",444,2
Assemblyman Gary Finch,New York Republican Assembly Campaign Committee,444,4
Pennsylvania Cable Network (PCN),PCN (Pennsylvania Cable Network),444,7
Carol Tempel:  Engaged Citizen,Carol Tempel Campaign Fund,444,10
"Mary Wynne Kling, Candidate for Alabama House District 79","Friends of Mary Wynne Kling, 300 N Dean Rd Ste 5-182, Auburn, AL 36830",444,13
"Mike Salisbury, County Commissioner Candidate",The Committee to Elect Mike Salisbury,443,9
Will Person for Hillsborough County School Board,Will Person for Hillsborough County School Board District 1,443,5
Nicholas Madaj,"Friends of Nicholas Madaj, 1518 Somerset Ct., Mt. Pleasant, MI 48858",443,1
Andy Manar,Friends of Andy Manar,443,5
Vote for Shannon,Washington Works PAC,443,3
Solstice,Solstice,443,7
Woolwich Township Democrat Club,"Pride in Woolwich 2018, Box 244, Swedesboro NJ 08085",442,4
Georgia Votes,"ProGeorgia, Inc.",442,2
Sheryl Siegel for GRCC Board,Sheryl Siegel for GRCC Board,442,5
Darya Klammer for Court of Appeals,Darya Klammer for Judge Committee,442,5
SmartNews,These ads ran without a disclaimer,442,2
"Carew Papritz, Award-Winning Author",Carew Papritz (The Legacy Letters),442,2
Lisa Barclay Fountain for Circuit Judge,"Lisa Barclay Fountain for Circuit Judge, Second Circuit, Group 12",442,1
Write-in Ric Caruso PA US Senator,"Ric Caruso, Candidate for the PA US Senate 2018",442,7
Latino Mix Phoenix,Aliados Adelante,442,12
"Jennifer Sabin for Polk County School Board, District 5","Jennifer Sabin for Polk County School Board, District 5",442,2
John Barnes for HD 89,The Committee to Elect John Barnes,442,8
Henry Alexander III,Henry Alexander III for Sunnyvale City Council 2018,441,5
James Mendrick For DuPage Sheriff,"Mendrick for Sheriff, a copy of this transaction report is or will be available at the Illinois State Board Of Elections website",441,6
Steck for Assembly,Steck for Assembly,441,11
Re-Elect Representative Raye Felder,Campaign to Elect Raye Felder,441,6
Logan Smith for Santa Clarita City Council,SMITH FOR CITY COUNCIL 2018 FPPC ID#1397377,441,4
Political App,Political App,440,2
"Rome4KS-Nicole Rome for KS House of Representatives, District 27","Rome for Kansas, Beatrice M. Zimmerman, Treasurer.",440,4
Chad Christensen for Idaho,Chad for Idaho,440,15
Nick Lampson,Nick Lampson For County Judge Campaign,440,7
"SEIU 521 Region 3 - Mariposa, Merced & Stanislaus",Service Employees International Union Local 521,440,2
Don Little for School Board,Don Little for School Board,439,7
Rebecca Bailey for State Representative District 15,"Rebecca Bailey, Fiscal Agent, Piermont NH",439,5
Adobe Creative Cloud,Adobe,439,1
Elizabeth Heng,Elizabeth Heng for Congress,438,5
Britton for Alabama,Committee to Elect Eddie Britton,438,14
Allie on CRTV,CRTV,438,6
Realtors in Opposition to the Real Estate Transfer Tax,Realtors in Opposition to the Real Estate Transfer Tax,437,1
Karen Kusiak for ME Senate,Karen Kusiak,437,4
Marilyn Wiles For AZ State Senate - District 10 - Rep.,COMMITTEE TO ELECT MARILYN WILES,437,2
A Greater Madison Vision,Capital Area Regional Planning Commission,437,15
Elect Richard D. Jackson Judge,The Committee to Bench Jackson,437,7
Fulton for Wake County District Court Judge,Committee to Elect Nicolette Fulton,437,4
John Legend,FREEAMERICA,437,5
Our Progressive Values,"The Northville Democratic Club PAC, 990 Whitegate Dr, Northville, MI 48167",437,9
Great America PAC,Great America PAC,436,1
Livingston County Republican Party,"Livingston County Republican Party with regulated funds, P.O. Box 923, Brighton, MI 48116 (Not authorized by any candidate or candidate committee.)",436,1
Re-Elect Councilman Nick Long,"Nick Long Campaign, Kari Long Treasurer, 2951 Marina Bay Dr. #130-120 League City, TX. 77573",436,10
Matt Wilhelm for NH,"Matt Wilhelm for NH, David Bullock Fiscal Agent",436,8
Friends of Anna Williams,Friends of Anna Williams,435,8
Re-Elect Pat Sullivan for State Representative,"Pat Sullivan for State Representative (D) 26513 168th Pl SE, Covington WA 98042",435,4
Delran Democratic Committee,"Delran Democratic Committee, 261 Burning Tree Rd, Delran, NJ 08075",435,14
Kathy Tocco for District Court Judge,"Kathy Tocco for District Court Judge. 31669 Kendall, Fraser, MI 48026.",435,2
Citizens For A Reliable 911,Citizens for a Reliable 911,435,4
Kevin Byrne,New York Republican Assembly Campaign Committee,435,8
Minnesota Department of Health,Minnesota Department of Health,435,4
The Actors Fund,Lautman Maska Neill & Company,434,4
Stop Rinaldi,Enough is Enough Texas PAC,434,4
Matt Irwin for Aroostook County Sheriff,Matt Irwin for Aroostook County Sheriff,434,8
Ray Russell,North Carolina Democratic Party,434,2
Elect Sarah Willis for Circuit Court Judge,"Sarah Willis for 15th Judicial Circuit Court Judge, Group 25.",434,8
Bill Burgess for Marion County Commissioner,Bill Burgess for Marion County Commissioner,433,8
Dow Constantine,Friends of Dow Constantine,433,4
Sen. Reuven Carlyle Re-Election 2018,"Friends of Reuven Carlyle | PO Box 9100 | Seattle, WA 98109",433,1
Finish the Ballot,"Texas Petition Strategies on behalf of its clients, Restaurant & Beverage Alliance of Texas, Economic Growth Committee as applicable",433,6
Protect our health care in Illinois,"Harold Pollack, Flossmoor, Illinois",433,5
Ann Maine,Ann Maine For County Board 60069,433,1
Alexis Acosta For Doral,Alexis Acosta Campaign for Doral City Council Seat #4 ballot 100,433,20
PennFuture,PennFuture,432,2
Kevin Lopez for Texas Senate District 30,The Kevin Lopez Campaign,432,14
Ryan Pearson,Friends of Ryan Pearson,432,6
