Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Chicago Unheard,"Chicago Unheard, a blog committed to letting parents, teachers and students talk about schools.",172,2
First Primary Care,First Primary Care,172,2
Lucky Duck Foundation,Lucky Duck Foundation,172,2
David Y. Grossman for Commissioner of Sunny Isles,"David Y. Grossman for Sunny Isles Beach Commissioner, Seat 2",172,11
Polling.GOP,Polling Dot GOP,171,2
ASPCA,the ASPCA,171,9
"Township of North Bergen, NJ",Township of North Bergen,170,1
Gulfport-Biloxi International Airport,Gulfport-Biloxi International Airport,170,1
National Notary Association,National Notary Association,170,3
Palm Beach Civic Association,Palm Beach Civic Association,170,3
Elder Services of the Merrimack Valley,an ACL Grant No. 90MP0226,170,1
California Health Care Foundation,the California Health Care Foundation,170,2
Reclaim New York,Reclaim New York,169,2
Girls in Politics Initiative,Girls in Politics Initiative,169,38
Delegate Bob Thomas,Friends of Bob Thomas,169,3
Morning Consult,Morning Consult,169,7
IXNAY PAC,"Ixnay PAC. Not authorized by any candidate, or candidate's committee.",168,47
Insurance Florida,JENY RIOBUENO,168,1
Invisible Institute,the Invisible Institute,168,7
Shareblue Media,Shareblue Media,168,2
LiveWell Johnson County,Department of Health & Environment,168,2
"Heck Off, Commie","Heck Off, Commie!",168,6
My America,My America,168,5
Economic War Room,CRTV LLC,167,19
Created Equal,Created Equal,167,8
The Answer San Diego FM 96.1 AM 1170,Salem Media,167,1
The Wilson Quarterly,The Wilson Quarterly,167,1
Patrick Lashford,Patrick Lashford,166,1
SeeClickFix,SeeClickFix,166,3
Online Health Exchange,Eric Boutin,166,4
Cry Baby Trump,JNR Enterprises,166,1
Pro Life Tipping Point,Tipping Point,166,2
Connecticut Progressives,James Joseph Connolly (2397134148072),166,1
DTN/The Progressive Farmer,DTN/The Progressive Farmer.,165,2
Family First Immigration,FAMILY FIRST IMMIGRATION LLC,165,4
AARP Member Benefits,AARP Member Benefits,165,3
Empower Texans,Empower Texans,164,5
Rodney J. Strange - 15th District Chemung County Legislator,Chemung County Legislator Rodney J. Strange,164,2
Land Stewardship Project,Land Stewardship Project,163,1
Beacon,the Maine People's Alliance,163,6
Fix MI State,the Michigan Infrastructure & Transportation Association,162,3
Washington Environmental Council,Washington Environmental Council,162,2
American Concrete Pumping Association (ACPA),the American Concrete Pumping Association,162,3
United Way of Massachusetts Bay,United Way of Massachusetts Bay and Merrimack Valley,161,3
Jewish Family Service of San Diego,Michael Stern,161,2
HSV Vote,Cooper Communities Inc.,161,9
National Foundation to End Child Abuse and Neglect,National Foundation for Ending Child Abuse and Neglect,160,1
The Alaska Landmine,The Alaska Landmine,160,2
Fix the Charter,Fix the Charter,160,7
Equal Justice Initiative,Equal Justice Initiative,160,1
Better World Bio,Better World Bio LLC,160,9
Prosperity's Front Door - How Homes Build Strong Communities,Prosperity's Front Door,160,3
"Ravi Bhalla, Mayor of Hoboken",Ravi Bhalla for Hoboken Mayor,159,5
Institute for Southern Studies,Institute for Southern Studies,159,5
Andy Gipson for Mississippi,Friends of Andy Gipson,159,5
The Southern Trapper,Southern Trapper,159,4
Freedom Motors,Freedom Motors,158,1
Dan Newhouse for Congress,Dan Newhouse for Congress,158,1
Institute for Systems Biology,Institute for Systems Biology,158,10
Steward Speakers,Steward Speakers Series,158,3
Warriors for Warriors,"Warriors for Warriors, a non-partisan 501c3 non-profit offering free support for active duty military and veterans.",158,1
Public for Penn,Public for Penn,157,12
Asociación de Maestros de Puerto Rico,Asociación de Maestros de Puerto Rico,157,5
Our Children's Trust,Our Children's Trust,157,2
Kennett Democrats,"Kennett Area Democrats, Dale LaBar, Treasurer",157,8
ServedFresh.Collection,These ads ran without a disclaimer,157,1
National Public Pension Coalition,National Public Pension Coalition,156,3
Ryan Gatti for State Senator District 36,Ryan Gatti Campaign,156,2
Museum of Jewish Heritage - A Living Memorial to the Holocaust,These ads ran without a disclaimer,156,5
The Balance of Power,jorgea hernando,156,3
Jonathan Stickland,Jonathan Stickland Campaign,155,2
Better Than Joneses,Better Than Joneses,155,12
Mississippians Stand Together,Mississippians Stand Together,154,3
Belinda Leon for City of Doral Council Seat 4 Campaign,and approved by Belinda Leon for the City of Doral Council Seat 4 as a political advertisement.,154,10
Greater Good Strategy,Emily Goodstein,154,2
Michigan Legislative Consultants,Michigan Legislative Consultants,154,4
Health Care Workers Rising MA,Healthcare Workers Rising Massachusetts,154,5
Friends of RealOptions,RealOptions Obria Medical Clinics,153,24
Johnson & Biscone,Johnson & Biscone,153,1
Councilmember Mike Bonin,"Mike Bonin for City Council 2013 Officeholder account. 777 S. Figueroa St. Ste 4050 Los Angeles, CA 90017. Additional information at ethics.lacity.org. NOT PAID FOR AT TAXPAYER EXPENSE.",153,1
Consumer Action for a Strong Economy,Consumer Action for a Strong Economy,153,1
Seniors Speak NE,Nebraska Health Care Association and LeadingAge Nebraska,153,2
American Farmland Trust,American Farmland Trust,152,2
Operation Unite,Scranton Fire Department,152,5
Anthem Medicaid,"© 2005 - 2018 copyright of Anthem Insurance Companies, Inc. Serving Colorado, Connecticut, Georgia, Indiana, Kentucky, Maine, Missouri (excluding 30 counties in the Kansas City area), Nevada, New Hampshire, Ohio, Virginia (excluding the Northern Virginia suburbs of Washington, D.C.), and Wisconsin.",152,2
AARP NH,AARP New Hampshire,151,4
Pennsylvania Medical Society,Pennsylvania Medical Society,151,10
State Representative Trent Ashby,Texans for Trent Ashby,151,2
Show-Me Institute,the Show-Me Institute,151,2
National Veteran Programs,National Veteran Programs,151,3
Senator René García,Rene Garcia,150,2
Abogados de Inmigración y Derecho Penal USA,Juan Carlos Monteza.,150,3
Pima County Recorder,Pima County Recorder's Office,150,1
University of Michigan School of Public Health,University of Michigan School of Public Health,150,1
Publicwill,Publicwill,150,26
Virginia Tea Party,Virginia Tea Party,150,2
Paul Heroux,Citizens for Paul Heroux,150,2
Resistance By Design,Resistance By Design,150,4
Stand Up Live Huntsville,Stand Up Live: Huntsville,150,2
LESS CANCER,Less Cancer,150,2
American Immigration Lawyers Association,These ads ran without a disclaimer,150,1
John Bel Edwards for Louisiana,John Bel Edwards for LA,150,1
Rewire.News,Rewire.News,149,3
Corporate Accountability,Corporate Accountability,149,8
Coverage of the Trump Presidency by The Epoch Times,The Epoch Times,149,8
Institute for Justice,the Institute for Justice,149,1
Maine Coast Heritage Trust,Maine Coast Heritage Trust,148,3
Medi-Share,Christian Care Ministry,148,1
Richmond Standard,Richmond Standard,148,2
Count on Coal,the National Mining Association,148,15
Ford Ridge Wind,Ford Ridge Wind,147,61
DTE Energy,DTE Energy,147,3
One Florida Foundation,One Florida Foundation,147,2
Intentionally Vicarious,Todd Youngblood,147,3
Hebrew News,Hebrew News,146,11
Christian Care Ministry,Christian Care Ministry,146,4
Freedom House,Freedom House,146,1
Boss Vos,Boss Vos,145,4
Montana Yemen Task Force,Montana Yemen Task Force,145,3
Ken Kincade for Cabot Mayor,the Ken Kincade for Mayor campaign,145,3
Congressman Clay Higgins,Office of Congressman Clay Higgins,144,2
Hunter Nation,Hunter Nation,144,4
RBG Notorious,These ads ran without a disclaimer,144,1
Maasai Girls Rescue Center,Maasai Girls Rescue Center,144,6
The Rutherford Institute,The Rutherford Institute,144,33
Precious Retirement Strategies,Precious Retirement Strategies,144,9
Portfolio Books,Portfolio Books,143,1
Northeast Supply Enhancement,Northeast Supply Enhancement,143,3
Exodus Cry,Exodus Cry,143,2
Corkscrew Donald,Eagleview USA,142,10
Americans for Prosperity - Utah,Americans for Prosperity,142,4
Primera Solucion Legal #casadelpoderhispano,Primera Solucion Legal,141,1
The Foundation for Oklahoma City Public Schools,The Foundation for Oklahoma City Public Schools,141,1
Movebr,MoveBR,141,1
Our Voice At Work,Our Voice At Work,140,1
AARP California,AARP,140,1
Charleston County Democrats,Charleston County Democratic Party,140,1
International House of Prayer,International House of Prayer Kansas City,140,1
The Ocean Foundation,The Ocean Foundation,140,5
Abortion Clinics Online,Abortion Clinics OnLine LLC,140,1
Gordon Trey Bargas for Baton Rouge Constable,GTB for BR Constable,140,1
The Kids Union,The Kids Union,140,4
Council Member Rachelle Arizmendi,Arizmendi for City Council 2018,140,2
Trump 2020,Greg Burright,140,1
Two Flags,Two Flags,140,1
Idaho State Department of Education,Idaho State Department of Education,140,1
Utahns For Conservation,ACES Companies,140,1
International Women's Health Coalition,International Women's Health Coalition,140,1
Gospel for Asia,Gospel for Asia,140,1
Red Symposium,Greg Burright,140,1
Illinois Coalition for Access to Affordable Medication,Illinois Coalition for Access to Affordable Medication,140,1
College Possible,College Possible,140,2
Craig Huey,Craig Huey,140,3
Louisiana Oil & Gas Political Action Committee,Louisiana Oil & Gas Political Action Committee,140,1
Team Villard,"Paule Villard Campaign for North Miami Beach Commissioner, Group 2",140,2
Conservative Renaissance,Greg Burright,140,1
National Savings Programs,National Savings Programs,140,2
Conservative News Today,BizPac Review Inc,140,1
REMEDIGAP,Quinn Group LLC,140,2
Representative Nick Mattiello,Friends of Nicholas Mattiello,140,2
Beacon Center of Tennessee,the Beacon Center of Tennessee,140,1
Trump 2020 Wear,"Trump 2020 Wear - Apparel Store not associated with the Trump campaign.  This is not a political page directly, we just sell shirts, hats etc.   Our ads will not relate directly to politics or an issue or national importance, just promoting products.  Thx",140,1
Re-elect Kelley Jean Monahan Register of Deeds Grafton County New Hampshire,Kelley Jean Monahan Fiscal Agent,140,1
Empower Mississippi,Empower Mississippi,140,1
Israel365,Friends of Meir Panim,140,1
Commissioner Cecil Brown,Mississippi Public Service Commission,140,1
Everyone Loses with City Prop A,"with regulated funds by Protect Our Future: Voters for a Responsible Ann Arbor | PO Box 3497 Ann Arbor, MI 48106",140,1
Blue Chip Insurance Triad,Blue Chip Health Insurance Triad,140,1
Blue Chip Insurance Wilmington,Blue Chip Insurance Wilimington,140,2
Viewpoint Israel,Viewpoint Israel,140,5
American Health Plans,American Health Plans,140,1
Israel on Campus Coalition,These ads ran without a disclaimer,140,1
Jersey Renews,Jersey Renews,140,2
National School Walkout,National School Walkout,140,1
Anglers for Lake Okeechobee,Anglers for Lake Okeechobee,140,1
Invested Interests,Invested Interests,140,2
Stand,Stand (EIN: 94-3331587),140,2
Representative Logan Wilde,Logan Wilde for House District 53,140,1
"NeSmith Immigration Attorneys, LLC",NeSmith Immigration Attorneys,140,3
Ryan Hampton,Ryan Hampton,139,7
Apologia Studios,Apologia Christian Ministries,139,1
Pierce County,Pierce County Department of Communications,139,4
POLITANK*,Politank*,139,2
Hispolitica,Diverse New Media,139,3
Yes to Affordable Groceries,Yes! To Affordable Groceries,139,16
Austin Baidas for 44th Ward Alderman,Friends of Austin Baidas,139,4
American Association of Nurse Practitioners,the American Association of Nurse Practitioners,139,1
Jane Nelson,Friends of Senator Jane Nelson,138,4
City of Auburn City Hall,"City of Auburn, NY",138,3
Race and Grace,Brave Path Media LLC,138,5
International Rescue Committee,These ads ran without a disclaimer,138,1
Donna White,Donna White for NC House,138,2
Dan Rizzo for Revere,Committee to Elect Dan Rizzo,137,3
Blue in the Heart of Texas,Blue in the Heart of Texas,137,4
My Child. My Choice.,My Child. My Choice.,137,8
Originalgunoil,Original Gun Oil,137,3
Noticias Xtra,Noticias Xtra Media,137,2
Thunder106,"Press Communications, LLC",137,1
Dogwood Alliance,Dogwood Alliance,137,2
OneLife LA,OneLife LA,137,6
Minnesota's Hospitals,the Minnesota Hospital Association,137,4
District 8,Michael Maguire,137,3
Tahoe Fund,Commonwise,136,13
CAVU,Calm Air Visibility Unlimited. CAVU is a 501(3)c non-profit and does not endorse political candidates for office.,136,5
AARP Maine,AARP Maine State Office,136,2
American Association of Evangelicals - AAE,"Liberty T, LLC",135,2
Naturally Fit Inc,Naturally Fit Inc,135,1
Brick Underground,Brick Underground,135,3
The Khalaf Law Firm PLLC,Khalaf Law Firm,135,1
A Kids Right,"John Murtari, AKidsRight, Inc.",135,1
Steven Crowder,CRTV,135,15
Impact Fund,"The Impact Fund, a Public Charity, dedicated to supporting strategic litigation to advance economic, environmental, and social justice for marginalized communities.",135,3
Crowned Free,Crowned Free,135,4
Genomind,Genomind,134,2
Houston Relief Hub,John Wedgeworth IV,134,7
Altamar with Peter Schechter and Muni Jensen,"Altamar, A Leading Global Affairs Podcast",134,6
Center for American Progress,the Center for American Progress,134,1
Cornucopia Natural Foods,Cornucopia Natural Foods,134,2
The Carying Place,The Carying Place,133,1
Education Minnesota,Education Minnesota,133,1
Councilmember Joe Buscaino,Joe Buscaino Council Office,133,5
Apex Clean Energy,Apex Clean Energy,133,5
Frank and Jeanne Moore Wild Steelhead Sanctuary,Wilderness NOW,133,7
War On Our Future,The Years Project,133,9
SiriusXM,SiriusXM,132,3
Athlete Ally,Athlete Ally,132,2
Porter Malouf,"Porter Malouf, P.A.",132,1
Baaz US,Baaz,132,2
Lee Saunders,AFSCME,132,2
County Cover-Up,"Pure Energy M&A, Inc.",132,1
Michigan Association of Health Plans,the Michigan Association of Health Plans,131,5
The Identity Tampa Bay,The Identity Tampa Bay,131,2
AARP Florida,AARP Florida,131,6
Fix Our Roads Alabama,"Alliance for Alabama’s Infrastructure, 2 North Jackson Street, Montgomery, AL 36104",131,2
Florida Daily,Florida Daily,131,10
Celebrity Voice Changer,Celebrity Voice Changer,131,74
Dumps for Trump,Political Faux Paw,131,2
Margaret Alfonso for Chancery Court Judge,The committee to Elect Margaret Alfonso Chancery Court Judge,130,4
Offbeat Quizzes,These ads ran without a disclaimer,130,27
Post-Oil Technology,gregoryaballardllc,130,2
International Animal Rescue,International Animal Rescue,130,1
Granite State Progress Education Fund,Granite State Progress Education Fund,130,15
World Concern,World Concern,130,8
Patriot Style,Patriot Style,130,11
Georgia Life Alliance,Georgia Life Alliance Committee,129,3
Luis Rodríguez,Luis Rodríguez Díaz,129,2
Ditch the Estate Tax,Ditch the Estate Tax Campaign,128,4
Political and Civic Involvement Opportunities Inc.,Political and Civic Involvement Opportunities of Mass. Inc Nonprofit,128,1
BanQu,360 Media,128,3
Colleton Medical Center,These ads ran without a disclaimer,128,1
The Food Bank of Western Mass.,The Food Bank of Western Massachusetts,128,4
The Real News Network,The Real News Network,128,4
Grabien,Grabien,128,15
"Kansas Electric Cooperatives, Inc.",Kansas Electric Cooperatives,128,2
Case and Fabric,Case and Fabric,127,11
Ramon Alexander,RamonAlexanderStateRepresentativeHouseDistrict8,127,2
"Will Duffy, ChFC",Will Duffy,127,3
Society of Critical Care Medicine (SCCM),the Society of Critical Care Medicine,127,1
Scamazon,Scamazon,126,13
Dorothy Brown for Mayor,Friends of Dorothy Brown,126,8
Seguros de salud central florida,Alfredo Ramirez,125,3
Todd Roach - for O'Fallon Alderman - Ward 4,Friends of Todd Roach,125,4
Trumpy Bear,"Exceptional Products, Inc. marketer of Trumpy Bear",125,18
Florida Democratic Party,the Florida Democratic Party. Not authorized by any candidate or candidate's committee.,125,2
Smithfield Foods,Smithfield Foods,125,4
NGLCC - The National LGBT Chamber of Commerce,National LGBT Chamber of Commerce (NGLCC),125,1
NewDemPAC,NewDemPAC,125,1
Hitting the Trifecta,Hitting The Trifecta,125,20
MyFWC,MyFWC,125,1
Huru International,Huru International,125,215
Hope for Students,The Expectations Project,124,2
Michelle Malkin Investigates,CRTV,124,5
Best Care Tax & Insurance,Best Care Tax & Insurance,124,3
Citizens Count,Citizens Count,124,3
Chicken Fried Politics,Rich Shumate,124,7
Dr. Tony Cummings For Sheriff 2019,"Dr. Tony Cummings, Democrat For Office Of The Sheriff Of Jacksonville, Florida",123,4
Family Equality Council,Family Equality Council,123,5
Right Scan Right Time,The Medical Imaging & Technology Alliance,123,1
Great Financial Workshops,Great Financial Workshops,123,5
Lawrence For Ohio District 65,Patricia Lawrence for Ohio,123,1
Vote Fred Johnson,Friends of Fred Johnson,123,1
Innovative Community Assistance to Restore & Empower,Innovative Community Assistance to Restore and Empower (ICARE),123,11
MTC Changes Lives,Management & Training Corporation,122,5
Vermont Teddy Bear,Vermont Teddy Bear,122,1
Citymeals on Wheels,Citymeals on Wheels,122,1
Jim Boyd,Building On Your Dreams Political Committee,121,2
Vanderburgh County Sheriff's Office,These ads ran without a disclaimer,121,2
The GOD'S CHILD Project,God's Child Project,121,3
Smart Cities Prevail,Smart Cities Prevail.,121,11
Austin Street Center,Austin Street Center,120,3
Anurag Harsh,Anurag Harsh,120,2
Chris Godxilla Taylor,Chris "Godxilla" Taylor,120,6
Texas AFL-CIO,Texas AFL-CIO,120,5
History 101,Novelty Media,120,3
Let's Drive NJ,Let's Drive NJ Campaign,120,4
Voice Big,Voice Big,120,6
Mona Foundation,Mona Foundation,120,16
American Bird Conservancy,American Bird Conservancy,120,12
Solar Solutions,"Solar Solutions A Solar Energy Company Based In Los Angeles, CA.",120,4
Howard Brown Health,Howard Brown Health,120,3
Indiana Electric Cooperatives,Indiana Electric Cooperative Association,119,6
White Plastic Is Freedom,C Johnson,119,2
The Tilted Glass,The Tilted Glass,119,6
New Mexico Nature Conservancy,The Nature Conservancy,119,5
Patrio,Patrio App,119,2
Barrett for Schools,Barrett for Schools,119,2
Vamos4PR,"Service Employees International Union, Local 32BJ",119,1
Northwestern University Clinical and Translational Sciences Institute,National Institute of Health (NIH),119,6
UCSB Arts & Lectures,UCSB Arts & Lectures,119,10
ACE Glass Recycling,ACE Glass,119,1
Enact Universal Healthcare for California,"Enact Universal Healthcare for CA, Inc.",119,3
Project  1820,Scooter Leonard Dailan Rideau,118,4
CAVU,Calm Air Visibility Unlimited. CAVU is a 501(3)c non-profit and does not endorse political candidates for office.,118,6
A Step Ahead Chattanooga,A Step Ahead Chattanooga,118,6
City of Walterboro Government,"Walterboro, SC",118,8
Quorum,"Quorum Analytics, Inc.",118,20
Ringer for Results,Ringer for Results,118,13
Empower the Journey,Empower the Journey,118,5
Environmental Law & Policy Center,Environmental Law & Policy Center,118,1
Colin Van Ostern,"Free and Fair New Hampshire. Colin Van Ostern, Chair.",118,18
Housing Opportunities Made Equal of Virginia (HOME),Housing Opportunities Made Equal of Virginia,118,13
Ed Thicksten for Alma Mayor 2018,Ed Thicksten,118,6
Unplanned,Unplanned,117,7
Patriot Patch Company,Patriot Patch Company LLC,117,1
Eastern Bank,These ads ran without a disclaimer,117,1
Suzie Health Solutions,Suzie Health Solutions,116,1
"Little Steps, Big Impact",Little Steps Big Impact,116,2
Worship Type,These ads ran without a disclaimer,116,1
Tennessee Department of Economic and Community Development,TN Dept. of Economic and Community Development,116,2
SA Consulting,SA Consulting,116,4
New Orleans Baptist Theological Seminary,New Orleans Baptist Theological Seminary,116,1
Councilman Sal DiCiccio,Phoenix City Councilman Sal DiCiccio,115,2
The McKinney Law Group,The McKinney Law Group,115,2
Chattanooga Mayor's Council for Women,Mayor's Council for Women,115,1
Sustainable Sippin’,Sustainable Sippin',115,113
The Leaven,The Leaven,115,5
Miami-Dade Parks,These ads ran without a disclaimer,115,1
Conservatives Conserve,Conservatives Conserve,114,2
UCSF,"University of California, San Francisco",114,6
Mississippi Center for Public Policy,Mississippi Center for Public Policy,114,10
"Committee to Elect Rodney Faver Chancery Judge, District 14-1 .",The Committee to Elect Judge Rodney Faver,114,3
Wanderer Bracelets,These ads ran without a disclaimer,114,1
City of Homestead Government,City of Homestead Government,114,1
NAVC,PetsPac,113,1
Acadia Hills,Acadia Hills,113,34
Surfrider Foundation,Surfrider Foundation,113,66
Wildlife Protection Solutions,Wildlife Protection Solutions,113,3
Fix the Court,Fix the Court,112,5
One Tree Planted,One Tree Planted,112,2
Hillsdale College,Hillsdale College,112,6
Cooperative Action Network,National Rural Electric Association,112,5
HealthFirst Delaware,HealthFirst Delaware,112,4
OZY Future,OZY Media,112,7
The WILD Hibiscus,The Wild Hibiscus,112,2
Narconon Suncoast,"Narconon Suncoast, a non-profit drug and alcohol rehabilitation center",112,2
Storm Water Hawaii,The Hawaii Department of Transportation,111,16
Glenn Hegar,Glenn Hegar Campaign,111,4
National Constitution Center,National Constitution Center,111,2
Ameren Missouri,These ads ran without a disclaimer,111,1
Amanda Sawyer for Denver City Council District 5,Sawyer for Denver City Council,111,12
Organ Mountains-Desert Peaks National Monument,Wilderness NOW,111,16
Dangerous Documentaries,Capital Research Center,110,9
Oregon Wildlands,Wilderness NOW,110,11
Tru Power Solar Energy,Tru Power Solar Energy,110,38
Shield Republic,These ads ran without a disclaimer,110,3
Margaret W. Wong & Associates,Margaret W. Wong & Associates,110,5
Ardila Law Firm  / U.S. Immigration Law,Ardila Law Firm LLC,110,1
Kickin' Brass,These ads ran without a disclaimer,110,1
Disability Professionals,Disability Professionals,110,2
Chris Ford - Health and Life Insurance Broker,These ads ran without a disclaimer,109,2
The Molina Law Group PLLC,The Molina Law Group,109,2
Sgt. Fun Gun,Sgt. Fun Gun,109,6
The Yerman Group,The Yerman Group,109,1
Sheet Metal Air Rail and Transportation Workers,International Association of Sheet Metal Air Rail and Transportation Workers,109,3
Aspire Fashion,Aspire Gear,108,42
Providing Hope Va,Providing Hope Va,108,1
Working Texans for Paid Sick Time,Working Texans for Paid Sick Time,108,3
The Purple Cow,Shelby Thomas,108,3
Cardozo School of Law,Cardozo School of Law,108,18
Patriot-Outfitters.com,Larry Duffy,108,4
Public Citizens for Children and Youth (PCCY),Public Citizens for Children and Youth,107,7
City Journal,City Journal,107,4
The Revelator,The Revelator News,107,8
My Shop Therapy,My Shop Therapy,107,6
Oh Three XX Gear,Oh Three XX Gear,107,5
"Soar Environmental Consulting, Inc.",Soar Environmental Consulting,107,1
Friends of the Black River Forest,Friends of the Black River Forest,107,11
All For Them,UTHealth,107,1
Jay Patel Buy Houses,Jay Patel Buy Houses,107,3
American Patriot Service Corp,American Patriot Service Corp,107,2
"Kantrowitz, Goldhamer & Graifman, P.C.","Kantrowitz, Goldhamer, & Graifman",107,3
Southern Alliance for Clean Energy,Southern Alliance for Clean Energy.,107,3
Long Beach Transportation And Parking Solutions,Transportation And Parking Solutions,107,4
Medication Access Pennsylvania,MedAccess for PA,106,3
RedefinED,RedefinED,106,7
Look Human,Print Syndicate,106,2
Eric Garcetti,"Democratic Midterm Victory Fund, 777 S. Figueroa Street | Suite 4050 | Los Angeles Ca 90017. Not Authorized By Any Candidate Or Candidate's Committee.",106,1
ScriptSave WellRx,ScriptSave WellRx,106,2
Democracy for America,"Democracy for America, 802-651-3200, and not authorized by any candidate or candidate’s committee.",105,1
Genteel Lancing Device,Genteel,105,1
Minnesota Bio-Fuels Association,Minnesota Bio-Fuels Association,105,1
Civic Action Network,Civic Action Network,105,1
MyEndometriosisTeam,MyEndometriosisTeam,105,2
Councilman Greg Brockhouse,Office of Councilman Greg Brockhouse,105,2
EMS Contracting,EMS Contracting,105,1
1380AM & 105.3FM The Answer,Salem Media,105,1
Solar Savers,These ads ran without a disclaimer,105,2
Safer Second,"A Safer Second, a nonprofit mutual benefit corporation, ID# 82-4490480",105,1
Troll Socks,Troll Socks,105,6
Choose Humanity,Choose Humanity,105,3
Democratic Association of Secretaries of State,"the Democratic Association of Secretaries of State, 777 S Figueroa Street Suite 4050 Los Angeles, CA 90017, Not authorized by any candidate or candidate’s committee. Nellie Gorbea, Treasurer, is a registered agent of Democratic Association of Secretaries of State.",105,3
Forgotten Children Worldwide,Forgotten Children Worldwide,105,2
Mountain Journal,Mountain Journal,105,2
Lorena Perez McGill,Lorena For Texas House District 15-- Lou Barron Treasurer,105,1
Facts First,Facts First LLC,105,2
"Custis Law, P.C.","Custis Law, P.C.",104,1
Sharon Yerby,Sharon Yerby,104,4
The Bastrop County Young Republicans,Bastrop County Young Republicans,104,5
Constellation Political Consulting,Constellation Political,104,4
Power California,Power California,104,1
ShoeDazzle,These ads ran without a disclaimer,104,1
Hidalgo County Young Republicans,Hidalgo County Young Republicans,103,2
Trump Rules,Trump Rules,103,5
Cool the Earth,Cool the Earth,103,5
NY Nurses United for Quality Care,New York State Nurses Association,103,2
Synthisophy,Synthisophy,102,3
Assemblymember Adrin Nazarian,Nazarian for Assembly 2018 ID #1392480,102,1
Harbor Branch Oceanographic Institute Foundation,Harbor Branch Oceanographic Institute Foundation,102,1
SEIU Local 503,SEIU 503,102,4
Child Care Resource Center,Child Care Resource Center,102,2
Myrtle Beach FYI,MB FYI,102,2
Assemblyman Bill Brough,Assemblyman Bill Brough,101,3
Ivory Ella,These ads ran without a disclaimer,101,7
Epimonia,Epimonia,101,3
Save Sailfish Park,Save Sailfish Park,101,2
The Riverside Church in the City of New York,The Riverside Church,≤100,1
Robert S. Torres,Robert Torres for City Council,≤100,2
Majority Matters,"Majority Matters a 501(c)(4) nonprofit, advocacy organization protecting your freedom and rights.",≤100,1
Friends of Mayor Robert T. Kennedy,Friends of Robert T. Kennedy,≤100,4
Town of Babylon,Town of Babylon,≤100,1
Conservatives for Clean Energy,Conservatives for Clean Energy,≤100,1
The Stoneridge Group,Stoneridge Group,≤100,2
Supervisor Joseph Saladino,Citizens for Saladino,≤100,1
OnMessage Inc.,OnMessage Inc,≤100,1
Boston Young Healthcare Professionals,Boston Young Healthcare Professionals,≤100,1
JCRC of Greater Washington,JCRC of Greater Washington,≤100,1
RISE New Mexico,"Rise New Mexico, Inc",≤100,1
Colleen Burton,"Colleen Burton, Republican, for State Representative.",≤100,1
Yale Program on Climate Change Communication,Yale Program on Climate Change Communication,≤100,1
Now or Neverglades,Now or Neverglades Coalition,≤100,1
Protect PT,Halt the Harm Network,≤100,6
"Provision Lab, Inc.",Provision Lab Inc,≤100,1
The American Spectator,The American Spectator Foundation,≤100,1
IFPTE Local 21,IFPTE Local 21,≤100,2
Weak Ends at Bernies,PCP Paul/Casey Productions,≤100,1
Festival Country Indiana,Festival Country Indiana,≤100,1
Lyons for Land Commissioner,Pat Lyons for Land Commissioner,≤100,1
Assemblyman Phil Ramos,Committee to elect Philip Ramos,≤100,2
Asia's Hope,Asia's Hope,≤100,1
Real VT News,Bob Frenier,≤100,2
March of Dimes,March of Dimes,≤100,1
"OKC Fraternal Order of Police, Lodge 123","OKC Fraternal Order of Police, Lodge 123",≤100,1
The Bad Seed,Adam Kidron,≤100,1
Invisible Innocence,Invisible Innocence,≤100,2
Re-Elect Mayor Joe McComb,Joe McComb Campaign Committee,≤100,1
Partners In Health,Partners In Health,≤100,1
Coffee Vets,Coffee Vets,≤100,5
City of Danbury,City of Danbury,≤100,4
ChickenRoost,ChickenRoost,≤100,1
Ja'Mal Green,Green For Chicago,≤100,6
Angry Democrat,"Angry Democrat, a JFK/MLK conservative voice dedicated to debate conventional wisdom.",≤100,7
Texas Association of School Boards,Texas Association of School Boards,≤100,2
Think GREAT,Think GREAT,≤100,2
Grace Health,Grace Health,≤100,1
Upstate Jobs Party,Upstate Jobs Committee,≤100,1
Wilmington Love,Wilmington Love,≤100,3
Wild Blueberries,Wild Blueberries,≤100,3
UTLA,United Teachers Los Angeles,≤100,1
NYU College of Global Public Health,NYU College of Global Public Health,≤100,1
Southern Border Communities Coalition,Southern Border Communities Coalition,≤100,2
Solid Waste Association of North America,Solid Waste Association of North America,≤100,2
New Voices Philadelphia,New Voices for Reproductive Justice,≤100,5
Schneck Medical Center,Schneck Medical Center,≤100,3
Schools for Chiapas / Escuelas para Chiapas,Schools for Chiapas,≤100,3
"Freedom Watch, Inc.","Freedom Watch, Inc.",≤100,1
NUNYO & COMPANY,Nunyo Demasio,≤100,1
John Nickelson for City Council,the Committee to Elect John Nickelson,≤100,1
Southern EVALS,Southern EVALS,≤100,1
Finanza para  latinos,amed garces,≤100,14
The Solar Institute,The Solar Institute,≤100,1
Hope Inspire Love,Hope Inspire Love,≤100,4
Epic Reads,HarperCollins Publishers L.L.C.,≤100,3
Arizona Family Solar Programs,Arizona Renewable Energy,≤100,1
Cornerstone Television Network,Cornerstone Television Network,≤100,12
Evie Courtlandt,"Evie Courtlandt, Inc.",≤100,2
