Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Dale Strong for Chairman,"Friends of Dale Strong  247 Spano Rd, Madison, Al 35757",216,1
National Association of Community Health Centers,the National Association of Community Health Centers,215,2
ANCA Western Region,Armenian National Committee of America-Western Region,215,7
Clean Vehicle Rebate Project,Clean Vehicle Rebate Project,215,3
Berkshire Natural Resources Council,Berkshire National Resources Council,215,5
JDC,These ads ran without a disclaimer,215,1
Give With Alma,ALMA,214,2
Right to Life of Southwest Indiana,Right to Life of Southwest Indiana,214,6
Santa Clara Valley Water District,PRxDigital,214,4
National Kidney Foundation,National Kidney Foundation,212,2
Feed the Children,These ads ran without a disclaimer,212,3
World Concern,World Concern,212,4
Sunny 98.1,San Diego Organizing Project,211,2
Virginia House of Delegates Republican Caucus,"the House Republican Campaign Committee, Inc.",211,2
Savory Institute,Savory Institute,210,15
Student Justice Union,These ads ran without a disclaimer,210,1
The Lands Council,The Lands Council,210,2
Push Digital Inc,Push Digital,210,21
Washingtonians for a Responsible Future,"Caring Across Generations, a managed project of Bend the Arc: A Jewish Partnership for Justice",209,2
Texas AFL-CIO,Texas AFL-CIO,208,6
Maryland Public Policy Institute,Maryland Public Policy Institute,207,1
Food on Foot,Food on Foot,207,35
The New Florida Majority,The New Florida Majority,207,3
Open Door,Open Door.,207,5
Save the Children Action Network,Save the Children Action Network,207,3
Pioneer Seeds,Pioneer Seeds,207,1
Birth & Beyond Women's Care dba Juan Diego Women's Center,Birth & Beyond Women's Care,207,2
SirenSign,SirenSign LLC,206,1
The Bad Seed,Adam Kidron,206,3
"Healthy Forests, Healthy Communities","Healthy Forests, Healthy Communities",205,2
Retirement Education Foundation,Retirement Education Foundation,205,4
Moms Clean Air Force,Moms Clean Air Force,205,5
Show-Me Institute,the Show-Me Institute,205,1
Conservation Law Foundation,Conservation Law Foundation,205,17
Civic Action Network,Civic Action Network,205,1
Circa,Circa,205,4
All Out,All Out,204,8
Every Citizen Armed,Every Citizen Armed,204,3
Borderwise,Borderwise,203,2
Grow.Wild.NCo,Grow Wild And Co,203,3
Drake University,Drake University,203,13
Options United,Options United,203,4
Total Nerd,Ranker,202,7
State Representative Trent Ashby,Texans for Trent Ashby,202,1
St. Mary's Food Bank Alliance,St. Mary's Food Bank Alliance,202,5
The Bell Policy Center,The Bell Policy Center,202,4
Home Ownership Matters,the National Association of REALTORS®,201,2
ProgressOhio,ProgressOhio,201,14
Jane Velez-Mitchell,Eastwind Enterprises,201,1
Pursuit,"Pursuit, a non-partisan, non-profit organization",201,8
familydoctor.org,familydoctor,201,2
LASD Recruitment Unit,The Los Angeles County Sheriff's Department,200,2
Seguros para Hispanos,Grisel Coromoto Rosario,200,3
ThinkProgress,ThinkProgress & The Center for American Progress Action Fund,200,1
Shepherd's Gate,Shepherd's Gate,200,9
Sam Carpenter - Make Oregon Great Again,Friends of Sam Carpenter,200,2
Rick Green,Rick Green,200,1
Minnesota Center for Environmental Advocacy,Minnesota Center for Environmental Advocacy,200,2
One Earth,One Earth,200,10
I Love My Freedom,I Love My Freedom,200,4
K&N Filters,K&N Engineering,200,1
The Epoch Times Los Angeles,The Epoch Times - Los Angeles,199,4
Sandy Piña California Delegate,Sandy Piña California Delegate,199,1
Crowned Free,Crowned Free,199,17
NextTribe,NextTribe,199,4
2nd Amendment For Life,2A4LIFE LLC,199,3
Jeffrey Gibson Quality,Jeffrey Gibson Quality,198,3
Reed Energy Consulting,Reed Energy Consulting,198,1
Greater Baton Rouge Industry Alliance (GBRIA),the Greater Baton Rouge Industry Alliance,198,3
PredictIt,"PredictIt is a political prediction market, a stock market for politics. A project of Victoria University of Wellington, PredictIt has been established to research the way markets can forecast future events. Our job is to study the wisdom of the crowd, yours is to use your skill and knowledge to get ahead.",198,3
Enact Universal Healthcare for California,"Enact Universal Healthcare for CA, Inc.",196,10
SEIU Local 503,SEIU 503,196,1
Sussex Goes Purple,Sussex County Health Coalition,196,6
Sheepdog Response,Sheepdog Response,196,2
News 12 Connecticut,News 12 Connecticut.,195,1
The Law Office of Carolina C. Gomez,The Law Office of Carolina C. Gomez,194,2
Change Media Group,Change Media Group,194,3
Nick Palmisciano,"Ranger Up, LLC.",194,1
Sarah Palin,Teami Blends,194,2
Dakota Range Wind,Dakota Range Wind,193,68
Forward Together,Forward Together,193,3
Rockefeller Foundation,The Rockefeller Foundation,193,6
International Animal Rescue,International Animal Rescue,193,2
Pathfinder International,Pathfinder International,192,7
AARP Oklahoma,AARP National,192,1
"Larry Sharpe, Libertarian",Larry Sharpe for Governor,192,9
Intentionally Vicarious,Todd Youngblood,192,4
American Friends of Magen David Adom,American Friends of Magen David Adom,192,43
The Sam Bernstein Law Firm,The Sam Bernstein Law Firm,192,3
West Virginia Gaming & Racing Association,WV Racing Association,191,5
Debt Cleanse,DebtCleanse,191,1
Onondaga County Save the Rain,Onondaga County Save the Rain,191,5
Pins and Aces Golf Co.,Pins and Aces Golf Co.,191,3
Amazon Conservation,Amazon Conservation,190,2
New Yorker's Family Research Foundation,New Yorker's Family Research Foundation,190,3
Food Lifeline,Food Lifeline,189,4
Colorado against the normalization of dope,Colorado Against the Normalization of Dope,189,3
McManus for Senate,Steve McManus,189,1
Seniors Speak NE,Nebraska Health Care Association and LeadingAge Nebraska,189,2
Truthout,Truthout,189,25
Fallon For Texas,Fallon for Texas,188,3
Elijah Haahr,"Friends Of Elijah Haahr, Trevor Crist Treasurer.",188,2
Blue Cross and Blue Shield of Minnesota,Blue Cross and Blue Shield of Minnesota,188,3
Speaker Sara Gideon,Gideon Leadership PAC,186,3
Louisiana Bucket Brigade,Louisiana Bucket Brigade,186,2
Living Lands and Waters,Living Lands & Waters,186,1
King Donald Khrump / A Parallel Universe,Brian Hill,185,1
seiu-uhw,Service Employees International Union-United Healthcare Workers West (SEIU-UHW),185,6
Seguros de salud central florida,Alfredo Ramirez,185,1
Ronald Gelok & Associates,Ronald Gelok & Associates,185,3
Protect Our Defenders,Protect Our Defenders,185,9
Manhattan Institute for Policy Research,Manhattan Institute,185,18
Wander & Co.,Wander & Co.,185,1
AD 57 Progressive Alliance Slate,"Bouchot for City Council 2022, FPPC ID No. 1406982 on behalf of the Progressive Alliance.",184,5
End Slavery Tennessee,End Slavery Tennessee,184,36
Illinois Family Institute,Illinois Family Institute,184,2
Aspire Fashion,Aspire Gear,184,13
Players Coalition,Players Coalition,183,12
Students for Life of America,Students for Life of America,183,5
DTE Energy,DTE Energy,182,3
Lori Lightfoot,Lightfoot for Chicago,182,2
Lucky Duck Foundation,Lucky Duck Foundation,182,3
Independent Voter,IVN News,181,3
Elephant Cooperation,Elephant Cooperation,181,1
Commune,Commune,181,16
Mayor Dan Gelber,Miami Beach Mayor Dan Gelber,181,2
Central City Concern,Central City Concern,180,3
Energy Consumers of the Carolinas,Energy Consumers of the Carolinas,180,3
Regional Recycling and Waste Reduction District,Regional Recycling and Waste Reduction District,180,4
Welcome.,The Welcome. Campaign,180,1
The Leaven,The Leaven,179,3
Chicago Humanities Festival,Chicago Humanities Festival,179,1
Route 66 Marathon,Route 66 Marathon,178,2
Catholic Health Initiatives,Catholic Health Initiatives,178,5
AARP Washington,AARP National,177,1
City of Homestead Government,City of Homestead Government,177,1
Palmetto Conservative Solar Coalition,The Alliance for Solar Choice,177,1
Justin Brock,JUSTIN BROCK,177,3
Consumers for Quality Care,Consumers for Quality Care,176,1
Iowa Rural Power,Iowa Association of Electric Cooperatives,176,5
Mississippi Center for Public Policy,Mississippi Center for Public Policy,176,11
Americares,These ads ran without a disclaimer,175,5
Lewis E. Reed,"Committee to Elect Reed, Erin Zielinski Treasurer",175,5
Massachusetts Environmental Trust,Massachusetts Environmental Trust,174,1
CAIR - Greater Los Angeles,CAIR - Greater Los Angeles,174,5
ARmindsMatter,The STARR Coalition,174,2
Crazy Mountain Neighbors Coalition,Crazy Mountain Neighbors Coalition,172,12
Patrio,Patrio App,172,2
Buckeye Firearms Association,Buckeye Firearms Association,172,1
Feonix - Mobility Rising - Coastal Bend of Texas,Feonix - Mobility Rising,171,1
Recycle Cartons,Paid for by Carton Council,171,1
1MISSION,1 Mission,171,35
Citizens Against Foreign Interference,Citizens Against Foreign Interference,171,3
Waterfront Thrift Stores,Waterfront Thrift Stores,171,6
Auburn Hat,Auburn Hat,171,2
DC Chronicle News,The Narrative Times News Foundation,171,12
North Carolina Values Coalition,North Carolina Values Coalition,170,5
iFunny,These ads ran without a disclaimer,170,1
Cancer Today,The American Association for Cancer Research (AACR),170,2
Carlton Ward,Florida Wild,170,14
ACLU of New Mexico,ACLU of New Mexico,170,4
Adirondack Council,Adirondack Council,170,2
AARP New Mexico,AARP National,169,1
Orange County Stormwater Program,Orange County Storm Water,168,2
Schusterman Family Foundation,Schusterman Family Foundation,168,2
Chad Thompson for Virginia Delegate,Friends of Chad Thompson,168,77
Utahns For Conservation,ACES Companies,168,2
Theodore Dziuba for Senate 2020,Theodore Dziuba for Senate 2020 (FPPC ID: 1401457),168,1
National Union of Healthcare Workers,National Union of Healthcare Workers,167,1
La Verne Firefighters' Association L-3624,La Verne Firefighters Association,167,2
The Fight Against Antimicrobial Resistance,"Paradigm Solutions, LLC",167,1
DuPage Libertarians,DuPage Libertarians,167,22
Invested TX,InvestEdTx.,167,1
JeffCo Metro Area Crime Center,Jefferson County Metro Area Crime Center,167,2
Sustainable Coastlines Hawaii,Sustainable Coastlines Hawaii,167,2
"Protect Coyote Valley, San Jose",Protect Coyote Valley,167,2
Andy Gipson for Mississippi,Friends of Andy Gipson,166,2
Convention of States Ohio,Convention of States Action,166,1
Mammoth Peak Gun Cases,Mammoth Peak,166,1
The Yerman Group,The Yerman Group,166,2
American Wind Action,American Wind Action,166,2
Pro Life Tipping Point,Tipping Point,165,1
Young Texan Health Plans,North American Health Plans,165,2
Alliance for Patient Access,Alliance for Patient Access,165,1
Visit Houston,Houston First,165,8
The National Memo,The National Memo,164,3
Solar Rebate,National Solar Rebate,164,4
T'ruah,T'ruah: The Rabbinic Call for Human Rights,164,18
Tax Free Insider,Tax Free Insider,164,1
Choose Courage Foundation,Choose Courage Foundation,164,6
Whole Forest,Whole Forest,163,7
ICON 19,Icon19,163,20
Education NC,EducationNC,163,3
Michigan Climate Action Network,Michigan Climate Action Network,163,2
AARP Virginia,AARP Virginia,163,1
Citizens Against Government Waste,Citizens Against Government Waste,163,1
Abogados de Inmigración y Derecho Penal USA,Juan Carlos Monteza.,163,4
Arrive Utah,Arrive Utah,162,1
Senator Vin Gopal,"Gopal for Senate, 97 Apple Street, Tinton Falls, NJ 07724",162,1
Sportsmen's Alliance,Sportsmen's Alliance,162,3
Texas AFT,Texas AFT COPE,161,3
Sam Harris,Sam Harris,161,1
Synovia Solutions,Synovia Solutions,161,8
U.S. Representative Will Hurd,U.S. Representative Will Hurd,161,3
United Way of Metropolitan Dallas,United Way of Metropolitan Dallas,161,3
Retired Judge James L. Kimbler,"James L.Kimbler, P.O. Box 227, Seville, OH 44273",161,3
PhRMA,PhRMA,161,1
Fernando Camacho - Seguros FL,Fernando Camacho,161,1
Impact Fund,"The Impact Fund, a Public Charity, dedicated to supporting strategic litigation to advance economic, environmental, and social justice for marginalized communities.",160,3
Here TV,Here TV,160,6
The Larry Mendte Show,Larry Mendte,159,3
Delbert Hosemann,Friends of Delbert Hosemann,159,2
Trail & Kale,These ads ran without a disclaimer,159,3
Elder Services of the Merrimack Valley,an ACL Grant No. 90MP0226,159,1
Alliance for Michigan Power,the Alliance for Michigan Power,158,28
Mike Unes,Citizens for Unes,158,1
Alliance For Full Acceptance,Alliance For Full Acceptance,158,16
Working America,Working America,156,1
The Nib,The Intercept,156,1
Take Stock in Children Palm Beach County,Take Stock in Children Palm Beach County,156,4
Tony Herbert for Public Advocate,Friends of Tony Herbert,156,3
LobbyUp,LobbyUp,155,3
Republican Party of SJCNM,Republican Party of San Juan County NM,155,5
Money And Markets,Money & Markets,155,1
World's Children,World's Children,155,16
Jeff Jones,Friends of Jeff Jones,155,2
Loyal Conservatives,Loyal Conservatives,155,2
Yankee Institute for Public Policy,Yankee Institute for Public Policy,155,1
350 Colorado,350 Colorado,154,5
Anthony Brown,Congressman Anthony G. Brown,154,4
Center for American Progress,the Center for American Progress,154,1
American Bird Conservancy,American Bird Conservancy,154,15
Facing Addiction with NCADD,Facing Addiction with NCADD,154,2
CHEK Institute,CHEK Institute,154,39
"Neighborhood Ministries, Phoenix",Dan Osborne,153,2
Peter Franchot,"Friends of Peter Franchot; Tom Gentile, Treasurer",153,7
Randy Boyd,Randy Boyd,153,3
Texas Oil and Gas Association,These ads ran without a disclaimer,153,1
BoomTax,BoomTax,153,9
The Intellectualist,The Bright Network,153,3
Homeownership For All,"Homeownership for All, Inc",153,5
Larry Lees,Larry Lees,153,2
Steven Fulop,The Election Fund for Steven Fulop 2021,153,5
The Trucker,The Trucker,153,3
Veterans Florida,Veterans Florida,152,6
Benefit Enrollment Center,Christopher Westfall,152,1
Project Bread,Project Bread,152,3
Renew Oregon,Renew Oregon Action Fund,151,7
Seguros de Salud Austin,Andrea Henao,151,1
STAND Blogger T. Reeves,STAND League,150,1
The Shadow League,The Shadow League,150,1
Perfect Republic,Perfect Republic,150,1
"Corbin Van Arsdale, Mayor of Cedar Park, Texas",Corbin Van Arsdale Campaign,150,1
Senator Shannon Grove,Senator Shannon Grove,150,2
Great Financial Workshops,Great Financial Workshops,150,6
Potomac Conservancy,Potomac Conservancy,150,2
Eastern PA and Southern NJ CFC,the Eastern PA and Southern NJ Combined Federal Campaign,150,3
Californians for Population Stabilization,Californians for Population Stabilization,150,2
Abortion Clinics Online,Abortion Clinics OnLine LLC,149,2
RALI Illinois,Rx Abuse Leadership Initiative,149,2
National Foundation to End Child Abuse and Neglect,National Foundation for Ending Child Abuse and Neglect,149,1
Maine Forward,Maine Center for Economic Policy.,149,6
Heidi Tsuneyoshi Hawaii,Friends of Heidi Tsuneyoshi - P.O. Box 4176 Honolulu HI 96812,149,2
Speak Up,Speak UP,148,5
Deadline Detroit,Deadline Detroit,148,8
"William F. Buckley, Jr. Program at Yale","William F. Buckley, Jr. Program",148,2
MANG,These ads ran without a disclaimer,148,1
Syrian Forum USA,Syrian Forum USA,147,7
Sonya Murray Anderson,"Sonya Murray Anderson For Missouri, Max Murray Jr. Treasurer.",146,4
Reload Freedom,Reload Freedom,146,6
The Missouri Plan,"THE MISSOURI BAR, SEBRINA BARRETT, EXECUTIVE DIRECTOR PO BOX 119 JEFFERSON CITY, MO 65102",145,3
President Evil,President Evil Feature Film,145,5
Donna White,Donna White for NC House,145,2
New Mexico Oil & Gas,New Mexico Oil & Gas Association,145,16
Stop Antisemitism,Stop Antisemitism,145,2
"Institute for Children, Poverty, and Homelessness","the Institute for Children, Poverty, and Homelessness",144,2
SunPower by Stellar Solar,SunPower by Stellar Solar,144,1
From The Ground Up,"Charles A. Gargano Consulting, LLC",144,4
Living Waters for the World,Living Waters for the World,143,6
Tennessee House Republicans,Tennessee House Republican Caucus,143,3
Baker Precision Planter Works,Baker Precision Planter Works,143,5
AFPM,Jo Co Impact,142,4
We The People - Pennsylvania Action,We The People - PA Action,142,7
The Western Way,The Western Way,142,2
rioteffect,RIOT Effect,142,4
Wisconsin LGBT Chamber of Commerce,Wisconsin LGBT Chamber of Commerce,142,11
Travis Allen,TAKE BACK CALIFORNIA PAC,141,1
Let America Vote,Let America Vote,141,2
The Revelator,The Revelator News,141,5
Mayor Frank C. Ortis,Frank Ortis for Pembroke Pines Mayor,141,3
Ted Budd,Ted Budd for Congress,141,4
Congressman Salud Carbajal,Congressman Salud Carbajal,141,5
Waterboys,Chris Long Foundation,140,2
The City Magazine El Paso,THECITY Magazine El Paso,139,4
Food City,Food City,139,3
Oregon Environmental Council,Oregon Environmental Council,139,8
SEIU Local 503,SEIU 503,139,3
Pro-Life Action League,Pro-Life Action League,139,3
PlayCleanGo Minnesota,Minnesota Department of Natural Resources,138,1
New Energy Now PA,New Energy Now PA,138,4
Looking Glass,Looking Glass Community Services,138,3
Health Care Workers Rising MA,Healthcare Workers Rising Massachusetts,138,2
The Brave Heart Foundation,The Brave Heart Foundation of Pittsburgh,138,3
Americans for Prosperity - South Dakota,Americans for Prosperity,138,1
Greg Fletcher for 1st ward Alderman,Greg Fletcher for 1st ward Alderman,138,2
Baby Trump Balloon,Peretti LLC,138,1
Enough Is Enough,Enough Is Enough,138,6
Familia: Trans Queer Liberation Movement,Familia TQLM,138,3
Our Voice At Work,Our Voice At Work,138,1
Charleston County Democrats,Charleston County Democratic Party,138,1
The West Virginia Record,The Record,137,7
SumOfUs,SumOfUs,137,1
Institute for New Economic Thinking,the Institute for New Economic Thinking,137,30
Empower Mississippi,Empower Mississippi,137,1
The Bill of Rights Institute,Bill of Rights Institute,137,3
Rise Up Retail,Organization United for Respect,136,2
Center for Immigration Studies,the Center for Immigration Studies,136,3
ASEC - African Sisters Education Collaborative,African Sisters Education Collaborative 501(c)(3) Nonprofit,136,6
Van Allen For Judge,Friends of Kevin Van Allen,136,2
AARP California,AARP,136,1
Countable,Countable Corp,136,6
Physicians Committee for Responsible Medicine,the Physicians Committee for Responsible Medicine,136,14
forestproud,#forestproud,136,11
Atlantic Council,the Atlantic Council,136,2
Flagstaff Family Food Center,Flagstaff Family Food Center: Food Bank and Kitchen,136,4
National Marine Manufacturers Association,National Marine Manufacturers Association,135,1
Council Member Rachelle Arizmendi,Arizmendi for City Council 2018,135,2
800 Pound Gorilla Records,800 Pound Gorilla Records,135,5
Hearing Aid Reviews,These ads ran without a disclaimer,135,2
CAVU,Calm Air Visibility Unlimited. CAVU is a 501(3)c non-profit and does not endorse political candidates for office.,135,4
Facts and Logic about the Middle East,Facts and Logic about the Middle East (FLAME),135,4
Big League Politics,Big League Politics,135,33
The Kids Union,The Kids Union,135,4
Republican Party of Virginia,"Republican Party of Virginia, Inc.",135,4
Public Lands Conservancy,Public Lands Conservancy,135,1
Alaska Wilderness League,Alaska Wilderness League,135,1
Whalesoftheworld,Whales of the World,134,8
Fight the New Drug,Fight the New Drug,134,2
Green Earth Tails,Green Earth Tails,134,1
River City Environmental,Jeshe Burch,134,1
EAA Farmers,EAA Farmers,134,1
KabirsVoice: Voice Acting/Poetry/Philosophy.,KABIR SINGH,134,5
The Balance of Power,jorgea hernando,134,2
Marty Norman Live,Marty Norman,134,6
Red Symposium,Greg Burright,134,1
Conservative Renaissance,Greg Burright,134,1
GALEO.org,GALEO,134,1
BryanRoach Transition,BryanRoach Transition,134,1
Nomiki Konst,Friends of Nomiki Konst,133,4
Northern California Record,The Record,133,1
Illinois Coalition for Access to Affordable Medication,Illinois Coalition for Access to Affordable Medication,133,1
Stand with Police,Americans for Police and Trooper Safety a Political Action Committee not authorized by any candidate or party,133,2
Stand,Stand (EIN: 94-3331587),133,2
Vote Carlucci,Matt Carlucci for City Council,133,4
America Eclipsed,"Laurent Colvin, DC",133,4
Viewpoint Israel,Viewpoint Israel,132,6
Woods Hole Research Center,Woods Hole Research Center,132,2
WILDCOAST,WILDCOAST,132,1
Twenty Four Lions,Twenty Four Lions,132,4
REMEDIGAP,Quinn Group LLC,132,2
AARP Florida,AARP Florida,132,4
Chris Stidham for Portage Mayor,Stidham for Portage,132,5
Conservative News Today,BizPac Review Inc,132,1
Shore Buddies,Shore Buddies,132,5
National Veteran Advisors,National Veteran Programs,132,1
Keep Abortion Safe,Keep Abortion Safe,131,3
Beacon Center of Tennessee,the Beacon Center of Tennessee,131,1
Two Flags,Two Flags,131,1
Hugh Hewitt,"AMAC – The Association of Mature American Citizens, Inc",131,1
EarthHero,EarthHero,131,2
UltraViolet,UltraViolet PAC,131,2
P22 Mountain Lion of Hollywood,National Wildlife Federation,131,1
International Women's Health Coalition,International Women's Health Coalition,131,1
Synthisophy,Synthisophy,131,3
UPROXX,UPROXX,131,6
Larry Elder,"AMAC – The Association of Mature American Citizens, Inc",131,1
Agnook,Ag Nook LLC,131,9
The Independence Fund,The Independence Fund,130,2
Dennis Prager,"AMAC – The Association of Mature American Citizens, Inc",130,1
Michael Medved,"AMAC – The Association of Mature American Citizens, Inc",130,1
Mike Gallagher,"AMAC – The Association of Mature American Citizens, Inc",130,1
Clone Evolution,These ads ran without a disclaimer,130,2
Huru International,Huru International,130,213
Foundation for Individual Rights in Education,Foundation for Individual Rights in Education,130,2
Citizen Action of New York,Citizen Action of New York,130,3
Today's Real Talk,Ckezepis,130,2
Massachusetts Health Connector,the Massachusetts Health Connector,130,1
Food Bank of Central & Eastern North Carolina,Food Bank of Central & Eastern North Carolina,129,2
McKnight Foundation,the McKnight Foundation.,129,1
World Animal Protection USA,World Animal Protection,129,9
Friends Of Hal Marx For Governor 2019,Committee to Elect Hal Marx,129,2
Chicago Unheard,"Chicago Unheard, a blog committed to letting parents, teachers and students talk about schools.",129,1
Grabien,Grabien,129,15
Polar Society,Polar Society,128,14
Apex Clean Energy,Apex Clean Energy,128,5
The Pluralism Project,The Pluralism Project. Not Authorized by any Campaign or Campaign Committee.,128,14
Dustin M. Czarny,Dustin Czarny,128,3
ProEnglish,ProEnglish,127,6
Dan Lipinski for Congress,Dan Lipinski for Congress,127,1
American Farmland Trust,American Farmland Trust,127,1
Houston Airport Marriott at George Bush Intercontinental,Houston Airport Marriott,127,2
OD Action,OD Action,127,1
International Medical Corps,International Medical Corps,126,2
Lion Technology Inc.,"Lion Technology, Inc.",126,4
Originalgunoil,Original Gun Oil,126,3
Craig Huey,Craig Huey,126,10
Republican Party of Virginia,the Republican Party of Virginia. Authorized by Joe T. May Candidate for State Senate,126,3
Bring It Home NYS,"Association for Community, Inc.",126,1
Cape Clasp,Cape Clasp LLC,126,4
Bradford Miller for Naperville City Council,Committee To Elect Bradford Miller,125,2
Assemblymember Kevin McCarty,the California State Assembly,125,1
Vermont Law School,Vermont Law School,125,1
City Club of Chicago,the City Club of Chicago,125,7
Electric Nation: Powered By Wind,Wind Energy Foundation,125,4
Joe Courtney,Office of Congressman Joe Courtney,124,1
Code Blue - Water Security Conflicts and Solutions,Code Blue - Water Security Conflicts and Solutions,124,1
Live Green Lexington,Lexington-Fayette Urban County Government,124,6
Building Homes For Heroes,Building Homes for Heroes,124,12
Michigan Association of Health Plans,the Michigan Association of Health Plans,124,4
Neighborhood Sun,Neighborhood Sun,123,3
Mike Cierpiot,"Missourians For Mike Cierpiot, Fran Baker Treasurer.",123,3
Angela Foy for Ozaukee County Judge,Committee to Elect Angela Foy for Ozaukee County Judge,123,1
Vicky Hartzler,Vicky Hartzler for Congress,123,49
Movimiento Cosecha,Movimiento Cosecha,123,2
Elizabeth for 44,Neighbors for Shydlowski,122,1
"Sanford Heisler Sharp, LLP","Sanford Heisler Sharp, LLP",122,6
Casa Ruby LGBT Community Center,Casa Ruby,122,5
Take It in The Gas,"Michael Fisher  Any ad on this page is intended to provide information to the citizens of Amarillo related to local businesses, local business leaders and elected officials in this city and how they may all be connected.",122,1
UNITE HERE Local 30,UNITE HERE Local 30,122,2
Calista Corporation,Calista Corporation,121,1
Encor Solar,These ads ran without a disclaimer,121,1
"Megan Ellyia Green, for President of the Board of Aldermen","Megan Green for St. Louis, Danny Gladden Treasurer",121,8
The Life You Can Save,The Life You Can Save,121,4
AZTV,KAZT-TV,120,1
Frontliners USA,Frontliners USA,120,13
10 Things That Scare Me,New York Public Radio,120,5
Vista Financial LLC,Vista Financial LLC,120,12
History 101,Novelty Media,119,5
Seguros de Salud,Venitt Perez,119,1
Chris Winslow,Friends of Chris Winslow,119,7
Unplanned,Unplanned,119,4
Michael Negron,Friends of Michael Negron,119,2
Goodwin For Mayor of Terre Haute,Goodwin for Terre Haute,119,3
Earth.com,Earth,118,2
Marshall Beck,Marshall Beck,118,2
MPR News,MPR News,118,2
Your Daily Pitch,Your Daily Pitch / Cox Media,118,4
The Carying Place,The Carying Place,118,1
Ringer for Results,Ringer for Results,118,3
Parents Education Association,Parents Education Association PAC,118,8
Clean Power Virginia,Clean Power Virginia,117,6
"Reid Falconer, Louisiana State Representative",Reid Falconer,117,2
David Rubin,David Rubin,117,24
WipeRecord Expungement Lawyers,"WipeRecord, a division of Eastman Meyler, PC",116,16
Law Offices of Andrew C. Dodgen,Law Office of Andrew C. Dodgen,116,1
GRR Grandmothers for Reproductive Rights,Grandmothers for Reproductive Rights,116,5
Tea Party Nation,the Tea Party Nation and is not authorized by any candidate or candidate's committee.,116,2
Deaf Bible Society,Deaf Bible Society,116,1
Russian America TV,мои личные средства в рекламу моей компании,115,16
Aleksy Belcher,Aleksy Belcher,115,2
Projects for Good,Projects For Good,115,1
CWS,Church World Service,115,3
Minus 45,Human Agency PAC,115,25
Fernando Mancías for Judge of the 93rd District Court,Fernando Mancías for Judge of the 93rd District Court,115,4
coastalteesfashion,Coastal Tees,114,2
Hon. Sondra M. Miller,Sondra Miller,114,4
Community LINC,Community LINC,114,1
Salt River Project,Salt River Project,114,4
Greg Razer for Missouri,"Razer for Missouri, Matt Dameron, Treasurer",113,1
Courage to Change,Courage to Change Addiction Recovery at Salt Lake Behavioral Health,113,1
Jesuit Refugee Service/USA,Jesuit Refugee Service/USA,113,2
Job Creators Network,Job Creators Network,113,2
Rodney J. Strange - 15th District Chemung County Legislator,Chemung County Legislator Rodney J. Strange,113,2
Joe Biden,American Possibilities PAC,113,53
Asociación de Maestros de Puerto Rico,Asociación de Maestros de Puerto Rico,113,5
Idaho Second Amendment Alliance,Idaho Second Amendment Alliance,112,3
Fix Our Roads Alabama,"Alliance for Alabama’s Infrastructure, 2 North Jackson Street, Montgomery, AL 36104",112,3
Oregon Liberty Alliance,Oregon Liberty Alliance,112,3
SAGE,SAGE,112,1
Council Bluffs Business Cooperative,These ads ran without a disclaimer,112,1
Jim Hood For Governor,Friends of Jim Hood,112,4
Community Link,Community Link,112,3
Don Blankenship,Don Blankenship,112,8
NGLCC - The National LGBT Chamber of Commerce,National LGBT Chamber of Commerce (NGLCC),111,1
Americans for Limited Government,Americans for Limited Government,111,1
White Plastic Is Freedom,C Johnson,110,2
DigDeep,These ads ran without a disclaimer,110,4
Independentvoting.org,Independent Voting,110,1
Freedom Action Network of South Carolina,Freedom Action Network of South Carolina,110,3
Rolling Plains Quail Research Ranch,Rolling Plains Quail Research Foundation,110,1
Baha'is of the United States,Baha'is of the United States,110,13
Assemblyman Phil Ramos,Committee to elect Philip Ramos,110,3
Margaret W. Wong & Associates,Margaret W. Wong & Associates,109,6
Goodnight Trump,"Little, Brown and Company",109,1
Nick Tranchina for Sheriff,Nick Tranchina for Sheriff Committee,109,1
Attention Homes,"Attention, Inc.",109,3
"Roberts Wilson, P.A. Injury Lawyers",Roberts Wilson,109,1
Girls in Politics Initiative,Girls in Politics Initiative,109,24
Sutter Health,Sutter Health,108,3
CivikOwl,"CivikOwl. We are an independent software company based in California, primarily self-funded, and not affiliated with any political party.",108,10
Raise Your Hand Texas,Raise Your Hand Texas,108,1
Fellerman & Ciarimboli,Fellerman & Ciarimboli,108,1
AARP North Carolina,AARP North Carolina,108,3
Convention of States Iowa,Convention of States Action,108,1
Planned Parenthood Illinois Action,Planned Parenthood Illinois Action,108,4
WallStreetWindow.com,"Timingwallstreet, Inc.",107,5
Miramar Commissioner Darline B. Riggs,Darline Riggs Miramar Commissioner,107,7
Armed American Supply,Armed American Supply,107,25
Do Good Institute,Do Good Institute,107,3
AARP MN,AARP National,107,1
The Law Office of Christopher Q. Davis,The Law Office of Christopher Q. Davis,107,1
Friends of Worcester,Friends of Worcester,107,4
Chuks Onyezia for Chicago's 18th Ward Alderman,Committee to Elect Chuks Onyezia,106,4
Kialo,Kialo,105,16
Insurance Florida,JENY RIOBUENO,105,1
Mike Dover for OKC Ward 2,Friends of Mike Dover,105,6
