Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Onondaga County Health Department,Onondaga Health Department,435,2
William Calloway,Friends for William Calloway,435,2
County Solar Programs,County Solar Programs,434,5
Offbeat,Topix,434,121
BreakPoint,The Colson Center,434,4
Restore the Delta,Restore the Delta,433,12
Col Rob Maness ret,Iron Liberty Group,433,1
Beacon,the Maine People's Alliance,433,8
Holt International,Holt International,432,9
Human Life Action,National Committee for a Human Life Amendment,432,8
Environmental Advocates of New York,Environmental Advocates of New York,431,3
Rudy Morales for Municipal Court,"Maria Del Carmen Perez, Treasurer",430,8
Texas Right to Life,Texas Right to Life,429,2
The Shadow League,The Shadow League,427,3
Congressman Michael Cloud,official funds authorized by the House of Representatives,425,11
Doris Day Animal League,The Humane Society of the United States and its affiliates,425,2
Energy Citizens,American Petroleum Institute,425,5
UnidosUS,UnidosUS,425,2
"Lawson Cary Bittick, III for Monroe County Sheriff 2018",Bittick for Sheriff,424,4
Bloomsbury Publishing USA,Bloomsbury Publishing,421,5
New England Clean Energy Connect,New England Clean Energy Connect,420,5
Trumpy Bear,"Exceptional Products, Inc. marketer of Trumpy Bear",420,18
The 700 Club,"The Christian Broadcasting Network, Inc.",420,6
Andrew Yang for President 2020,Andrew Yang,420,95
Washington Policy Center,Washington Policy Center,419,14
Massachusetts Parents United,Massachusetts Parents United,418,5
Gates Foundation,Bill & Melinda Gates Foundation,416,15
Left of Center,"Left of Center PAC, not authorized by any candidate or candidate's committee.",416,4
Sempervirens Fund,Sempervirens Fund,416,9
Cheddar Live,Cheddar,414,3
RespectTHISHouse,These ads ran without a disclaimer,413,2
Mercy Home for Boys & Girls,Mercy Home for Boys & Girls,412,18
AARP California,AARP,411,5
Americans for Prosperity Foundation,Americans for Prosperity Foundation,409,8
Attorney General Bob Ferguson,Friends of Bob Ferguson (D),409,16
Steve Bullock,Big Sky Values PAC,408,12
Sandy Steckler Re-Election Committee,The Committee to Re-Elect Judge Sandy Steckler,408,3
DTN/The Progressive Farmer,DTN/The Progressive Farmer.,408,4
Arizona Speaker Series,Eminent Series Group,407,1
We Are The Mighty,We Are The Mighty,406,16
Lucky Duck Foundation,Lucky Duck Foundation,405,5
Alexander Street,"Alexander Street, a ProQuest Company",403,3
Pearson PreK-12,Pearson PreK-12,402,1
Coalition for the Future of Oklahoma Families,Coalition for the Future of Oklahoma Families,402,4
Christian Burridge for State Senate,Christian Burridge for State Senate,401,1
Ken Kincade for Cabot Mayor,the Ken Kincade for Mayor campaign,401,8
Friends of RealOptions,RealOptions Obria Medical Clinics,401,40
Northwest Treaty Tribes,Northwest Indian Fisheries Commission,400,4
University Hospitals,University Hospitals,400,2
Indiana State Teachers Association,Indiana State Teachers Association,400,23
PSEA - PA State Education Association,PA State Education Association (PSEA),399,5
Offbeat Quizzes,These ads ran without a disclaimer,398,62
Rednecknationco,Redneck Nation,397,5
All Out,All Out,396,6
Axiom News Network,Axiom News Network,393,1
MyStraw,MyStraw,393,18
Anna Ward Sukmann For County Court Judge,Friends of Anna Ward Sukmann,392,3
Consumer Reports Advocacy,Consumers Union,392,4
Rewire.News,Rewire.News,390,6
That Life Shop,That Life Shop,389,15
Texans for Traffic Relief,Texans for Traffic Relief,388,6
Rocky Bleier - The Official Fan Page,Rocky Bleier,388,3
GZERO Media,GZERO Media,386,8
Proud USA Veterans,Proud USA Veterans Team,385,24
American Chemistry,American Chemistry Council,385,17
EarthX,EarthX,385,6
Silver Falls Sustainability Co.,These ads ran without a disclaimer,384,4
Liberty Nation,Liberty Nation,383,10
Ax The Bev Tax,the PA Food Merchants Association and American Beverage Association,383,21
Providence: A Journal of Christianity & American Foreign Policy,Providence: A Journal of Christianity & American Foreign Policy,382,4
Support Topgolf Louisville,Support Topgolf Louisville,382,4
Trump Care 2019,Trump Care 2019,380,5
Conservation Voters of Pennsylvania,Conservation Voters of Pennsylvania,380,3
NYCEDC,New York City Economic Development Corporation,380,1
SEIU National Retirees,Service Employees International Union,379,9
Shared Hope International,Shared Hope International,379,13
Sungrade Solar,Sungrade Solar,378,13
Paige Ellis for City Council District 8,Paige Ellis for City Council,378,4
Mr. Colion Noir (@MrColionNoir),Colion Noir,377,6
14th District GOP of Georgia,14th Congressional District Republican Party of Georgia - not authorized by any candidate or candidate's committee,377,5
Operation Food Search,Operation Food Search,377,4
SiriusXM,SiriusXM,376,3
Know More to No More,Know More to No More campaign,376,2
Louisiana Association of Educators,Louisiana Association of Educators,373,4
A Simpler Time,A Simpler Time,373,3
Lesión de Nacimiento,"Justice Guardians, LLC",369,1
Open Doors USA,Open Doors USA,369,4
National Democratic Redistricting Committee,the National Democratic Redistricting Committee,369,6
U.S. Term Limits,U.S. Term Limits,368,2
United Nations Foundation,United Nations Foundation,368,6
American Friends Service Committee,The American Friends Service Committee (AFSC),368,8
Created Equal,Created Equal,364,8
Episcopal Relief & Development,Episcopal Relief & Development,363,10
Georgia Life Alliance,Georgia Life Alliance Committee,363,1
City of Walterboro Government,"Walterboro, SC",363,9
Fernando Camacho - Seguros FL,Fernando Camacho,362,8
Invisible Institute,the Invisible Institute,361,15
SEIU Faculty Forward,SEIU Faculty Forward,361,6
Missouri Century Foundation,Missouri Century Foundation,361,3
Stop Elder Abuse in New York,Stop Elder Abuse NY,360,5
Advance Natchitoches,Advance Natchitoches,357,4
Sherrod Brown,Friends of Sherrod Brown,354,3
Roaming Bison Wind,Roaming Bison Wind,354,50
Earth Guardians,Commonwise,354,37
The Midnight Mission,The Midnight Mission,354,3
LaunchGood,LaunchGood,353,21
Untied Status Marin Crops,"Marin Crops, Inc",352,1
Dauphin County Commissioners Jeff Haste & Mike Pries,Friends of Haste & Pries,352,3
Thirst Project,Thirst Project,352,8
Jan Schneider,Friends of Jan Schneider,351,2
Better Together Commission,Better Together Commission,350,2
KCET City Rising,KCET City Rising,350,1
Ceres,Ceres,350,15
A Place At The Table,A Place at the Table,350,3
Convention of States Utah,Convention of States Action,350,2
DuPage Democrats,The Democratic Party of DuPage County,350,1
Sunrise Movement,Sunrise PAC,350,1
SweetGrass Capital,"SweetGrass Capital, A MIdland Mortgage Corporation Company NMLS 66708",350,2
Protect the Granite State,Protect the Granite State,350,1
Zsenia,Zsenia,350,8
ACLU of Southern California,the American Civil Liberties Union of Southern California,349,5
North Dakota Republican Party,The North Dakota Republican Party,349,6
Follow Your Legend,Follow Your Legend,348,17
Texas Sierra Club,Sierra Club,348,3
No Gay No Way,No Gay No Way,348,3
My Top Kickstarter Projects,These ads ran without a disclaimer,345,48
Ranker,Ranker,345,14
Nomiki Konst,Friends of Nomiki Konst,345,6
National Veteran Advisors,National Veteran Programs,344,6
Latino Community Fund of Washington State,Latino Community Fund,344,2
Publicwill,Publicwill,343,27
Scott Anslum For Sheriff,Scott Anslum Campaign Fund,342,1
Michigan Auto Law,Steven M. Gursten,342,9
Bradley Center for Natural and Artificial Intelligence,Discovery Institute,341,2
Planned Parenthood of the St. Louis Region & Southwest Missouri,Planned Parenthood of the St. Louis Region and Southwest Missouri,341,6
Point Source Youth,Point Source Youth,341,9
Beyond Surplus,Beyond Surplus,341,2
Mel Coxwell for Chancery Court Judge Rankin County Place 2,Mel Coxwell,340,4
EveryLibrary,EveryLibrary | FEIN 46-1534149,340,6
Solar Solutions,"Solar Solutions A Solar Energy Company Based In Los Angeles, CA.",340,4
Co-ops Vote,National Rural Electric Association,339,11
Children's Health Defense,World Mercury Project,339,4
Pep Solar,Pep Solar,339,75
Win Without War,"Win Without War, a program of the Center for International Policy.",338,5
Colorado Clean Cars,Colorado Clean Cars,338,1
Re-Elect Alderman Tom Tunney,Citizens for Tunney,338,2
Center for Environmental Health,Center for Environmental Health,338,7
Certell,Certell,337,1
Pioneer Seeds,Pioneer Seeds,337,1
"Georgia Gun Owners, Inc.",Georgia Gun Owners,337,2
GlobeIn,These ads ran without a disclaimer,337,1
Veterans Florida,Veterans Florida,337,12
Washington State Democratic Party,Washington State Democratic Party,337,4
Nebraska Appleseed,"Nebraska Appleseed Center for Law in the Public Interest, a nonprofit, nonpartisan 501(c)(3) organization. Does not support or oppose political candidates.",336,5
The Fighting Forces,The Fighting Forces,335,72
American Solar Power Solutions,American Solar Power Solutions,335,21
Pi Yoga Pants,PI Yoga Pants,335,31
Florida Wildlife Federation,Florida Wildlife Federation,335,2
Visit Mississippi,VISIT MISSISSIPPI,334,1
Unspeakable Crimes,Ranker,333,25
Women NYC,Women.NYC,332,1
Beacon Center of Tennessee,the Beacon Center of Tennessee,331,5
Minnesota Department of Health,Minnesota Department of Health,331,2
Help For Flint,Help For Flint,331,5
WSL PURE,World Surf League,331,2
The American Petroleum Institute,American Petroleum Institute,330,1
U.S. Leadership Coalition,U.S. Leadership Coalition,329,1
Family Equality Council,Family Equality Council,326,11
OD Action,OD Action,326,2
Modesto Irrigation District,Modesto Irrigation District,325,1
Precious Retirement Strategies,Precious Retirement Strategies,325,20
The San Francisco Dungeon,These ads ran without a disclaimer,324,1
The PA Wilds,PA Wilds Center,324,1
Beautiful Feet,Beautiful Feet,323,3
Protect The Harvest,Protect The Harvest,323,4
People's World,People's World,323,16
The Association of Zoos and Aquariums,The Association of Zoos and Aquariums,323,6
Idaho Fish & Wildlife Foundation,Idaho Fish & Wildlife Foundation,322,3
Just Facts,"Just Facts, a nonprofit institute dedicated to publishing rigorously documented facts about public policy issues.",321,5
Michigan Humane Society,Michigan Humane Society,320,2
Consulta de Inmigracion en San Diego,The Cruz Law Office,320,3
Place Matters Oregon,Place Matters Oregon,319,2
PhRMA,PhRMA,319,1
The Resist Zone,The Resist Zone,319,11
Jewish Community Center of San Francisco,Jewish Community Center of San Francisco,318,4
Mississippi Development Authority,Mississippi Development Authority,318,3
Hecla Greens Creek,Hecla Greens Creek,317,3
Student Borrower Protection Center,These ads ran without a disclaimer,316,1
ThermaSeat,ThermaSeat,316,1
Airline Passengers for Justice,Airline Passengers for Justice,315,6
Carnegie Corporation of New York,Carnegie Corporation of New York,315,4
Time for Oregon,Time for Oregon,315,2
Choose God,ChooseGod,315,5
Protect Ohio's Middle Class,Keep Ohio's Heritage,315,4
Ryan For Ward 4,"Ryan For Ward 4: Christopher Smith, Treasurer.",314,1
Alliance for Michigan Power,the Alliance for Michigan Power,314,59
OwlFactor,OwlFactor,314,170
The Nature Conservancy in California,Commonwise,313,33
Jim Craig for Mayor,Jim Craig for Mayor,312,3
Stop Destroying Tennessee Farms,Stop Destroying Tennessee Farms,311,4
Yale Repertory Theatre,Yale Repertory Theatre,311,8
Coweta GOP,Coweta Republican Party,311,4
Travis Clardy,Travis for Texas,310,2
The Epoch Times Los Angeles,The Epoch Times - Los Angeles,310,7
Americans for Food and Beverage Choice,American Beverage Association,309,37
Hillsdale College,Hillsdale College,309,19
Providence Olympia,These ads ran without a disclaimer,309,1
Job Creators Network,Job Creators Network,308,3
Glenn Beck,TheBlaze,307,7
Dakota Range Wind,Dakota Range Wind,307,63
Tru Power Solar Energy,Tru Power Solar Energy,306,455
New York Working Families Party,Working Families Party,306,21
"City of Cookeville TN - Ricky Shelton, Mayor",Better Cookeville,305,1
NC Conservation Network,NC Conservation Network,305,3
NRA Institute for Legislative Action,NRA,304,1
New Jersey Education Association,the New Jersey Education Association.,302,2
New Mexicans for Economic Prosperity,New Mexicans for Economic Prosperity,301,8
Jeff White,Jeff White,301,21
Blue Store South Charlotte,Blue Store of South Charlotte,301,4
State Representative Trent Ashby,Texans for Trent Ashby,300,1
Virginia Tea Party,Virginia Tea Party,300,2
Young People in Recovery,Young People in Recovery,300,1
Rebuild SoCal,SCPFJ & Rebuild SoCal.,300,2
China US Focus,China-US Focus,300,5
North Shore Animal League America,North Shore Animal League America,300,3
Bergen County Winter Wonderland,These ads ran without a disclaimer,300,1
Habitat for Humanity of Omaha,Habitat for Humanity of Omaha,300,2
Green For All,Green for All,300,6
Lake Oconee RallyRaiser for Brad Raffensperger for Ga Secretary of State,Lake Oconee RallyRaiser for Brad Raffensperger for Georgia Secretary of State,300,2
Christians United for Israel (CUFI),Christians United for Israel,300,2
UUSC: Unitarian Universalist Service Committee,Unitarian Universalist Service Committee,300,2
Working America,Working America,299,3
Free to Teach,Americans for Fair Treatment,299,2
Sand Cloud,These ads ran without a disclaimer,298,12
Start Talking. Stop HIV.,Act Against AIDS,298,4
The New York Community Trust,The New York Community Trust,297,6
Steven Crowder,CRTV,296,5
David Y. Grossman for Commissioner of Sunny Isles,"David Y. Grossman for Sunny Isles Beach Commissioner, Seat 2",296,28
Susana Martinez,New Mexico Legacy,296,1
The Independence Fund,The Independence Fund,295,6
Mid-America Regional Council,Mid-America Regional Council,295,3
The Lone Liberal Republican,Arthur Winter,294,7
"Matern Law Group, PC","Matern Law Group, PC",294,7
Planned Parenthood of the Great Northwest and the Hawaiian Islands,Planned Parenthood of the Great Northwest and the Hawaiian Islands,294,4
Nonhuman Rights Project,Nonhuman Rights Project,293,2
World of Children,World of Children,292,4
Seguros De Salud Florida,JID GROUP,291,2
Dow Constantine,Friends of Dow Constantine,291,2
Children's Action Alliance,Children's Action Alliance,291,20
Better Care for Virginia,Better Care for Virginia,291,1
NowThis,These ads ran without a disclaimer,290,1
Garmin Outdoor,These ads ran without a disclaimer,289,2
Aspire Fashion,Aspire Gear,289,75
Your Bottle Means Jobs,South Carolina Department of Commerce,289,3
Preserve Howell,Preserve Howell,288,4
Reed Energy Consulting,Reed Energy Consulting,287,4
Social Security,American Web Page,286,12
Crowned Free,Crowned Free,286,9
LobbyUp,LobbyUp,284,8
Staci Bevill for Lee County Court Judge,Friends to Elect Staci Shumpert Bevill & Approved by the Candidate,284,2
Narconon Suncoast,"Narconon Suncoast, a non-profit drug and alcohol rehabilitation center",284,10
Consumer Protection Coalition,Paid for by the Consumer Protection Coalition,283,1
Bevi,Bevi,283,4
Right Scan Right Time,The Medical Imaging & Technology Alliance,283,3
Better Jobs New Mexico,Better Jobs NM,283,12
Re-Elect Tiffany Kuhn Jefferson Parish School Board District 3,Tiffany Kuhn Campaign Fund,283,6
"Honolulu Office of Climate Change, Sustainability and Resiliency","Honolulu Office of Climate Change, Sustainability & Resiliency",283,3
Chad4Jax,"Chad E McIntyre, Democrat, for Jacksonville City Council at Large, Group 5",282,5
Meir Panim,Meir Panim,282,7
Check In Michigan,Check in Michigan,282,2
Randy Boyd,Randy Boyd,281,5
Float8 - Wellness Lounge,"Brotherly Love Productions, Inc.",281,6
Look Again,LAPD foundation & Look Again LA,281,4
Media Bias on Marijuana,"Ed Gogek, M.D.",280,1
Ross Initiative in Sports for Equality,Ross Initiative in Sports for Equality (RISE),280,2
Steve Forbes,Steve Forbes,280,1
Elizabeth Esty,Friends of Elizabeth Esty,280,2
Always Home,Always Home,280,26
National Committee on U.S.-China Relations,the National Committee on U.S.-China Relations,280,2
Future of Nursing: Campaign for Action,The Future of Nursing: Campaign for Action,280,4
DonorPerfect Fundraising Growth Platform,SofterWare,280,9
Smartwool,Smartwool,279,2
Conservative Louisiana,Conservative Louisiana PAC,279,1
Paycom Careers,These ads ran without a disclaimer,279,1
Maxine's Ice Cream,1% For The Planet,278,7
U.S. Air Force Recruiting,the U.S. Air Force,277,2
Western Colorado Congress,Western Colorado Alliance,277,2
The Arc Wisconsin,The Arc,277,23
CLSA - California Life Sciences Association,California Life Sciences Association,277,16
"Frank Scott, Jr.","Frank Scott, Jr. for Little Rock Mayor",276,3
The Alliance for Solar Choice,The Alliance for Solar Choice,276,2
"Animal Justice League of America, AJLA",Shane Rudman is the founder of Animal Justice League of America and is committed to ending animal abuse through REAL accountability.,275,1
The Leaven,The Leaven,275,8
AARP Maine,AARP Maine State Office,275,3
"Healthy Forests, Healthy Communities","Healthy Forests, Healthy Communities",275,3
The Money Source Inc.,The Money Source Inc. NMLS# 6289,275,1
Andrew J. Ginther,Friends for Ginther,275,5
"The Arc of Arizona, Inc.",The Arc,274,20
"UAP, Inc",United American Patriots,274,3
Living.Alot,These ads ran without a disclaimer,274,2
The Hartford Gold Group,The Hartford Gold Group,273,2
Dave Rosa 4 Bristol County Commissioner,The Committee to Elect Dave Rosa,273,4
Charles A. Banker III,Charles A. Banker III,272,2
Hunter Nation,Hunter Nation,272,7
Milwaukee 2020,Milwaukee 2020 DNC Committee,272,6
Friends of Mayor Robert T. Kennedy,Friends of Robert T. Kennedy,272,3
Texas Civil Rights Project,Texas Civil Rights Project,271,8
Better World Bio,Better World Bio LLC,271,6
AFP Foundation Arkansas,Americans for Prosperity Foundation,271,6
Eileen Dordek for Alderman 47th Ward,Friends of Eileen J. Dordek,271,8
CASTELLÓN & FUNDERBURK LLP,William Funderburk,271,2
Lion Technology Inc.,"Lion Technology, Inc.",270,11
Unfit: The Documentary Film,#Unfit,269,16
Joyce Beatty,Office of Congresswoman Joyce Beatty,269,1
The Human Race Campaign,The Human Race Campaign,268,8
forestproud,#forestproud,268,73
Refugee Justice League,The Refugee Justice League,268,3
Count on Coal,the National Mining Association,268,21
"Plea for a change, the Michael Bell shooting",The family of Michael E. Bell,267,3
NYC Pride,NYC Pride,267,4
The Nature Conservancy in Florida,The Nature Conservancy in Florida,266,3
Texas Medicaid Works,Texas Association of Health Plans,266,20
NewsDriver,NewsDriver,266,10
The Arc Georgia,The Arc,266,20
Volunteers of America Colorado,These ads ran without a disclaimer,266,1
Oregon League of Conservation Voters,Oregon League of Conservation Voters,266,1
CREDO Mobile,These ads ran without a disclaimer,265,13
Congressman Charlie Crist,the Office of Congressman Charlie Crist,265,3
Metro Puerto Rico,Metro Puerto Rico,265,7
Palm Beach Civic Association,Palm Beach Civic Association,265,3
Center of the American Experiment,Center of the American Experiment,265,8
The Yerman Group,The Yerman Group,264,3
Wander & Co.,Wander & Co.,264,5
"Little, Brown and Company","Little, Brown and Company",263,7
Caring Across Generations,Caring Across Generations,263,7
"NY Climate Change Science, Engineering & Economics Meetup","Bill Chapman, Computer Programmer",263,3
ShopRite,Wakefern Food Corp,263,2
Hatch Magazine,Cignal Media LLC,263,4
Media Research Center,Media Research Center,261,5
Vermont Teddy Bear,Vermont Teddy Bear,261,1
The GOD'S CHILD Project,God's Child Project,260,5
Portside,Portside,259,48
CVIIC,Central Valley Immigrant Integration Collaborative,259,1
RepresentUs,RepresentUs,259,29
I am Arizona. I am for Arizona.,Arizonans for Tribal Government Gaming,259,12
Wasatch Speaker Series,Eminent Series Group,257,1
Louisiana Nursing Home Association,Louisiana Health Care Association,257,3
Onondaga County Save the Rain,Onondaga County Save the Rain,257,4
"Milbank, Tweed, Hadley & McCloy LLP",Milbank Law,256,3
Flagstaff Family Food Center,Flagstaff Family Food Center: Food Bank and Kitchen,255,8
Uniti Fiber,These ads ran without a disclaimer,255,1
American Farmland Trust,American Farmland Trust,254,3
Paul Milde,"Friends of Paul Milde. Authorized by Paul Milde, Candidate for Delegate, 28th District.",254,2
National Foundation to End Child Abuse and Neglect,National Foundation for Ending Child Abuse and Neglect,254,2
Options United,Options United,253,6
The Epoch Times Los Angeles,The Epoch Times Los Angeles,252,4
My West Michigan,13 On Your Side,252,2
Stephen Lytle for Tampa City Council,Stephen Lytle for Tampa City Council,251,6
Planned Parenthood Minnesota Advocate,"Planned Parenthood Minnesota, North Dakota, South Dakota Action Fund",251,3
Waterkeeper Alliance,Waterkeeper Alliance,250,8
"Township of North Bergen, NJ",Township of North Bergen,250,1
Dorothy Brown for Mayor,Friends of Dorothy Brown,250,10
Alaska Wilderness League,Alaska Wilderness League,250,3
ScriptSave WellRx,ScriptSave WellRx,250,5
"Alex Lama for Commissioner Sunny Isles Beach, FL","Alex Lama for Sunny Isles Beach Commissioner, Seat 2",250,6
SC Club for Growth,SC Club for Growth,250,1
Saving Promise,Saving Promise,249,2
College Possible,College Possible,248,4
PETA Kills Animals,Center for Consumer Freedom,248,1
AARP NH,AARP New Hampshire,248,5
California Health Care Foundation,the California Health Care Foundation,248,3
Unplanned,Unplanned,247,4
"The Citizens Foundation, USA",The Citizens Foundation - USA,247,8
Commonwealth Foundation,The Commonwealth Foundation,246,4
John Raymond for State Representative District #90,Friends of John Raymond,246,8
Congressman Clay Higgins,Office of Congressman Clay Higgins,245,1
Climate News Hub,Climate News Hub,245,1
Independentwomensforum,Independent Women's Forum,245,6
Concern Worldwide US,Concern Advertising,244,11
Humane Society Legislative Fund,Humane Society Legislative Fund,244,5
Together Louisiana,Together Louisiana,243,1
Brent Bozell,Media Research Center,243,1
Williams Kherkher,Williams Kherkher,243,2
DiversityInc,Diversity Incorporated,242,1
AVA - American Voter App,"AVA/AmericanVoterApp, a nonpartisan organization to inform, engage and empower the American Voter in the political process.",241,9
The City Congregation for Humanistic Judaism,The City Congregation for Humanistic Judaism,241,4
Union Patriots,Union Patriots,241,13
Senior Enrollment Center,SEC INC,241,3
Orange County Stormwater Program,Orange County Storm Water,241,2
Covenant House Texas,Covenant House Texas,241,6
Health Plan Markets,Health Plan Markets,241,2
Good Counsel Homes,"Good Counsel, Inc.",240,14
Wyoming Hunters & Anglers Alliance,Wyoming Hunters and Anglers Alliance 501 (c) (4),240,2
San Diego Organizing Project,San Diego Organizing Project,240,3
Boulder County Public Health,Boulder County Public Health,239,1
UNITE HERE!,UNITE HERE,239,3
The Brookings Institution,The Brookings Institution,239,2
Michigan Association of Health Plans,the Michigan Association of Health Plans,239,5
Brennan Center for Justice at NYU Law,Brennan Center for Justice,239,2
Teaching Tolerance,"Teaching Tolerance, a nonpartisan educational program",239,4
Jobs for Abilene,supporters of DCOA.,239,1
Lutheran Immigration and Refugee Service,Lutheran Immigration and Refugee Service,238,1
Dennis Prager,Citizens for Truth in Drug Pricing,238,2
Small Change,"NSSC Holdings, LLC",238,1
"Re-Elect Mayor Pete Saenz - Laredo, TX","Pete Saenz, III, Treasurer",237,7
Real Recycling Philadelphia,REAL RECYCLING PHILADELPHIA,236,10
Georgia Equality,Georgia Equality,236,3
Schwartz & Schwartz,Benjamin A. Schwartz,236,1
Parent Power,These ads ran without a disclaimer,235,1
Louisiana Bucket Brigade,Louisiana Bucket Brigade,235,1
Altamar with Peter Schechter and Muni Jensen,"Altamar, A Leading Global Affairs Podcast",235,6
Mayor David Holt,Holt for OKC,235,1
David McSweeney,David McSweeney for State Representative,235,2
Maine Coast Heritage Trust,Maine Coast Heritage Trust,234,19
Northern Illinois Food Bank,One & All,234,5
Blaming China,Blaming China (book),234,2
"Anbex, Inc.","Anbex, Inc.",233,7
Sheet Metal Air Rail and Transportation Workers,International Association of Sheet Metal Air Rail and Transportation Workers,233,3
Better Angels - A documentary by director Malcolm Clarke,Better Angels,233,4
AAFAF,AAFAF Puerto Rico,233,2
Flatlands Insurance Group,"Flatlands Insurance Group, Washington, NC",232,1
Conservation Colorado,Conservation Colorado,232,9
Living Forests Project,Commonwise,231,21
Oregonians for Safe Gun Storage,Oregonians For Safe Gun Storage,231,3
Convention of States Nebraska,Convention of States Action,231,1
Water For Colorado,Water for Colorado,231,12
Save Maquoit Bay,Save Maquoit Bay,231,4
Reclaim NY Now,RNY Initiative,230,1
The West Virginia Record,The Record,229,10
The Sylvan Pen: Art & Satire,"Andrew Thomas, author and illustrator",228,3
ACTA - American Council of Trustees and Alumni,ACTA - American Council of Trustees and Alumni,228,3
Support 2nd Amendment,Support 2nd Amendment,227,186
Arizona Mirror,the Arizona Mirror,227,3
Southern Alliance for Clean Energy,Southern Alliance for Clean Energy.,227,6
Dominick Miserandino,Dominick Miserandino,227,3
Jeanne Shaheen,Shaheen for Senate,226,8
Shield Republic,Shield Republic,226,99
Republican Party of Virginia,"Republican Party of Virginia, Inc.",225,6
Troy Odom for Chancery Judge,The Friends of Troy Odom,225,18
Richmond Standard,Richmond Standard,225,10
"William F. Buckley, Jr. Program at Yale","William F. Buckley, Jr. Program",225,3
Gage Inc.,Gage Travels,224,11
Democratic Climate Action,Democratic Climate Action – a project of the Democratic Governors Association.,224,2
Likewise,Likewise National,224,1
Meraki Journey,Meraki Journey,224,9
Solana Torrance,Solana Torrance,223,3
Freedom Action Network of South Carolina,Freedom Action Network of South Carolina,223,7
Prison Fellowship,Prison Fellowship,223,2
Local Marketplace from NJ Advance Media,NJ Speaker Series,223,2
Austin Street Center,Austin Street Center,223,8
Movement for a People's Party,MPP,222,11
Ian Bremmer,GZERO Media,222,3
Congressman Gerry Connolly,the Office of Rep. Gerry Connolly (VA-11),222,2
Wayne County Treasurer's Office,Wayne County Treasurer's Office,222,3
Center for Arizona Policy Action,Center for Arizona Policy Action,221,15
ADRA International,These ads ran without a disclaimer,221,3
Ryan Hampton,Ryan Hampton,220,8
Gus for the 47th Ward,Friends of Gus Katsafaros,219,10
Discriminology,Discriminology,218,8
American Association of Evangelicals - AAE,"Liberty T, LLC",218,5
Heritage Explains,These ads ran without a disclaimer,218,8
W.K. Kellogg Foundation,W.K. Kellogg Foundation,217,3
Good Shepherd Food Bank,These ads ran without a disclaimer,217,3
Welcome.,The Welcome. Campaign,216,2
GT's Kombucha,These ads ran without a disclaimer,216,1
Craig Huey,Craig Huey,216,10
Hudson Pacific Properties,Hudson Pacific Properties,215,5
Orlando Political Observer,Gravis Marketing,215,9
Committee to Elect Omar Mason - Judge,the Committee to Elect Omar Mason - Judge,214,1
Electric Nation: Powered By Wind,Wind Energy Foundation,214,7
Americans for Prosperity - Arkansas,Americans for Prosperity,214,1
Oklahoma Council of Public Affairs,the Oklahoma Council of Public Affairs,213,8
Israel on Campus Coalition,Israel on Campus Coalition,213,7
Invested TX,InvestEdTx.,213,3
Communities In Schools,Communities In Schools,212,14
Assemblymember Adrin Nazarian,Nazarian for Assembly 2018 ID #1392480,212,2
Derek Lindblom,Friends of Derek Lindblom,212,1
Becket,Becket Law,212,9
National Association of Tax Professionals (NATP),National Association of Tax Professionals,212,6
NRSC,NRSC,211,6
Independent Institute,Independent Institute,211,7
The Revelator,The Revelator News,211,19
Cry Baby Trump,JNR Enterprises,211,1
Catholic Charities of the Archdiocese of New York,Catholic Charities Archdiocese of New York,211,2
KevinMD.com,"KevinMD, LLC",211,5
Rich Meyer,Rich Meyer,210,3
Jane Velez-Mitchell,Eastwind Enterprises,210,1
The Ryder Magazine and Film Series,The Ryder Film Series,210,2
OneLife LA,OneLife LA,210,6
Trump White House,Trump White House Shop,210,2
United Bank,United Bank,210,1
Eileen Bedell for Virginia,Bedell for Virginia,210,2
"Tactical Air USA, LLC","Tactical Air USA, LLC",210,1
Borderwise,Borderwise,210,4
Clean Energy Authority,"DigitalGreenMedia, LLC",210,1
"Healthy Forests, Healthy Communities",These ads ran without a disclaimer,210,2
National League of Cities,the National League of Cities,209,12
Know the Risks MoCo,Montgomery County Collaboration Council,209,15
Partnership for Working Families,Partnership for Working Families,209,15
The Missouri Plan,"THE MISSOURI BAR, SEBRINA BARRETT, EXECUTIVE DIRECTOR PO BOX 119 JEFFERSON CITY, MO 65102",209,7
Anglers for Lake Okeechobee,Anglers for Lake Okeechobee,209,2
Students For Liberty,Students For Liberty,208,2
"Dane Thibodeaux, Candidate, Breaux Bridge-District E",Dane Thibodeaux for District E,208,3
Working Families United,Working Families United,208,4
The Ocean Foundation,The Ocean Foundation,208,13
Lee Ann Turner,The Committee to Elect Lee Ann Turner (Approved by Lee Ann Turner),208,3
CertaPet,CertaPet,207,7
Boston Climate Action Network,Boston Climate Action Network,207,6
XUzhiguangx,These ads ran without a disclaimer,207,13
LifeFlip Media,LifeFlip Media,207,4
Steward Speakers,Steward Speakers Series,207,8
AARP Member Benefits,AARP Member Benefits,206,3
Home Professionals,These ads ran without a disclaimer,206,2
Ed Thicksten for Alma Mayor 2018,Ed Thicksten,206,15
Germanna Community College,These ads ran without a disclaimer,206,1
Love And Bananas,"Love And Bananas Movie, LLC",206,1
Buffalo River Foundation,the Buffalo River Foundation,205,4
Clarion Project,Clarion Project,205,6
