Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
EarthHero,EarthHero,184,2
ARmindsMatter,The STARR Coalition,184,2
UCSF,"University of California, San Francisco",183,8
ND xPlains,ND xPlains,183,2
Georgetown University Center on Education and the Workforce,Georgetown CEW,183,4
Washington Education Association,Washington Education Association,183,1
Webster Central Schools,Webster Central Schools,182,2
No Quarry in Cross Hollows,No Rock Quarry in Cross Hollows,182,2
Modern Print Artwork,Modern Print Artwork,182,2
Your Daily Pitch,Your Daily Pitch / Cox Media,182,7
Delegate Bob Thomas,Friends of Bob Thomas,182,6
Lady Peace,Lady Peace,182,1
River City Environmental,Jeshe Burch,182,2
The Joyce Foundation,The Joyce Foundation,181,4
Randy Boyd,Randy Boyd,181,3
Right to Life of Southwest Indiana,Right to Life of Southwest Indiana,181,3
Second Harvest Food Bank of Middle Tennessee,Second Harvest Food Bank of Middle Tennessee,180,7
LifeSiteNews.com,LifeSiteNews,180,5
Healthcare the New Way,Healthcare the New Way,180,6
Michigan Education Association,These ads ran without a disclaimer,180,1
Community Solutions,Community Solutions,179,2
Alameda County Community Food Bank,These ads ran without a disclaimer,178,11
Dogwood Alliance,Dogwood Alliance,178,2
Pittsburgh Post-Gazette Advertising,Pittsburgh Post-Gazette,178,2
Ford Ridge Wind,Ford Ridge Wind,178,61
Freedom Action Network of South Carolina,Freedom Action Network of South Carolina,177,8
Diamonds Do Good,Diamonds Do Good,177,7
Free to Be Kids,Free to be Kids,177,3
Louisiana Nursing Home Association,Louisiana Health Care Association,176,3
Virginians for Jobs & the Economy,Coalition for Jobs and Economy,175,3
The Fight Against Antimicrobial Resistance,"Paradigm Solutions, LLC",175,1
Invested TX,InvestEdTx.,175,1
Maine Forward,Maine Center for Economic Policy.,175,5
Republican Party of SJCNM,Republican Party of San Juan County NM,175,4
Buckeye Firearms Association,Buckeye Firearms Association,175,1
Insurance Florida,JENY RIOBUENO,175,2
Michael John Gray,Michael John Gray for State Representative,175,1
15 at Walmart,the Organization United for Respect at Walmart (OUR Walmart),175,1
Tax Free Insider,Tax Free Insider,175,1
AARP Member Benefits,AARP Member Benefits,175,4
JeffCo Metro Area Crime Center,Jefferson County Metro Area Crime Center,175,1
Prostatis Group,"Advisory services offered through Prostatis Group, LLC, a Registered Investment Advisor. Securities offered through TCM Securities Inc., Member FINRA/SIPC. Insurance offered through licensed professionals at Prostatis Group, LLC.",175,4
The Humane Society of the United States,These ads ran without a disclaimer,175,1
Mammoth Peak Gun Cases,Mammoth Peak,174,1
The Epoch Times Los Angeles,The Epoch Times - Los Angeles,174,4
Michigan Dental Association,the Michigan Dental Association,174,4
Everett Roy for City Council District 1,MCS Campaign Ads,174,2
Sun N Us - Solar Solutions,Sun N Us Solar,174,1
Show-Me Institute,the Show-Me Institute,174,1
The California Endowment,The California Endowment,174,4
Maasai Girls Rescue Center,Maasai Girls Rescue Center,173,8
Lawrence "Larry" Wainstein,The Good Government Team,173,1
Green Earth Tails,Green Earth Tails,173,2
"Immigration Law Offices of Hadley Bajramovic, PC",Immigration Law Offices of Hadley Bajramovic,173,2
Amy Klobuchar,Klobuchar for Minnesota,173,2
Our Lives Magazine,Our Lives magazine,172,12
YWCA Arizona - STAT-Stand Together Arizona Training & Advocacy,YWCA Southern Arizona,172,4
MacArthur Center,Starwood Retail Partners,172,3
Mindy Robinson,Mindy Robinson,172,2
Libertarian Country,Libertarian Country,171,5
ActionSprout,ActionSprout,171,14
Orange County Stormwater Program,Orange County Storm Water,171,1
"Protect Coyote Valley, San Jose",Protect Coyote Valley,171,2
Whole Forest,Whole Forest,170,24
Travis Rice,Orvis,170,1
LAW Publications,LAW Publications,170,2
Debt Cleanse,DebtCleanse,169,2
Elder Services of the Merrimack Valley,an ACL Grant No. 90MP0226,169,1
Lion of the Senate Book,David Nexon,169,5
PAI,PAI - Experts in Family Planning,169,4
Alfred A. Knopf,Alfred A. Knopf,169,4
Do Good Institute,Do Good Institute,169,3
FRC Action,Family Research Council Action,169,1
Americans for Prosperity-New Jersey,Americans for Prosperity,168,2
"Affordable Health Insurance Agency, LLC","Affordable Health Insurance Agency, LLC",168,1
Andres Quintero,Andres Quintero for Alum Rock School Board 2018,168,1
Seguros de Salud Florida,JPJ Insurance Services,168,1
Adirondack Council,Adirondack Council,168,3
Experience Magazine,Experience Magazine,168,1
Democratic Association of Secretaries of State,"the Democratic Association of Secretaries of State, 777 S Figueroa Street Suite 4050 Los Angeles, CA 90017, Not authorized by any candidate or candidate’s committee. Nellie Gorbea, Treasurer, is a registered agent of Democratic Association of Secretaries of State.",168,2
North Dakota Republican Party,The North Dakota Republican Party,167,10
Population Connection,Population Connection,167,9
Rising Tide Interactive,Rising Tide Interactive,167,2
PhRMA,PhRMA,167,1
Indiana Right to Life,Indiana Right to Life Inc.,167,4
Nonhuman Rights Project,Nonhuman Rights Project,166,4
National Porridge Party,Rich Flowers,166,1
"Geoff Epstein, School Committee Member, District 6",Geoffrey N Epstein,166,4
Mike Quigley,Quigley for Congress,166,2
Everett Gospel Mission,Everett Gospel Mission,166,5
Chicago Unheard,"Chicago Unheard, a blog committed to letting parents, teachers and students talk about schools.",166,2
Bigger Pie Forum,Bigger Pie Forum,166,8
City of Danbury,City of Danbury,166,3
AARP North Carolina,AARP North Carolina,166,4
Zócalo Public Square,Zócalo Public Square,166,1
FogHorn,Fog Horn Reports,165,7
"ElderCounsel, LLC","ElderCounsel, LLC",165,1
The Doe Fund,The Doe Fund,165,2
Citizens for Linda Hudson 8th Ward Aldermanic Candidate,Nicholas M Williams,165,2
AMA Patients’ Action Network,American Medical Association,164,2
Offbeat,Topix,164,2
Mike Dover for OKC Ward 2,Friends of Mike Dover,164,8
SeeClickFix,SeeClickFix,164,3
Verkada,Verkada,164,1
Vitamin Angels,These ads ran without a disclaimer,164,23
Alameda County Office of Education,the Alameda County Office of Education,164,6
AARP Idaho,AARP Idaho,164,4
Wisconsin State Representative Robin Vos,the Office of State Representative Robin Vos,163,1
Heidi Kirk for District 5 School Board,"Heidi Kirk for MISD District 5 Trustee Campaign.",163,5
South Oakland Shelter,South Oakland Shelter (SOS),163,1
Sector 7G,Ranker,162,36
Jesus "Chuy" Dominguez,"Jesus ""Chuy"" Dominguez Campaign, Miguel A. Flores, Treasurer",162,3
WhosLiable,Mitchell at Law,162,1
Children's Education Alliance of Missouri - CEAM,Children's Education Alliance of Missouri,162,3
Retirement Specialty Group,"Retirement Specialty Group, Inc.",161,5
Central City Concern,Central City Concern,161,4
BloodStream Media,Believe LTD,161,2
Americans for Prosperity -  Florida,Americans for Prosperity,160,3
BryanRoach Transition,BryanRoach Transition,160,2
Homeownership For All,"Homeownership for All, Inc",160,5
AAPI Progressive Action,AAPI Progressive Action,160,4
Apex Clean Energy,Apex Clean Energy,159,5
I'll 2nd That,I'll 2nd That!,159,2
Congressman James Comer,official funds authorized by the House of Representatives.,159,1
Craig Fishbein for Town Council,Craig C. Fishbein - This item is related to politics and/or an issue of national importance,159,1
Rochester Institute of Technology (RIT) Graduate Admissions,Rochester Institute of Technology,159,1
Washington National Cathedral,Washington National Cathedral,159,1
Democratic Coalition Against Trump,The Democratic Coalition,159,14
Abortion Clinics Online,Abortion Clinics OnLine LLC,158,2
Texas Values,Texas Values,158,4
Beacon,the Maine People's Alliance,158,4
Trump National Golf Club Washington D.C.,These ads ran without a disclaimer,158,3
American Bird Conservancy,American Bird Conservancy,158,24
Originalgunoil,Original Gun Oil,158,3
Open Door,Open Door.,158,2
Assemblymember Jesse Gabriel,Elect Jesse Gabriel for Assembly 2018 - FPPC ID No. 1402641,157,1
Competitive Enterprise Institute,the Competitive Enterprise Institute,157,5
Miami-Dade County Government,Miami-Dade County,157,2
Vicky Hartzler,Vicky Hartzler for Congress,157,3
Ken Jeong,Ken Jeong,157,2
Border Youth Tennis Exchange,Border Youth Tennis Exchange,157,18
World Relief,World Relief,157,7
Congresswoman Diana DeGette,Office of Congresswoman Diana DeGette,157,1
Equality Utah,Equality Utah,156,1
The Ripon Society,The Ripon Society,156,5
Michigan Legislative Consultants,Michigan Legislative Consultants,156,5
BoomTax,BoomTax,156,9
Natural Resources Council of Maine,Natural Resources Council of Maine,156,3
Equal Justice Initiative,Equal Justice Initiative,155,1
Anti-Terrorism Explosion Injury Lawsuits,Sullo & Sullo Attorneys at Law,155,3
Regional Recycling and Waste Reduction District,Regional Recycling and Waste Reduction District,155,4
Michigan Auto Law,Steven M. Gursten,155,1
Denver Rescue Mission,These ads ran without a disclaimer,154,1
Empower Texans,Empower Texans,154,6
Climate Reality Project DFW,Anthony Perri,154,4
President Evil,President Evil Feature Film,154,5
Women's March,Women's March,153,1
Civic Action Network,Civic Action Network,153,2
Fed of American Hospitals,Federation of American Hospitals,153,2
Mike Bloomberg,Bloomberg Philanthropies,153,1
Real Huntington,Real Huntington,152,1
Acessa Health,Acessa Health,152,14
Surviving Retirement,LeadJig,152,4
Penguin Kids,These ads ran without a disclaimer,152,12
Aspen Snowmass,Aspen Snowmass,152,3
Faith in Place Action Fund,Faith in Place Action Fund,151,1
The Ben Shapiro Show,The Daily Wire,151,14
Councilmember Mike Bonin,"Mike Bonin for City Council 2013 Officeholder account. 777 S. Figueroa St. Ste 4050 Los Angeles, CA 90017. Additional information at ethics.lacity.org. NOT PAID FOR AT TAXPAYER EXPENSE.",150,1
Elizabeth Turner Law Office,Elizabeth Turner Law LLC - The choice of an attorney is important and should not be based solely upon advertisements,150,2
The Western Way,The Western Way,150,2
Points of Light,Points of Light,150,6
The Steamboat Institute,The Steamboat Institute,150,1
iFunny,These ads ran without a disclaimer,150,1
Young People in Recovery,Young People in Recovery,150,1
DeliverFund,DeliverFund,150,2
Grow.Wild.NCo,Grow Wild And Co,150,1
State Representative Jerry Sexton,"Committee to Elect Jerry Sexton, Terry Winstead Treasurer",150,2
AFPM,Jo Co Impact,150,1
The Independence Fund,The Independence Fund,150,2
For Liberty,For Liberty,149,1
Felix Cardona Jr for 31st Ward Alderman,Citizens to Elect Felix Cardona Jr,149,6
Kitchen Delight,These ads ran without a disclaimer,149,6
Wild Selections,Wild Selections,149,2
Institute for Southern Studies,Institute for Southern Studies,149,5
Vote for ECISD,"Odessans For Education, Inc., Treasurer David Duree, P.O. Box 15063 Odessa, TX. 79768-5063",149,1
Thomas Dillingham,Thomas Dillingham,148,5
UNITE HERE Local 30,UNITE HERE Local 30,148,2
American Heart Association - Nebraska,American Heart Association,148,2
Jason Smith,JASON SMITH FOR CONGRESS,148,3
Hilario Dominguez for 25th Ward Alderman,Neighbors for Hilario Dominguez,148,1
Gasparilla Vacations,Gasparilla Vacations,148,2
Conservative Move,Conservative Move,148,3
Arizona PIRG,Arizona PIRG Education Fund,148,1
Reclaim NY Now,RNY Initiative,147,9
Re- Elect U.S. Congressman Vicente Gonzalez,Vicente Gonzalez for Congress Committee,147,4
Absolutely Positively Genuine Real Fake News,Harbour Point Publishing,147,9
Paul Bettencourt,Friends of Paul Bettencourt,147,3
"Sanford Heisler Sharp, LLP","Sanford Heisler Sharp, LLP",147,7
Take It in The Gas,"Michael Fisher  Any ad on this page is intended to provide information to the citizens of Amarillo related to local businesses, local business leaders and elected officials in this city and how they may all be connected.",146,1
Hats Below 15,These ads ran without a disclaimer,146,9
Texas AFL-CIO,Texas AFL-CIO,146,7
William Calloway,Friends for William Calloway,146,2
Smithfield Foods,Smithfield Foods,146,5
The City Magazine El Paso,THECITY Magazine El Paso,146,12
International Rhino Foundation,International Rhino Foundation,146,3
Independent Voter,IVN News,145,4
Oregon Wildlands,Wilderness NOW,145,4
Whalesoftheworld,Whales of the World,145,6
OLÉ NewMexico,OLÉ Education Fund,145,14
Zurich Advocacy,Zurich American Insurance Company,144,3
Public Policy Office - Archdiocese of New York,the Archdiocese of New York,144,2
Convention of States South Dakota,Convention of States Action,144,2
Firearms Policy Coalition,Firearms Policy Coalition,144,2
Voices of the Civil Rights Movement,Comcast NBCUniversal,144,1
CharterStrong,New Jersey Left Behind,143,3
Choose Humanity,Choose Humanity,143,7
Wisconsin LGBT Chamber of Commerce,Wisconsin LGBT Chamber of Commerce,143,11
Cancer Today,The American Association for Cancer Research (AACR),143,6
Plan C,Plan C,143,4
CASE Conservative Alliance for Solar Energy,Conservative Alliance for Solar Energy,142,1
South Carolina Department of Agriculture,The South Carolina Department of Agriculture,142,1
Pro-Life Action League,Pro-Life Action League,141,2
American Freedom Fighter,American Freedom Fighter,141,4
Boston Climate Action Network,Boston Climate Action Network,141,12
MTC Changes Lives,These ads ran without a disclaimer,141,1
Metrus Energy,Metrus Energy,141,5
Senator Vin Gopal,"Gopal for Senate, 97 Apple Street, Tinton Falls, NJ 07724",141,4
Medi-Share,Christian Care Ministry,141,6
Mike Dunleavy for Governor,Alaskans for Dunleavy,140,2
National Savings Programs,National Savings Programs,140,2
Louisiana Oil & Gas Political Action Committee,Louisiana Oil & Gas Political Action Committee,140,1
Fourth Street Clinic,Fourth Street Clinic,140,1
Two Flags,Two Flags,140,1
Charleston County Democrats,Charleston County Democratic Party,140,1
APAW,"True Science Holdings, LLC.",140,4
Conservative News Today,BizPac Review Inc,140,1
Goodr,goodr,140,2
American Health Plans,American Health Plans,140,1
Invested Interests,Invested Interests,140,2
"City of Rochester, NY - Mayor's Office",City of Rochester,140,1
Erick Erickson,Erick Erickson,140,1
Feonix - Winnebago County,East Central Wisconsin Regional Planning Commission,140,1
Illinois Coalition for Access to Affordable Medication,Illinois Coalition for Access to Affordable Medication,140,1
Minus 45,Human Agency PAC,140,26
MarinerEast2,"Sunoco Pipeline, an Energy Transfer Partnership",140,7
AARP California,AARP,140,1
Viewpoint Israel,Viewpoint Israel,140,5
Activate Virginia,Josh Stanfield,140,3
Abogados de Inmigración y Derecho Penal USA,Juan Carlos Monteza.,140,2
Trump 2020,Greg Burright,140,1
International Women's Health Coalition,International Women's Health Coalition,140,1
Empower Mississippi,Empower Mississippi,140,1
Today's Real Talk,Ckezepis,140,2
Colormewithahappycrayon,These ads ran without a disclaimer,140,26
Red Symposium,Greg Burright,139,1
Bullhorn Texas,Bullhorn Texas,139,15
Catalyst Voices,Catalyst,139,3
Russia Cybergate,Act Up Enterprises Inc,139,1
REMEDIGAP,Quinn Group LLC,139,2
Plan Medico Florida Central,Maria Gabriela Diaz,139,1
Mississippi Center for Public Policy,Mississippi Center for Public Policy,139,7
Mayor Richard Molina,Richard Molina,139,1
Council Member Rachelle Arizmendi,Arizmendi for City Council 2018,139,2
Sports Retriever,These ads ran without a disclaimer,139,4
The Kids Union,The Kids Union,139,4
Conservative Renaissance,Greg Burright,139,1
Howard County Democratic Party,Howard County Democratic Party,138,2
Everyone Loses with City Prop A,"with regulated funds by Protect Our Future: Voters for a Responsible Ann Arbor | PO Box 3497 Ann Arbor, MI 48106",138,1
Support the New Shopping and Living at the Gateway to Siesta Key,Shop Dine Live Siesta,138,6
Patrio,Patrio App,138,2
West Davis Active Adult Community,These ads ran without a disclaimer,138,2
Rebuild SoCal,SCPFJ & Rebuild SoCal.,138,2
Consumer Reports Advocacy,Consumers Union,138,1
Calista Corporation,Calista Corporation,137,1
Unity Care NW,Unity Care NW,137,64
Fairness Campaign,Fairness Campaign,137,3
Outrider Foundation,Outrider Foundation,137,16
Massachusetts Environmental Trust,Massachusetts Environmental Trust,137,1
Support 2nd Amendment,Support 2nd Amendment,137,4
Jewish Community Center of San Francisco,Jewish Community Center of San Francisco,136,1
Citizens Against Government Waste,Citizens Against Government Waste,136,1
Pathfinder International,Pathfinder International,136,4
Institute for Policy Studies,Institute for Policy Studies,136,2
Union Patriots,Union Patriots,136,23
Portland Children's Levy,Portland Children's Levy,135,14
Pine River Wind Energy,Pine River Wind Project,135,2
Convention of States Arkansas,Convention of States Action,135,3
Bring It Home NYS,"Association for Community, Inc.",135,1
Jim Boyd,Building On Your Dreams Political Committee,135,1
Marine Resources Council,Marine Resources Council,135,3
Convention of States Iowa,Convention of States Action,135,3
Stand Up To Harvard,North American Interfraternity Conference,134,8
Political News and Opinion Lab,"Political News and Opinion Lab, Part of the University of Pennsylvania",134,1
American Voices with Senator Bill Bradley,These ads ran without a disclaimer,134,1
Tony Herbert for Public Advocate,Friends of Tony Herbert,134,1
Rise of the Wahine: Champions of Title IX,Rise of the Wahine,134,2
Apron,Apron,134,2
DrTung's,DrTung's,134,15
Indiana Democratic Party,the Indiana Democratic Party. Not authorized by a candidate or candidate's committee.,133,5
Beach Blanket Babylon,Beach Blanket Babylon,133,3
Miller Center of Public Affairs,The Miller Center,133,2
Economic Opportunity Institute,The Economic Opportunity Institute,133,3
Grabien,Grabien,133,15
Michigan Capitol Confidential,The Mackinac Center for Public Policy,133,10
Battle Born Progress,Battle Born Progress,133,4
MomsRising.org,MomsRising Together,133,2
Genomind,Genomind,133,2
U.S. Sugar,U.S. Sugar,133,3
The Carying Place,The Carying Place,133,1
Polar Society,Polar Society,133,14
Matt Johnston for Brighton,The Committee to Elect Matt Johnston,132,2
Huru International,Huru International,132,219
Hazelden Betty Ford Foundation,Hazelden Betty Ford Foundation,132,1
Fix MI State,the Michigan Infrastructure & Transportation Association,132,3
Stand for Children - Tennessee,"Stand for Children, Inc.",132,4
The Shops at Willow Bend,Starwood Retail Partners,132,2
North Carolina Values Coalition,North Carolina Values Coalition,132,3
Miami Waterkeeper,Miami Waterkeeper,132,2
US~Observer,US~Observer,132,4
Protectors of The Wood Book Series,Protectors of the Wood LLC,132,2
NGLCC - The National LGBT Chamber of Commerce,National LGBT Chamber of Commerce (NGLCC),132,1
Dumps for Trump,Political Faux Paw,131,4
Angela Foy for Ozaukee County Judge,Committee to Elect Angela Foy for Ozaukee County Judge,131,1
Visit Houston,Houston First,131,11
Robert S. Torres,Robert Torres for City Council,131,5
Erie County Democratic Committee,Erie County Democratic Committee,131,1
Oregon Environmental Council,Oregon Environmental Council,131,7
No Mine On 82,No Mine on 82,131,2
Rails-to-Trails Conservancy,Rails-to-Trails Conservancy,131,3
Let Them Live,Nathan Berning,130,3
Code Blue - Water Security Conflicts and Solutions,Code Blue - Water Security Conflicts and Solutions,130,1
Altaray,Altaray Solar,130,4
Covering New Hampshire,These ads ran without a disclaimer,130,1
Truthout,Truthout,130,21
The Foundation for Oklahoma City Public Schools,The Foundation for Oklahoma City Public Schools,129,1
Chris Voccio for Niagara Falls,City Councilman Chris Voccio,129,6
The Law Office of Carolina C. Gomez,The Law Office of Carolina C. Gomez,129,2
U.S. Representative Will Hurd,U.S. Representative Will Hurd,128,3
American Association for Justice,"the American Association for Justice, a 501(c)(6) nonprofit trade organization established to safeguard victims’ rights, strengthen the civil-justice system, and protect access to the courts. With attorney members in the United States, Canada, and abroad, the American Association for Justice protects the constitutional right to trial by jury.",128,1
National Committee to Preserve Social Security and Medicare,National Committee to Preserve Social Security & Medicare,128,14
GOAL Advocacy,GOAL Advocacy,128,3
Zach Klein,Klein Committee,128,6
CASA of South Central Kentucky,CASA of SouthCentral Kentucky,128,1
ANCA Western Region,Armenian National Committee of America-Western Region,128,2
Lauren Arthur,Committee to Elect Lauren Arthur,128,3
New Wentzvillian For St Charles Countians,Paid 4 By the New Wentzvillian,127,3
Everglades-Trust,"Everglades Trust, established in 1994",127,2
Premier Polling Associates,Premier Polling Associates,127,6
Count Basie Center for the Arts,Count Basie Center for the Arts,126,1
South TX Advocacy Group,South Texas Advocacy Group,126,3
The Santa Barbara & Ventura Colleges of Law,The Santa Barbara & Ventura Colleges of Law,126,3
Artists United to End Homelessness,The Founder of AUEH,126,1
Safe Horizon,Safe Horizon,126,4
The Digital Left,The Digital Left,126,5
Forest Fire Facts,Forest Fire Facts,126,6
SweetGrass Capital,"SweetGrass Capital, A MIdland Mortgage Corporation Company NMLS 66708",126,2
American Rivers,American Rivers,126,1
Trump 2020 Wear,"Trump 2020 Wear - Apparel Store not associated with the Trump campaign.  This is not a political page directly, we just sell shirts, hats etc.   Our ads will not relate directly to politics or an issue or national importance, just promoting products.  Thx",125,20
Friends of KOP Rail,Friends of KOP Rail,125,1
State Rep. Chaz Beasley,Chaz Beasley for North Carolina,125,2
America Eclipsed,"Laurent Colvin, DC",125,3
Washington Gun Law,"Washington Gun Law, the home for Washington's lawful and responsible gun owners.",125,4
Hickman For Norman,Hickman for Norman,125,8
Redwood City Climate Magazine,Climate Magazine,125,3
Zanies Nashville,Zanies Nashville,125,3
AZTV,KAZT-TV,125,1
The Humane League,The Humane League,125,14
Yankee Institute for Public Policy,Yankee Institute for Public Policy,125,1
Weird History,Ranker,124,38
Action.GOP,Hines Digital,124,8
Kentucky Voices for Health,Kentucky Voices for Health,124,3
Glenn Kirschner,"Glenn Kirschner, former federal prosecutor",124,8
National Veteran Loan Programs,National Veteran Loan Programs,124,3
Vish for City Council District 6,Vish Viswanath City Council District 6,124,8
American History Tellers,Wondery,123,15
Cole for District Attorney,the Committee to Elect Dustin Cole District Attorney,123,1
It's Time Wilmington,Wilmington Love,123,5
Clean Energy Authority,"DigitalGreenMedia, LLC",123,1
Nursing Workers Strong,Monheit Marketing,123,1
Curzio Research,Curzio Research,123,3
Agayindependent,AGayIndependent,123,4
A.G. Howell for District Attorney,Friends of A.G. Howell,122,2
The Salvation Army Memphis,The Salvation Army Memphis,122,3
Retirement Elevated,Retirement Elevated,122,3
Councilman Ben Molina,Ben Molina For District 2,121,1
thredUP,These ads ran without a disclaimer,121,3
"Centuri Construction Group, Inc.","Centuri Construction Group, Inc.",121,2
Operation Smile,Operation Smile,121,2
Captains for Clean Water,Captains for Clean Water,121,1
Oklahoma Pork Council,the Oklahoma Pork Council,121,1
Guzman Energy,Guzman Energy,121,5
VisionTrust International,VisionTrust,120,4
Massachusetts Education Justice Alliance,MEJA,120,2
FairUseTV,Ken Meyering,120,1
Restore the Mississippi River Delta,Restore the Mississippi River Delta,120,1
Polaris,Polaris,120,1
Pierce County,Pierce County Department of Communications,120,4
American Conservation Coalition - ACC,American Conservation Coalition,120,4
Councilmember Anna Hochkammer,Councilmember Anna Hochkammer,120,5
Oregonians for Safe Gun Storage,Oregonians For Safe Gun Storage,120,2
EFB Advocacy,EFB Advocacy,120,3
Howling Wolf Productions,Howling Wolf Productions,120,4
Community LINC,Community LINC,119,1
The Dave DeGroot Law Firm,The Dave DeGroot Law Firm,119,3
SAM,Serve America Movement,119,4
Shield Republic,Shield Republic,119,13
American Heart Association - Wisconsin,American Heart Association,118,4
Ohioans for Gun Safety,Ohioans for Gun Safety,118,1
The Shadow League,The Shadow League,118,1
Enact Universal Healthcare for California,"Enact Universal Healthcare for CA, Inc.",118,3
Idaho Democratic Party,"Idaho Democratic Party. LeRoy Hayes, Treasurer.",118,1
Choose Life Marketing,Choose Life Marketing,118,6
American Friends Service Committee,The American Friends Service Committee (AFSC),118,9
Plug In America,Plug In America,118,11
Title Nine,TItle Nine,118,2
Oceanic Preservation Society (OPS),Oceanic Preservation Society,117,24
Rudy Morales for Municipal Court,"Maria Del Carmen Perez, Treasurer",117,6
Pew Research Center,Pew Research Center,117,2
Cam Ward,Committee to Elect Cam Ward,117,4
J Street,"J Street, the political home for pro-Israel, pro-peace Americans.",117,20
Mike Cierpiot,"Missourians For Mike Cierpiot, Fran Baker Treasurer.",117,3
SEIU,Service Employees International Union,117,3
Keep My Voice,Keep My Voice,117,1
Scott Fitzpatrick,"Fitzpatrick For House, Danny Buchanan Treasurer.",116,3
Garden State Equality,Garden State Equality Action Fund,116,3
Dr. Marte Martinez for City Council Dist. 6,"Adrianna Martinez, Treasurer",116,1
ProgressNow New Mexico,ProgressNowNewMexico,116,10
White Plastic Is Freedom,C Johnson,116,2
Margaret W. Wong & Associates,Margaret W. Wong & Associates,116,5
Pro Life Tipping Point,Tipping Point,115,3
Walton Family Foundation,Walton Family Foundation,115,1
Southern Alliance for Clean Energy,Southern Alliance for Clean Energy.,115,3
Topic,Topic,115,4
AFSCME 3299,Local 3299,115,2
Dream Centers,Dream Centers,115,5
Tracy Mitrano for Congress,Friends of Tracy Mitrano Committee,115,1
Young Americans for Liberty,"Young Americans for Liberty, Inc.",115,15
Quorum,"Quorum Analytics, Inc.",115,20
Brian Reese,These ads ran without a disclaimer,115,1
Bloomsbury Publishing USA,Bloomsbury Publishing,114,2
Goodwin For Mayor of Terre Haute,Goodwin for Terre Haute,114,6
Gulf of Maine Research Institute,Gulf of Maine Research Institute,114,2
Izaak Walton League of America,Izaak Walton League of America,114,1
School Choice Arkansas,School Choice Arkansas,114,1
Politics406,politics406,114,3
Cup Of Joe For A Joe,Cup of Joe for a Joe,114,1
The Sylvan Pen: Art & Satire,"Andrew Thomas, author and illustrator",114,3
Joe Davern - Healthcare Solutions Team,Joe Davern,114,1
Travis Clardy,Travis for Texas,114,1
Iowa Carry Safe,Iowa Carry Safe,114,1
Baptist Global Response (BGR),Baptist Global Response,114,6
BETO For President T Shirt,Charaka Dharmagunaratne,114,1
Education Post,"Education Post, a nonpartisan nonprofit that amplifies the voices of parents, teachers and students advocating for high-quality public schools for every child in the U.S.",114,6
93.1 JACK FM,Entercom Communications,114,1
PlayCleanGo Minnesota,Minnesota Department of Natural Resources,113,1
Rocky Adkins,Rocky for Kentucky,113,1
Delbert Hosemann,Friends of Delbert Hosemann,113,2
The Missouri Plan,"THE MISSOURI BAR, SEBRINA BARRETT, EXECUTIVE DIRECTOR PO BOX 119 JEFFERSON CITY, MO 65102",113,2
JCRC of Greater Washington,JCRC of Greater Washington,113,3
Kansas Appleseed,Kansas Appleseed,112,2
One Florida Foundation,One Florida Foundation,112,1
Assemblyman Phil Ramos,Committee to elect Philip Ramos,112,3
The Nature Conservancy MD/DC,The Nature Conservancy in Maryland/DC,112,4
Fix the Court,Fix the Court,112,5
Beto for President,Fans of Beto,111,4
Learning with Dotard,"Little Big League, LLC",111,3
Bucks United,Bucks United - working to bring honesty and integrity back to politics,111,2
Travis Allen,TAKE BACK CALIFORNIA PAC,111,1
Neighborhood Legal Services,Neighborhood Legal Services (NLS),111,1
Renew Oregon,Renew Oregon Action Fund,111,4
The Epoch Times Los Angeles,The Epoch Times Los Angeles,111,2
Young Invincibles,Young Invincibles,111,2
PA Environment Digest,"David E. Hess, Former Secretary Pennsylvania Department of Environmental Protection",111,1
US Catholic Sisters Against Human Trafficking,U.S. Catholic Sisters Against Human Trafficking,111,4
Convention of States Michigan,Convention of States Action,110,2
Forward Thinking Politics,"Forward Thinking Media, LLC",110,5
Law Office of Justin D. Sweeney - Immigration & Bankruptcy,JUSTIN D SWEENEY,110,1
Convention of States West Virginia,Convention of States Action,110,1
Habitat for Humanity of Omaha,Habitat for Humanity of Omaha,110,72
Miami-Dade County Government,These ads ran without a disclaimer,110,2
The Women and Girls Foundation,Women and Girls Foundation,110,2
Columbus Public Health,Columbus Public Health,110,1
Erin for Ward 8,Citizens for Erin Conley,109,11
GLSEN,"GLSEN, working towards LGBTQ-inclusive K-12 schools.",109,2
BlueCross BlueShield of South Carolina,BlueCross BlueShield of South Carolina,109,2
Stand Up To Cancer,Stand Up To Cancer,109,19
University of Michigan School of Public Health,University of Michigan School of Public Health,109,2
Law Offices of Timothy P. O'Brien,the Law Offices of Timothy P. O'Brien,109,2
TradeVistas,TradeVistas,109,3
Bio Clean Environmental,"Bio Clean, A Forterra Company",109,4
Clean Vehicle Rebate Project,Clean Vehicle Rebate Project,109,3
Jacobin Magazine,Jacobin Foundation,108,2
TrumpRussia2018 .com,"Sassan K. Darian - A private citizen concerned about basic human decency, liberal democracy and the sovereignty of our democratic process.",108,6
Ability Network of Delaware,The Ability Network of Delaware,108,1
Houston Federation of Teachers,the Houston Federation of Teachers,108,2
New York Civil Liberties Union - NYCLU,New York Civl Liberties Union - NYCLU,108,5
Patriot-Outfitters.com,Larry Duffy,108,35
Victor Marx,ATP Ministries,108,4
