Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Partnership for Working Families,Partnership for Working Families,567,22
Protect Small Business Lending Coalition,Protect Small Business Lending Coalition,567,2
Unbiased Journalism & Investigative News Network,Unbiased Journalism & Investigative News Network,565,4
Spectrum News Austin,Spectrum News,562,2
Accountability Project Ohio,The Accountability Institute,561,1
EmblemHealth,EmblemHealth,561,5
Fake News at Night,New America Digital,560,2
Tampa Immigration Attorney Neil F. Lewis,"Immigration Attorney Neil Lewis, Tampa FL (813) 226-2144. The hiring of a lawyer is an important decision that should not be based solely upon advertisements. Before you decide, ask us to send you free written information about our qualifications and experience.",560,2
Dauphin County Commissioners Jeff Haste & Mike Pries,Friends of Haste & Pries,560,3
Informed Immigrant,FWD.us Education Fund,560,26
My Pay My Say,The Mackinac Center for Public Policy,560,13
Crowdpac,"Crowdpac Inc., a certified B Corporation. Not authorized by any candidate or candidate committee.",560,2
Human Life Action,National Committee for a Human Life Amendment,559,4
AAFAF,AAFAF Puerto Rico,559,4
Elect Kyle Reeves For Mayor of Searcy,Kyle Reeves (R) For Mayor,558,15
Law Works Action,Law Works,556,3
Oregon Energy Savings,Oregon Energy Savings,556,1
It Gets Better Project,It Gets Better Project,554,19
Texas Monthly,Frost,554,1
Earth.com,Earth,551,2
Cape Clasp,Cape Clasp LLC,550,10
CHNGE,CHNGE,548,14
Jack Burkman Radio,Jack Burkman,546,29
24toDouble,Richard Chancy LLC,546,1
Israel365,Israel365,545,9
Randy Boyd,Randy Boyd,545,6
Kansas Appleseed,Kansas Appleseed,544,4
John Raymond for State Representative District #90,Friends of John Raymond,544,12
Congressman Jody Hice,the Office of Rep. Jody Hice,542,3
Check In Michigan,Check in Michigan,542,4
"Re-Elect Mayor Pete Saenz - Laredo, TX","Pete Saenz, III, Treasurer",541,10
MRCTV,Media Research Center,541,6
New Wentzvillian For St Charles Countians,Paid 4 By the New Wentzvillian,539,5
Compassion & Choices,Compassion & Choices,537,32
Congressman Dan Kildee,the Office of Rep. Dan Kildee,536,8
"Virginia 12th, A NowThis Film",NowThis,535,4
UnitedHealthcare,UnitedHealthcare,534,9
World Relief,World Relief,534,4
Michigan Wildlife Council,Michigan Wildlife Council,533,14
National Loan Advisors,National Loan Programs,532,7
Shore Buddies,Shore Buddies,531,14
Attorney General Bob Ferguson,Friends of Bob Ferguson (D),531,15
Home Ownership Matters,the National Association of REALTORS®,531,2
Need To Impeach,Tom Steyer,530,1
MegaFood,These ads ran without a disclaimer,530,1
Sempervirens Fund,Sempervirens Fund,528,7
Pennsylvania Health Access Network,Pennsylvania Health Access Network,528,5
GMO Answers,GMO Answers,527,1
UNFPA,United Nations Population Fund,526,2
Power of Wind,the American Wind Energy Association,525,3
340B Matters,340B Matters,525,24
For Kids & Country,For Kids & Country,525,6
Concerned Veterans for America,Concerned Veterans for America,524,16
Combined Federal Campaign of the National Capital Area-CFCNCA,the Combined Federal Campaign of the National Capital Area,523,16
Change to Win,Change to Win,522,18
St. David's Foundation,St. David's Foundation,522,25
Empower the Journey,Empower the Journey,521,27
Fix the Charter,Fix the Charter,520,27
DTE Energy,DTE Energy,520,6
Omaze,Omaze,519,8
The Moore Charitable Foundation,The Moore Charitable Foundation,516,12
The Christian Left,The Christian Left,516,5
IfNotNow,IfNotNow,515,13
Creative Action Network,Creative Action Network,515,5
Pearson PreK-12,Pearson PreK-12,513,2
SiriusXM,SiriusXM,512,1
Texas AFT,Texas AFT COPE,510,3
Frank Ward,Frank Ward for Austin Campaign,509,2
"Vericool, Inc.",Vericool Inc,508,7
Michigan Humane Society,Michigan Humane Society,505,2
Keep Austin Voting,Austinites for Equity,503,2
NYSUT - A Union of Professionals,New York State United Teachers,503,16
Gloria the Play,Gloria: A Life,502,59
Congressman Michael Cloud,official funds authorized by the House of Representatives,502,11
My Carteret,The Carteret Business Partnership,500,1
Reward Volunteers,Reward Volunteers,500,1
CLIF Bar,CLIF Bar & Co.,500,1
GT's Kombucha,GT's Living Foods,500,1
Small Business & Entrepreneurship Council,Small Business & Entrepreneurship Council,500,1
Save Our Labor Center,Coalition to Save Our Labor Center,500,30
Atlantic Coast Pipeline,the Atlantic Coast Pipeline,500,8
Boot The Ban West Virginia,The Distilled Spirits Council,500,16
STAND UP Nashville,Stand Up Nashville,496,5
Yale Program on Climate Change Communication,Yale Program on Climate Change Communication,496,23
Planned Parenthood of the St. Louis Region & Southwest Missouri,Planned Parenthood of the St. Louis Region and Southwest Missouri,495,4
Oregon Health Authority,the Oregon Health Authority,494,11
Dan Lipinski for Congress,Dan Lipinski for Congress,494,2
Youth For Human Rights International,Youth for Human Rights International,493,1
Dan Forest,Committee to Elect Dan Forest,493,16
New York Working Families Party,Working Families Party,492,54
Cornell Lab of Ornithology,The Cornell Lab of Ornithology,491,56
Coalition for Future Mobility,Coalition for Future Mobility,491,12
Miami-Dade County Government,Miami-Dade County,489,2
Consulta de Inmigracion en San Diego,The Cruz Law Office,488,5
Congressman Peter King,Pete King for Congress.,488,7
Nonhuman Rights Project,Nonhuman Rights Project,487,6
Washingtonians for a Responsible Future,"Caring Across Generations, a managed project of Bend the Arc: A Jewish Partnership for Justice",486,14
Texas Association of School Boards,Texas Association of School Boards,486,21
Best Medicare Plans,Best Medicare Plans,485,8
University of Colorado Anschutz Medical Campus,CU Anschutz Medical Campus,485,15
Animal Legal Defense Fund,Animal Legal Defense Fund,483,3
Lafayette Law Enforcement,ClearPAC,483,6
Illinois Policy,Illinois Policy,483,4
Nicholas Begich,Nicholas Begich,482,4
Change.org,Change.org,480,4
Jay for Mississippi,Jay for Mississippi,480,26
Digi.City,Digi.City,479,1
MinimumWage.com,the Employment Policies Institute,478,1
PennEnvironment,PennEnvironment.,477,1
Recycle Cartons,Paid for by Carton Council,476,2
Yes For Yankton,Yes for Yankton,476,7
Stand for Children - Oregon,"Stand for Children, Inc.",476,5
Visit Jackson Hole,Jackson Hole Travel and Tourism Board,473,1
Paul Thurman for City Council District 5,Paul Thurman for Corpus Christi District 5,471,8
Message,Tim D'Annunzio,471,6
Scruff Shop,These ads ran without a disclaimer,469,1
Housing Opportunities Made Equal of Virginia (HOME),Housing Opportunities Made Equal of Virginia,469,17
John Crawford for Mayor,"Crawford for Mayor Committee, Grant Crawford, Chairman",468,7
Tariffs Hurt the Heartland,Farmers for Free Trade,468,2
Texas Citizens Coalition,Texas Citizens Coalition,467,14
SEIU Healthcare IL & IN,SEIU Healthcare Illinois & Indiana,466,16
Anthony Brown,Congressman Anthony G. Brown,465,4
Spunky Swag,Spunky Swag,465,3
NowThis Politics,NowThis,465,4
Interstate Natural Gas Association of America,Interstate Natural Gas Association of America,463,2
Stop The Utility Bailout,"STOP the Utility Bailout - a coalition of homeowners' insurance companies who are committed to upholding liability laws that protect wildfire survivors, homeowners, communities and businesses and holding utilities accountable for the fires they cause.",463,1
USC Suzanne Dworak-Peck School of Social Work,USC School of Social Work,462,4
Asociación de Maestros de Puerto Rico,Asociación de Maestros de Puerto Rico,462,6
The Years Project,The Years Project,461,74
CertaPet,CertaPet,460,29
Corporate Accountability,Corporate Accountability,459,3
Gleaners Food Bank of Indiana Inc.,Gleaners Food Bank of Indiana,458,1
Consumer Technology Association (CTA),Consumer Technology Association,457,2
Consumers for Quality Care,Consumers for Quality Care,456,24
Eco Soapr,Yakov Bindler,455,4
Sunny 98.1,San Diego Organizing Project,455,4
Big Cat Rescue,Big Cat Rescue,452,3
NARAL Pro-Choice Ohio,NARAL Pro-Choice Ohio,450,3
Seattle Children's,Seattle Children's,450,3
Heidi Kirk for District 5 School Board,"Heidi Kirk for MISD District 5 Trustee Campaign.",449,9
J Street,"J Street, the political home for pro-Israel, pro-peace Americans.",449,3
Freedom for All Americans,Freedom for All Americans,449,1
Sudan Relief Fund,Sudan Relief Fund Inc.,447,25
Seguros de salud central florida,Alfredo Ramirez,447,3
Glenn Beck,TheBlaze,447,11
SEIU Faculty Forward,SEIU Faculty Forward,447,6
PennFuture,PennFuture,444,2
Michigan Recycling Partnership,MI Soft Drink Association,444,2
Voices for Affordable Health,Voices for Affordable Health,443,22
UPROXX,UPROXX,442,4
President Evil,President Evil Feature Film,442,8
ASMDSS,"ASMDSS, Inc",441,26
Precious Retirement Strategies,Precious Retirement Strategies,440,9
Focus Texas,Focus Texas,439,48
Israel on Campus Coalition,Israel on Campus Coalition,437,13
Partnership for Conservation,Partnership for Conservation.,437,1
Hosler Wealth Management,Hosler Wealth Management,437,4
Young Conservatives For A Better America,Young Conservatives For A Better America,434,9
Texas Medicaid Works,Texas Association of Health Plans,434,21
Acessa Health,Acessa Health,434,12
Travis Clardy,Travis for Texas,433,1
Oklahomans For Energy Options,American Policy Advocates,431,7
Commonwise,Commonwise,431,48
Public for Penn,Public for Penn,431,8
"District Council 37, AFSCME",DC37 AFSCME,429,12
Fred Akshar,Fred Akshar For Our Future,428,10
American Joe,American Joe,428,14
KevinMD.com,MedPage Today,428,4
The Shadow League,The Shadow League,427,3
Zero Fatalities Nevada,The Department of Public Safety,427,2
Code Platoon,Code Platoon,427,13
My Faith Votes,My Faith Votes,426,22
Andrew Yang for President 2020,Andrew Yang,425,131
Social Security,American Web Page,424,18
peta2,People for the Ethical Treatment of Animals,423,4
NJ Left Behind,New Jersey Left Behind,422,4
Fake News Writer,Fake News Writer (a political satire series),422,10
Eastern Bank,Eastern Bank,422,1
Americans for Prosperity - Virginia,Paid for by Americans for Prosperity,420,4
The 700 Club,"The Christian Broadcasting Network, Inc.",420,6
Don't Trash Arizona,Maricopa Association of Governments,419,13
Discovery Institute,Discovery Institute,419,2
The Seniors Center,"The Seniors Center, a project Our Generation, a 501(c)(4) non profit organization.",418,14
Dale Strong for Chairman,"Friends of Dale Strong  247 Spano Rd, Madison, Al 35757",417,1
The Market Urbanism Report,The Market Urbanism Report,417,25
Bottom Line With Boris Epshteyn,Sinclair Broadcast Group,417,5
Grow America's Infrastructure Now,Grow America's Infrastructure Now,413,3
Right Now USA Superpac,Right Now USA,413,1
Mike Dunleavy for Governor,Alaskans for Dunleavy,412,5
Vereta Lee for District 2,David M Tatman,411,4
Animal Matters,Animal Matters,410,141
CA Charter Schools Association,California Charter Schools Association,409,69
Convention of States South Carolina,Convention of States Action,409,1
Institute for New Economic Thinking,the Institute for New Economic Thinking,407,15
The Independence Fund,The Independence Fund,405,5
Chicago Council on Global Affairs,Chicago Council on Global Affairs,403,3
OD Action,OD Action,401,7
Conservatives for Clean Energy,Conservatives for Clean Energy,400,4
CLSA - California Life Sciences Association,California Life Sciences Association,400,27
Sherrod Brown,Friends of Sherrod Brown,400,4
Sunset Solar,Sunset Solar,399,6
Greenpeace USA,Greenpeace USA,399,2
Conversations with Bill Kristol,the Foundation for Constitutional Government,399,57
SchoolsRule Marin,SchoolsRule,398,35
We The People Holsters,WeThePeopleHolsters,398,21
Rep. Ro Khanna,The Office of Representative Ro Khanna,397,4
Children's Defense Fund,Children's Defense Fund,396,37
NC Conservation Network,NC Conservation Network,395,3
NationSwell,NationSwell,395,1
Protect Coyote Valley,Protect Coyote Valley,395,3
Yale Repertory Theatre,Yale Repertory Theatre,394,10
Idaho Fish & Wildlife Foundation,Idaho Fish & Wildlife Foundation,392,3
Mercedes Monitor,Mercedes Monitor,390,18
American Chemistry,American Chemistry Council,390,9
California Almonds,These ads ran without a disclaimer,388,1
NC Senator Floyd B. McKissick Jr.,McKissick for NC Senate,388,32
Allie on CRTV,CRTV,387,1
Republicans Fighting Tariffs,Defending Democracy Together,387,4
Lebowski Lovers,Lebowski Lovers,386,10
CharterStrong,New Jersey Charter Schools Association,386,10
Movebr,MoveBR,385,4
Louisiana Bucket Brigade,Louisiana Bucket Brigade,384,2
Mike Quigley,Quigley for Congress,383,6
Boxed Water Is Better,Boxed Water is Better,383,2
Stop Wage Theft Now,Ag Conexus,383,4
Equality PAC,Equality PAC,382,3
Keep My Rx,Keep My Rx,382,14
Northwest Arctic Borough,Northwest Arctic Borough,380,3
Roaming Bison Wind,Roaming Bison Wind,380,50
Reform Austin,"Reform Austin, Inc.",378,65
Democrats for Education Reform DC,"Democrats for Education Reform DC IEC. 641 S Street NW, Washington, DC 20001. Christopher Chambers, Treasurer. A copy of our report is on file with the Director of the Office of Campaign Finance of the DC Board of Elections.",378,2
Louisiana Association of Educators,Louisiana Association of Educators,377,3
Ardila Law Firm  / U.S. Immigration Law,Ardila Law Firm LLC,376,3
Better World Bio,Better World Bio LLC,374,12
21 Threads,Drive Marketer Inc.,374,5
Home Builders Association of Greater Austin,Home Builders Association of Greater Austin,374,2
New Mexicans for Economic Prosperity,New Mexicans for Economic Prosperity,374,8
We The People - MI,We The People - Michigan,373,7
Working America,Working America,373,12
Ditch the Estate Tax,Ditch the Estate Tax Campaign,372,7
Marsy's Law for Iowa,"Marsy’s Law for Iowa, LLC, 400 East Court Avenue, Suite 110, Des Moines Iowa 50309 Emilio Gonzalez",371,4
National Association of Tax Professionals (NATP),National Association of Tax Professionals,370,6
The Lone Liberal Republican,Arthur Winter,370,9
FAMM,Families Against Mandatory Minimums,370,4
National Democratic Redistricting Committee,the National Democratic Redistricting Committee,369,6
AARP California,AARP,369,4
United Nations Foundation,United Nations Foundation,369,8
RISE ST. JAMES,Rise St. James,368,2
"Lawson Cary Bittick, III for Monroe County Sheriff 2018",Bittick for Sheriff,368,2
U.S. Term Limits,U.S. Term Limits,367,2
Liberty Nation,Liberty Nation,367,7
"Jorge “JD” Delgado for Laredo College Board of Trustee, Place 4","Julio L. Delgado, Treasurer:  Vote 4 Jorge ""JD"" Delgado for Laredo College Board of Trustees, Place 4 Campaign",367,4
Carnegie Corporation of New York,Carnegie Corporation of New York,366,6
Sunrise Movement,Sunrise PAC,366,3
Friends of RealOptions,RealOptions Obria Medical Clinics,363,17
Centage,These ads ran without a disclaimer,362,4
National Organization for Women (NOW),National Organization for Women (NOW),362,2
Clean Energy Jobs Ohio,Clean Energy Jobs Ohio,361,3
FEDweek,FEDweek,360,2
Eastern PA and Southern NJ CFC,the Eastern PA and Southern NJ Combined Federal Campaign,359,7
Kansas Strong,Kansas Strong,359,3
Surfrider Foundation,Surfrider Foundation,359,10
Scott Anslum For Sheriff,Scott Anslum Campaign Fund,359,1
Rise Against Hunger,Rise Against Hunger,359,25
Lev Haolam - Supporting Israel's Heartland,These ads ran without a disclaimer,358,2
Operation Smile,Operation Smile,358,2
Modern Print Artwork,Modern Print Artwork,357,4
We Are The Mighty,We Are The Mighty,357,16
"Honolulu Office of Climate Change, Sustainability and Resiliency","Honolulu Office of Climate Change, Sustainability & Resiliency",357,2
AARP MA,AARP Massachusetts,355,2
CMMB,CMMB-Healthier Lives Worldwide,355,5
MI Time to Care,"MI Time to Care, PO Box 1502, Royal Oak, MI 48068",355,7
Construimos,Construimos,354,3
Arizona Wildlife Federation,Arizona Wildlife Federation and Trout Unlimited,354,1
National Center for Public Policy Research,the National Center for Public Policy Research,351,9
SweetGrass Capital,"SweetGrass Capital, A MIdland Mortgage Corporation Company NMLS 66708",350,2
The Midnight Mission,The Midnight Mission,350,9
A Place At The Table,A Place at the Table,350,1
Protect the Granite State,Protect the Granite State,350,1
DuPage Democrats,The Democratic Party of DuPage County,350,1
MyStraw,MyStraw,350,17
Stand for Children - Tennessee,"Stand for Children, Inc.",349,3
Armed American Supply,Armed American Supply,348,123
Solidarity HealthShare,Solidarity HealthShare,348,2
Stop Elder Abuse in New York,Stop Elder Abuse NY,348,6
New Israel Fund,the New Israel Fund,347,6
The Texas Monitor,The Texas Monitor,347,10
"Zion Oil and Gas, Inc.",Zion Oil & Gas,347,1
Tennessee House Republicans,Tennessee House Republican Caucus,347,3
Surviving Retirement,LeadJig,347,28
United Infoways,These ads ran without a disclaimer,345,9
Fed of American Hospitals,Federation of American Hospitals,344,2
Center of the American Experiment,Center of the American Experiment,344,13
Illinois Family Institute,Illinois Family Institute,344,4
Orman for Bentonville Mayor,Campaign to Elect Stephanie Orman for Mayor,343,33
Communist Party USA,Communist Party USA,342,5
Oregon League of Conservation Voters,Oregon League of Conservation Voters,342,1
NRA Women,NRA Women,341,15
Re-Elect Alderman Tom Tunney,Citizens for Tunney,341,2
Healthy World for All,Resources Legacy Fund,340,6
Ploughshares Fund,Ploughshares Fund,340,6
The California Endowment,The California Endowment,339,1
TruLakes,TruOcean,339,10
Retirement Education Foundation,Retirement Education Foundation,338,3
Oregon Coalition for Affordable Prescriptions,Oregon Coalition for Affordable Prescription (OCAP),338,42
P22 Mountain Lion of Hollywood,National Wildlife Federation,336,2
Texans for Natural Gas,Texans for Natural Gas,335,27
Mainers for Clean Energy Jobs,Mainers for Clean Energy Jobs,333,1
Rev. Desmond Wallace - School Board District 14,The Campaign to Elect Desmond Wallace,332,6
Count on Coal,the National Mining Association,332,21
Ditch Mitch,Ditch Fund and not authorized by any candidate or candidate's committee,332,4
Convention of States Utah,Convention of States Action,331,1
SirenSign,SirenSign LLC,330,9
Dominion Energy South,Dominion Energy,330,4
American Farmland Trust,American Farmland Trust,330,7
People's World,People's World,330,18
Co-ops Vote,National Rural Electric Association,329,9
It's Time Wilmington,Wilmington Love,329,8
Stand Up To Cancer,Stand Up To Cancer,328,22
AAPI Progressive Action,AAPI Progressive Action,328,8
City Trash & Recycling - Santa Barbara,City of Santa Barbara - Environmental Services Division,328,3
Baptist Haiti Mission,Baptist Haiti Mission US,327,4
Zócalo Public Square,Zócalo Public Square,327,1
"Anbex, Inc.","Anbex, Inc.",327,7
Military Spouse,Military Spouse,326,3
T-Mobile Workers United (TU),T-Mobile Workers United,326,6
National Veteran Loan Programs,National Veteran Loan Programs,326,6
I Want Change,Aizics Mint,324,6
Dakota Range Wind,Dakota Range Wind,324,63
Texans for Traffic Relief,Texans for Traffic Relief,323,30
Missouri Century Foundation,Missouri Century Foundation,321,3
Florida Wildlife Federation,Florida Wildlife Federation,321,6
California YIMBY,California YIMBY,320,9
The Santa Barbara & Ventura Colleges of Law,The Santa Barbara & Ventura Colleges of Law,320,5
2020 Front Runner,"Greg Enos, Webster, Texas (A proud U.S. citizen)",319,4
Oregon Family Council,Oregon Family Council,319,14
EveryLibrary,EveryLibrary | FEIN 46-1534149,318,6
Facebook San Francisco,These ads ran without a disclaimer,317,1
Earthjustice,Earthjustice,317,8
Rant Nation with Graham Allen,CRTV,316,12
HyperFast Agent,Daniel Lesniak,316,3
Protect Ohio's Middle Class,Keep Ohio's Heritage,315,4
Choose God,ChooseGod,315,5
Fernando Camacho - Seguros FL,Fernando Camacho,315,1
Smart Cities Prevail,Smart Cities Prevail.,315,14
Meir Panim,Meir Panim,315,7
Utahns For Conservation,ACES Companies,315,2
Oregon Education Association,Oregon Education Association,315,1
Michigan Dental Association,the Michigan Dental Association,314,4
Mayor Glenn Brasseaux,Mayor Glenn Brasseaux,314,18
Freegrance Products,These ads ran without a disclaimer,313,2
Ranker,Ranker,313,37
OneLife LA,OneLife LA,313,9
Offbeat,Topix,312,12
Medals Of America,Medals of America,312,4
El Paso Obamacare and Medicare Plans,BYGA Healthcare Insurance,312,5
D'Juan Eastman,These ads ran without a disclaimer,311,2
Louder with Crowder,CRTV,311,4
"Tactical Air USA, LLC","Tactical Air USA, LLC",311,2
Shared Hope International,Shared Hope International,311,7
PennEast Pipeline,"PennEast Pipeline Company, LLC",311,6
New Choice NY,New Choice NY,311,15
Know Your Vote Louisiana,Voters Organized To Educate,311,2
Right Scan Right Time,The Medical Imaging & Technology Alliance,311,8
Border Youth Tennis Exchange,Border Youth Tennis Exchange,310,26
"Pete von Reichbauer, King County Councilmember.",King County Councilmember Pete von Reichbauer,310,2
Bumbler - The Boba Tea Tumbler,These ads ran without a disclaimer,309,4
Students for Life of America,Students for Life of America,309,6
Center for American Progress,the Center for American Progress,309,3
KCET City Rising,KCET City Rising,309,4
The Sylvan Pen: Art & Satire,"Andrew Thomas, author and illustrator",308,6
The PA Wilds,PA Wilds Center,308,1
North Bergen Today,North Bergen Today,308,4
Charles A. Banker III,Charles A. Banker III,307,2
The Brookings Institution,The Brookings Institution,307,3
Help For Flint,Help For Flint,307,3
Silicon Valley Rising,Silicon Valley Rising,305,6
Paolo Weston,"Paolo Weston for Mayor, West Palm Beach",305,18
702 Gifts,GearBubble LLC,305,4
We Want Warren,Democratscom LLC,304,3
Palm Beach Civic Association,Palm Beach Civic Association,304,4
Push Digital Inc,Push Digital,303,22
WSL PURE,World Surf League,303,2
Milwaukee 2020,Milwaukee 2020 DNC Committee,303,4
White Coat Waste Project,"the White Coat Waste Project, Inc",303,71
WNYC Studios,WNYC,303,5
GZERO World with Ian Bremmer,GZERO Media,302,9
Proxymate Cause,Proxymate Cause | Making our democracy better by helping passionate citizens reach out to their elected officials about the issues that matter most.,302,5
San Antonio Water System,San Antonio Water System,302,1
Schwartz & Schwartz,Benjamin A. Schwartz,302,1
Beacon,the Maine People's Alliance,302,7
Living Lands and Waters,Living Lands & Waters,302,1
Nick Palmisciano,"Ranger Up, LLC.",301,2
Stop Soldier Suicide,Stop Soldier Suicide a national veteran-founded-and-led 501(c)3 nonprofit,301,19
Presidio Strategic Communications,Presidio Strategic Communications,301,5
EquityWise,EquityWise Home Loans,301,5
LobbyUp,LobbyUp,301,7
Crime Survivors for Safety and Justice,Alliance for Safety and Justice,301,6
Lafayette Citizens Against Taxes,Citizens For a New Louisiana,301,3
Call2Recycle,Call2Recycle,301,10
Dispatch by Circa,Circa,300,1
John Catsimatidis,John Catsimatidis,300,2
Illinois Coal Power,American Coal Power LLC,300,2
Kerigan Marketing Associates,Kerigan Marketing Associates,300,5
Eric Garcetti,"Democratic Victory Fund, 777 S. Figueroa Street | Suite 4050 | Los Angeles Ca 90017. Not Authorized By Any Candidate Or Candidate's Committee.",300,2
1199 SEIU Maryland/DC,1199 SEIU Maryland/DC,300,1
Flatlands Insurance Group,"Flatlands Insurance Group, Washington, NC",298,1
Focus on the Family,Focus on the Family,297,6
BESE,BESE,297,3
CharterStrong,New Jersey Left Behind,296,2
Trump White House,Trump White House Shop,295,3
Robert Foster for Mississippi,Friends of Robert Foster,295,2
Zsenia,Zsenia,295,6
EnergySure,the EnergySure Coalition,295,8
Ax The Bev Tax,the PA Food Merchants Association and American Beverage Association,294,9
Amy Klobuchar,Klobuchar for Minnesota,294,2
Unlikely Heroes,Unlikely Heroes,293,6
ACTA - American Council of Trustees and Alumni,ACTA - American Council of Trustees and Alumni,293,9
Tom Steyer,Tom Steyer,292,2
Spectrum News Rochester,Spectrum News,292,3
Ryan Moran,Capitalism com LLC,292,17
"Representative Greg Murphy, MD",Friends of Dr Greg Murphy,292,3
National Veteran Advisors,National Veteran Programs,291,3
Beacon Center of Tennessee,the Beacon Center of Tennessee,291,7
Indiana Democratic Party,the Indiana Democratic Party. Not authorized by a candidate or candidate's committee.,291,5
Protect MO Families,Committee to Protect MO Families,290,6
Episcopal Relief & Development,Episcopal Relief & Development,290,7
Congresswoman Debbie Lesko,The Office of Congresswoman Debbie Lesko,290,1
GO Public Schools Oakland Advocates,GO Public Schools Oakland Advocates,289,8
Lambda Legal,Lambda Legal,289,5
NRSC,NRSC,289,6
Voter Choice Massachusetts,Voter Choice MA,289,86
"Matern Law Group, PC","Matern Law Group, PC",289,7
Better Angels - A documentary by director Malcolm Clarke,Better Angels,288,4
A Better Dane County,A Better Dane County,287,1
FogHorn,Fog Horn Reports,287,10
Gus for the 47th Ward,Friends of Gus Katsafaros,287,12
Fix Our Roads Alabama,"Alliance for Alabama’s Infrastructure, 2 North Jackson Street, Montgomery, AL 36104",286,4
National Porridge Party,Rich Flowers,286,4
Tammy Duckworth,Tammy for Illinois,286,2
American Bird Conservancy,American Bird Conservancy,286,38
Our Friendly Forest,"Green Straw, LLC",286,10
Ray Feuss for Waterloo City Council Ward 5,Ray Feuss for Waterloo City Council Ward 5,284,4
Electric Nation: Powered By Wind,Wind Energy Foundation,284,8
Dan Patrick,Texans for Dan Patrick,284,3
News 13,Spectrum News,284,1
Americans for Responsible Technology,Americans for Responsible Technology,283,11
Jesus "Chuy" Dominguez,"Jesus ""Chuy"" Dominguez Campaign, Miguel A. Flores, Treasurer",283,4
Protect The Harvest,Protect The Harvest,282,7
Living Forests Project,Commonwise,281,37
Voters - Not Politicians,"Voters Not Politicians | PO Box 8362 Grand Rapids, MI 49518",280,49
Women NYC,Women.NYC,280,8
National Committee on U.S.-China Relations,the National Committee on U.S.-China Relations,280,1
WPA Intelligence,WPA Intelligence,280,2
Media Bias on Marijuana,"Ed Gogek, M.D.",280,2
Future of Nursing: Campaign for Action,The Future of Nursing: Campaign for Action,280,4
Ronnie Campbell for Delegate,the Campaign for Ronnie Campbell for VA Delegate,280,2
NTK Network,NTK Network,279,4
Working Californians Against Corruption,Working Californians Against Corruption,279,1
Bevi,Bevi,279,4
AFP Foundation Arkansas,Americans for Prosperity Foundation,279,6
Jewish Community Center of San Francisco,Jewish Community Center of San Francisco,278,2
Metro Puerto Rico,Metro Puerto Rico,278,6
Webster Central Schools,Webster Central Schools,278,4
Texas Pride,Texas Pride Unlimited LLC,278,3
Portside,Portside,277,45
Graig Meyer,Committee to Elect Graig Meyer,277,4
Abogado Eric Price,Abogado Eric Price,277,1
Start Talking. Stop HIV.,Act Against AIDS,277,5
Place Matters Oregon,Place Matters Oregon,277,3
Americans for Food and Beverage Choice,American Beverage Association,277,22
Avalara MyLodgeTax,Avalara,276,5
Lion Technology Inc.,"Lion Technology, Inc.",275,8
Jason Asbill for Harahan Council,Committee to Elect Jason Asbill,275,2
ACLU of Southern California,the American Civil Liberties Union of Southern California,274,4
Ricky Rosselló - Gobernador 2016,Comité RR,274,6
Opt Out Today,Opt Out Today,273,17
Arizona Mirror,the Arizona Mirror,273,3
Dave Rosa 4 Bristol County Commissioner,The Committee to Elect Dave Rosa,273,4
Judge Lisa Neubauer,"Judge Neubauer for Justice, 5027 W. North Ave., Milwaukee, WI 53208",273,21
Freedom Action Network of South Carolina,Freedom Action Network of South Carolina,272,13
Online Health Exchange,Eric Boutin,272,7
Seguros De Salud Florida,JID GROUP,272,2
Stop Florida Plunder and Loot,Stop Florida Plunder and Loot,271,1
Daryl Acumen,Integrity Matters LLC,271,2
FEE,Foundation for Economic Education,271,18
AARP Member Benefits,AARP Member Benefits,270,3
"Little, Brown and Company","Little, Brown and Company",269,6
Media Research Center,Media Research Center,268,5
Clearwater Marine Aquarium,Clearwater Marine Aquarium,268,2
Congressman Clay Higgins,Office of Congressman Clay Higgins,267,1
San Antonio Police Officers Association,San Antonio Police Officers Association,267,2
Americans for Prosperity - Colorado,Paid for by Americans for Prosperity,266,6
Stop Destroying Tennessee Farms,Stop Destroying Tennessee Farms,265,3
San Bernardino Energy Experts,San Bernardino Energy Experts,264,172
Coverage of the Trump Presidency by The Epoch Times,The Epoch Times,263,6
Congressman Charlie Crist,the Office of Congressman Charlie Crist,263,3
Joe Biden,American Possibilities PAC,263,36
Invisible Institute,the Invisible Institute,262,17
David Y. Grossman for Commissioner of Sunny Isles,"David Y. Grossman for Sunny Isles Beach Commissioner, Seat 2",262,16
Murray Insurance Agency,Murray Insurance Agency,261,11
Modesto Irrigation District,Modesto Irrigation District,260,2
Wolf Defenders,Lunar Digital Marketing,260,5
Dow Constantine,Friends of Dow Constantine,260,3
Metallica,These ads ran without a disclaimer,259,2
I am Arizona. I am for Arizona.,Arizonans for Tribal Government Gaming,259,12
William Calloway,Friends for William Calloway,259,4
Physicians for Human Rights,Physicians for Human Rights,259,8
American Forests,American Forests,259,3
The Nature Conservancy MD/DC,The Nature Conservancy in Maryland/DC,258,9
Washington Education Association,Washington Education Association,258,1
EV Drive Coalition,These ads ran without a disclaimer,258,1
Small Change,"NSSC Holdings, LLC",258,1
The Lipstick Lobby,"Studio 71, LP",258,2
Texas Civil Rights Project,Texas Civil Rights Project,257,8
